Gene Id	Top hits (Family id,e-value,bitscore)
LURJ01000004.1_14	TIGR02012,1.3e-162,537.5
LURJ01000004.1_19	TIGR03625,5.9e-81,268.0
LURJ01000004.1_20	TIGR03953,7.4e-66,218.0
LURJ01000004.1_22	TIGR01171,2.5e-130,430.7
LURJ01000004.1_24	TIGR01044,5e-38,126.5
LURJ01000004.1_25	TIGR01009,7.7e-89,293.9
LURJ01000004.1_26	TIGR01164,2.7e-60,198.9
LURJ01000004.1_30	TIGR01079,1.1e-34,115.9
LURJ01000004.1_33	TIGR03654,4.7e-71,235.0
LURJ01000004.1_35	TIGR01021,3.4e-60,199.3
LURJ01000004.1_36	TIGR01071,8.3e-44,145.8
LURJ01000004.1_37	TIGR00967,2e-129,429.0
LURJ01000004.1_41	TIGR03632,1.3e-56,187.0
LURJ01000004.1_42	TIGR02027,1.7e-91,303.5
LURJ01000004.1_43	TIGR00059,1.2e-37,125.6
LURJ01000004.1_45	TIGR01066,4.1e-62,205.1
LURJ01000004.1_48	TIGR00019,3.2e-145,480.5
LURJ01000005.1_27	TIGR00435,1.4e-152,505.9
LURJ01000005.1_28	TIGR00593,5e-268,889.0
LURJ01000005.1_30	TIGR00092,7.3e-152,502.6
LURJ01000006.1_12	TIGR02191,2.7e-54,180.9
LURJ01000006.1_15	TIGR02273,4.7e-43,143.4
LURJ01000007.1_35	TIGR01017,1.7e-78,259.9
LURJ01000008.1_104	TIGR00043,8.1e-35,116.2
LURJ01000008.1_106	TIGR00020,4.5e-133,440.6
LURJ01000008.1_118	TIGR00006,3.6e-86,286.3
LURJ01000008.1_42	TIGR00158,7.5e-42,140.2
LURJ01000008.1_61	TIGR00344,1.9e-303,1005.9
LURJ01000008.1_7	TIGR00337,7.6e-247,816.9
LURJ01000008.1_76	TIGR00964,6.4e-17,58.2
LURJ01000008.1_77	TIGR00922,1.5e-55,184.6
LURJ01000008.1_78	TIGR01632,4.3e-62,205.1
LURJ01000008.1_79	TIGR01169,2.6e-98,324.9
LURJ01000008.1_9	TIGR00459,1.1e-235,780.4
LURJ01000008.1_97	TIGR00456,2e-156,518.6
LURJ01000009.1_13	TIGR00250,1.1e-20,71.0
LURJ01000010.1_37	TIGR03723,3.5e-121,401.0
LURJ01000010.1_40	TIGR03263,6.5e-72,237.9
LURJ01000010.1_98	TIGR00414,1.9e-152,505.0
LURJ01000010.1_99	TIGR00054,8.6e-82,272.1
LURJ01000011.1_36	TIGR01032,1.1e-46,154.7
LURJ01000011.1_8	TIGR01082,4.6e-128,425.0
LURJ01000012.1_45	TIGR00090,3.9e-32,107.3
LURJ01000013.1_5	TIGR00928,6.1e-163,539.5
LURJ01000018.1_23	TIGR00082,1.2e-31,106.5
LURJ01000019.1_13	TIGR00539,1.4e-63,212.1
LURJ01000019.1_15	TIGR00065,4.3e-132,437.6
LURJ01000019.1_39	TIGR00420,1.1e-106,353.6
LURJ01000019.1_45	TIGR00959,1.1e-175,581.5
LURJ01000019.1_50	TIGR00436,2.3e-85,283.1
LURJ01000019.1_53	TIGR00088,1.1e-87,290.1
LURJ01000019.1_60	TIGR00083,4.2e-74,246.5
LURJ01000019.1_63	TIGR00468,4.1e-104,345.2
LURJ01000021.1_12	TIGR00431,3.8e-63,209.9
LURJ01000021.1_26	TIGR01087,3.4e-109,362.7
LURJ01000021.1_9	TIGR00061,4e-33,110.8
LURJ01000022.1_35	TIGR00615,6.6e-78,257.6
LURJ01000025.1_10	TIGR00166,6.6e-23,77.7
LURJ01000025.1_14	TIGR00445,4.2e-85,282.9
LURJ01000025.1_7	TIGR02350,1.5e-294,974.8
LURJ01000029.1_10	TIGR02729,5.3e-133,440.0
LURJ01000031.1_31	TIGR00186,1e-63,211.9
LURJ01000031.1_37	TIGR00084,7e-38,127.0
LURJ01000031.1_40	TIGR01391,3.3e-140,464.5
LURJ01000031.1_51	TIGR00755,6.3e-73,242.1
LURJ01000031.1_86	TIGR01011,7.1e-99,326.5
LURJ01000031.1_87	TIGR00116,3.7e-64,213.6
LURJ01000031.1_89	TIGR00643,1e-218,725.0
LURJ01000031.1_97	TIGR01394,3.3e-295,976.9
LURJ01000033.1_24	TIGR00392,4.8e-286,948.2
LURJ01000034.1_16	TIGR01510,6.8e-60,198.5
LURJ01000034.1_18	TIGR00194,7.2e-193,639.2
LURJ01000034.1_8	TIGR00396,1.3e-204,678.7
LURJ01000034.1_9	TIGR00396,1.4e-119,397.4
LURJ01000037.1_10	TIGR00138,3.3e-33,111.8
LURJ01000037.1_21	TIGR02013,0.0,1665.7
LURJ01000037.1_23	TIGR00029,2.1e-28,95.6
LURJ01000038.1_2	TIGR00634,2.2e-127,423.2
LURJ01000038.1_6	TIGR00663,1.9e-100,333.3
LURJ01000039.1_9	TIGR02350,1.6e-250,829.5
LURJ01000044.1_5	TIGR03594,4.4e-151,500.7
LURJ01000046.1_10	TIGR01039,2.1e-247,818.2
LURJ01000046.1_24	TIGR01146,2.1e-108,359.3
LURJ01000046.1_6	TIGR00810,7.6e-19,64.5
LURJ01000047.1_16	TIGR02432,6.4e-50,166.6
LURJ01000047.1_18	TIGR01128,7.3e-42,140.6
LURJ01000047.1_2	TIGR00168,1.1e-67,223.7
LURJ01000047.1_24	TIGR00115,1.9e-122,406.0
LURJ01000047.1_26	TIGR00382,8.5e-196,647.7
LURJ01000047.1_28	TIGR02397,9.9e-128,423.2
LURJ01000047.1_6	TIGR00963,0.0,1219.3
LURJ01000047.1_9	TIGR00631,2.4e-122,406.2
LURJ01000048.1_12	TIGR01393,1.3e-228,757.1
LURJ01000049.1_6	TIGR00095,2.2e-42,141.9
LURJ01000050.1_8	TIGR00064,1.2e-97,323.5
LURJ01000050.1_9	TIGR01951,2.5e-32,108.9
LURJ01000051.1_16	TIGR03725,2.1e-26,90.1
LURJ01000051.1_9	TIGR00416,9.8e-175,578.5
LURJ01000057.1_10	TIGR00496,2.3e-69,229.5
LURJ01000057.1_9	TIGR02075,2.7e-96,318.6
LURJ01000061.1_10	TIGR00580,0.0,1046.6
LURJ01000061.1_19	TIGR00460,3.6e-65,217.0
LURJ01000061.1_49	TIGR00398,1.3e-149,496.2
LURJ01000061.1_54	TIGR00472,6.7e-246,815.2
LURJ01000062.1_4	TIGR01953,7.2e-96,318.0
LURJ01000062.1_6	TIGR00487,2.3e-242,802.8
LURJ01000063.1_5	TIGR00362,2.1e-151,501.8
LURJ01000078.1_2	TIGR00086,7.5e-51,168.9
LURJ01000078.1_3	TIGR00635,7.1e-128,422.8
