Gene Id	Top hits (Family id,e-value,bitscore)
PBPY01000003.1_4	TIGR01017,2e-77,256.0
PBPY01000004.1_4	TIGR03594,1.4e-135,449.1
PBPY01000008.1_5	TIGR00250,1.3e-16,57.4
PBPY01000009.1_15	TIGR00095,1.8e-42,141.6
PBPY01000012.1_10	TIGR00580,3.3e-279,925.6
PBPY01000012.1_19	TIGR00460,2.6e-65,217.0
PBPY01000015.1_22	TIGR00755,2.3e-73,243.2
PBPY01000015.1_33	TIGR01391,1.4e-140,465.3
PBPY01000015.1_36	TIGR00084,5.2e-38,127.0
PBPY01000016.1_11	TIGR00416,2.7e-165,547.0
PBPY01000016.1_4	TIGR03725,1.1e-29,100.5
PBPY01000017.1_1	TIGR00634,4.9e-68,226.9
PBPY01000017.1_14	TIGR01951,1.6e-32,109.0
PBPY01000017.1_5	TIGR00663,7.6e-93,307.8
PBPY01000019.1_29	TIGR00065,3.2e-132,437.6
PBPY01000019.1_31	TIGR00539,6.4e-64,212.8
PBPY01000019.1_5	TIGR00420,5.7e-102,337.6
PBPY01000020.1_4	TIGR01953,5.3e-96,318.0
PBPY01000020.1_6	TIGR00487,8.7e-242,800.5
PBPY01000023.1_8	TIGR00138,1.5e-27,92.9
PBPY01000025.1_1	TIGR00445,6.3e-83,275.3
PBPY01000025.1_5	TIGR00166,1e-21,73.5
PBPY01000025.1_8	TIGR02350,1.2e-219,727.0
PBPY01000026.1_21	TIGR02729,2.2e-132,437.5
PBPY01000027.1_10	TIGR01146,8.6e-108,356.9
PBPY01000028.1_5	TIGR00158,2.5e-38,128.4
PBPY01000029.1_9	TIGR00392,6.3e-272,901.1
PBPY01000030.1_10	TIGR03625,4.4e-81,268.0
PBPY01000030.1_11	TIGR03953,5.5e-66,218.0
PBPY01000030.1_13	TIGR01171,1.6e-127,421.1
PBPY01000030.1_15	TIGR01044,3.7e-38,126.5
PBPY01000030.1_16	TIGR01009,6.6e-86,283.9
PBPY01000030.1_17	TIGR01164,1.2e-49,164.1
PBPY01000030.1_21	TIGR01079,8.5e-35,115.9
PBPY01000030.1_24	TIGR03654,3.5e-71,235.0
PBPY01000030.1_26	TIGR01021,3e-59,195.8
PBPY01000030.1_27	TIGR01071,1.6e-41,138.0
PBPY01000030.1_28	TIGR00967,9.1e-113,373.7
PBPY01000030.1_32	TIGR03632,9.7e-57,187.0
PBPY01000030.1_33	TIGR02027,8e-91,300.8
PBPY01000030.1_34	TIGR00059,8.7e-38,125.6
PBPY01000030.1_36	TIGR01066,3e-62,205.1
PBPY01000030.1_39	TIGR00019,3.2e-143,473.5
PBPY01000030.1_5	TIGR02012,9.4e-163,537.5
PBPY01000033.1_8	TIGR01082,3e-126,418.6
PBPY01000038.1_5	TIGR02013,0.0,1665.7
PBPY01000038.1_7	TIGR00029,7.1e-28,93.5
PBPY01000039.1_6	TIGR00435,1.2e-145,482.6
PBPY01000039.1_7	TIGR00593,4.5e-251,832.4
PBPY01000039.1_9	TIGR00092,1.2e-151,501.5
PBPY01000040.1_6	TIGR01029,2.9e-63,208.9
PBPY01000044.1_19	TIGR00431,1.8e-56,187.6
PBPY01000044.1_22	TIGR00061,9.1e-31,102.8
PBPY01000044.1_5	TIGR01087,2.3e-109,362.9
PBPY01000045.1_3	TIGR00090,2.9e-32,107.3
PBPY01000046.1_8	TIGR00006,2.7e-86,286.3
PBPY01000048.1_4	TIGR00398,9.7e-150,496.2
PBPY01000050.1_6	TIGR01510,5e-60,198.5
PBPY01000052.1_1	TIGR00496,2.3e-69,229.0
PBPY01000052.1_2	TIGR02075,2e-96,318.6
PBPY01000057.1_2	TIGR00115,2.4e-115,382.1
PBPY01000057.1_4	TIGR00382,2.6e-186,616.0
PBPY01000057.1_6	TIGR02397,8.3e-128,423.0
PBPY01000058.1_2	TIGR00082,9e-32,106.5
PBPY01000060.1_13	TIGR00362,3.7e-151,500.5
PBPY01000063.1_14	TIGR00643,2.6e-199,660.4
PBPY01000063.1_5	TIGR01394,2.4e-295,976.9
PBPY01000066.1_5	TIGR03263,8.6e-59,194.7
PBPY01000066.1_7	TIGR03723,7e-113,373.3
PBPY01000067.1_16	TIGR00083,1.8e-72,240.7
PBPY01000067.1_19	TIGR00468,3.1e-104,345.2
PBPY01000067.1_2	TIGR00959,3.1e-171,566.4
PBPY01000067.1_7	TIGR00436,2.8e-84,279.1
PBPY01000067.1_9	TIGR00088,9.5e-88,289.8
PBPY01000073.1_4	TIGR00615,7.1e-76,250.5
PBPY01000074.1_8	TIGR00964,4.7e-17,58.2
PBPY01000077.1_10	TIGR00337,5.2e-247,817.1
PBPY01000077.1_8	TIGR00459,7.8e-236,780.4
PBPY01000083.1_17	TIGR01011,5.2e-96,316.7
PBPY01000083.1_18	TIGR00116,2e-63,210.8
PBPY01000085.1_11	TIGR00054,6.9e-82,272.0
PBPY01000085.1_12	TIGR00414,6e-147,486.5
PBPY01000092.1_5	TIGR00810,5.6e-19,64.5
PBPY01000092.1_9	TIGR01039,3.2e-243,804.0
PBPY01000095.1_5	TIGR00396,4.6e-165,547.5
