Gene Id	Top hits (Family id,e-value,bitscore)
k111_102650_1	TIGR00663,1e-98,328.5
k111_1056456_2	TIGR01953,1.3e-96,321.3
k111_1059034_1	TIGR00431,5.2e-20,69.8
k111_107656_1	TIGR01017,3e-75,250.1
k111_1082036_1	TIGR00382,2.4e-186,617.4
k111_1097854_1	TIGR00194,6.8e-83,277.0
k111_1097854_2	TIGR01510,1.8e-58,194.7
k111_1100049_2	TIGR00539,1.8e-55,186.2
k111_1121845_3	TIGR01951,4.7e-33,112.0
k111_1137710_1	TIGR00436,1.9e-84,280.9
k111_1144448_1	TIGR00496,3.2e-50,167.9
k111_130523_4	TIGR02273,1.5e-39,132.9
k111_144005_2	TIGR00459,3.3e-235,779.6
k111_150563_2	TIGR00468,2.2e-103,343.6
k111_163143_2	TIGR03625,7.2e-81,268.6
k111_168855_3	TIGR03654,1.6e-69,230.9
k111_168855_5	TIGR01021,8.8e-39,130.6
k111_169551_2	TIGR01032,1.2e-47,158.7
k111_17458_2	TIGR03725,9.9e-32,108.4
k111_19486_1	TIGR01063,0.0,1107.8
k111_19858_1	TIGR00445,1.6e-90,301.6
k111_204136_1	TIGR00168,1.1e-65,218.1
k111_224963_1	TIGR00435,1.7e-98,328.4
k111_22763_3	TIGR00631,2.7e-182,605.2
k111_233005_2	TIGR00084,2.3e-39,132.7
k111_250753_1	TIGR01039,3.4e-246,815.1
k111_297701_1	TIGR00922,4.8e-55,183.8
k111_297702_1	TIGR01632,6.5e-62,205.4
k111_297702_2	TIGR01169,2.3e-97,322.6
k111_298326_1	TIGR01063,0.0,1111.6
k111_313624_1	TIGR00006,1.8e-83,278.2
k111_317737_2	TIGR00116,2.2e-65,218.5
k111_342065_4	TIGR00043,1e-11,42.7
k111_345012_2	TIGR00416,6.3e-159,527.3
k111_346455_1	TIGR00019,6.6e-121,401.3
k111_352635_1	TIGR00344,3e-155,516.4
k111_357771_2	TIGR01066,2.5e-61,203.4
k111_36659_4	TIGR00166,3.7e-24,82.5
k111_41090_1	TIGR00065,1.4e-126,420.3
k111_423602_2	TIGR00054,8.1e-86,286.2
k111_423812_2	TIGR01029,7.2e-63,208.9
k111_428976_2	TIGR01393,1.1e-296,982.8
k111_430509_2	TIGR00090,5.7e-30,101.2
k111_440172_2	TIGR00442,1.3e-83,279.0
k111_445539_2	TIGR00420,1.3e-104,347.6
k111_449392_2	TIGR03725,2.7e-30,103.7
k111_456903_1	TIGR01146,7e-80,266.6
k111_460698_1	TIGR00643,3.1e-215,714.3
k111_484600_1	TIGR00635,7.7e-107,354.6
k111_484600_2	TIGR00086,9.2e-49,163.0
k111_494662_1	TIGR00580,2.4e-204,679.1
k111_536828_1	TIGR00593,3.1e-146,486.8
k111_551496_2	TIGR00020,5.7e-131,434.5
k111_558202_3	TIGR01394,2.8e-134,446.3
k111_573392_2	TIGR00082,2.2e-29,100.1
k111_577565_2	TIGR03723,1.9e-119,396.2
k111_583091_2	TIGR00138,4.2e-31,105.8
k111_600875_3	TIGR01171,1.2e-129,429.3
k111_606070_1	TIGR00088,6.9e-81,268.7
k111_644601_1	TIGR02729,2e-131,435.6
k111_661161_1	TIGR02350,4.7e-221,733.0
k111_682231_1	TIGR00967,1.1e-83,279.2
k111_686027_2	TIGR00539,2.3e-65,218.8
k111_68686_1	TIGR00095,4.2e-32,109.1
k111_694735_2	TIGR00115,3.5e-118,392.7
k111_720290_1	TIGR00362,1.5e-140,466.8
k111_736183_1	TIGR00435,9.9e-156,517.1
k111_73769_2	TIGR00362,1.5e-126,420.7
k111_766159_1	TIGR02013,1.9e-243,808.6
k111_770829_2	TIGR02432,3e-48,162.0
k111_775476_2	TIGR00472,1.8e-129,431.0
k111_777226_1	TIGR00398,2.7e-130,433.3
k111_782924_5	TIGR01164,3.3e-60,199.5
k111_782924_6	TIGR01009,1.5e-87,290.5
k111_782924_7	TIGR01044,1.5e-37,125.7
k111_823419_1	TIGR01087,6.1e-94,313.3
k111_825345_4	TIGR01011,6.8e-22,75.6
k111_826203_2	TIGR00487,9.9e-244,808.2
k111_836486_1	TIGR00092,1.9e-148,492.2
k111_852476_2	TIGR00250,1.6e-22,77.7
k111_868175_1	TIGR00631,7.1e-180,597.2
k111_886880_1	TIGR00634,5.5e-74,247.8
k111_916097_2	TIGR00615,9.5e-77,254.6
k111_935700_3	TIGR01039,6.6e-184,609.7
k111_949760_1	TIGR00337,3.3e-90,300.9
k111_950544_1	TIGR02027,1.3e-88,294.8
k111_950544_2	TIGR00059,8.4e-43,143.0
k111_953651_3	TIGR00810,1.2e-18,64.7
k111_966455_1	TIGR01039,6.8e-208,688.8
k111_974540_3	TIGR00186,1.5e-62,209.0
k111_97724_1	TIGR03594,2.4e-108,360.7
