Gene Id	Top hits (Family id,e-value,bitscore)
NZZL01000009.1_9	TIGR00416,4.7e-163,539.7
NZZL01000014.1_2	TIGR00158,5.4e-40,133.9
NZZL01000015.1_27	TIGR01039,2.8e-247,817.5
NZZL01000015.1_9	TIGR01146,3.4e-110,364.9
NZZL01000016.1_8	TIGR01029,2.3e-63,209.3
NZZL01000021.1_11	TIGR00615,6.9e-75,247.4
NZZL01000022.1_14	TIGR00442,1.5e-141,468.6
NZZL01000023.1_5	TIGR00468,4.1e-104,344.9
NZZL01000023.1_8	TIGR00083,6.1e-77,255.5
NZZL01000024.1_1	TIGR00084,3.4e-39,130.9
NZZL01000024.1_7	TIGR00186,1.1e-66,221.3
NZZL01000031.1_6	TIGR00115,4.4e-121,401.1
NZZL01000031.1_8	TIGR00382,4.2e-196,648.4
NZZL01000032.1_6	TIGR00398,3.4e-151,501.1
NZZL01000034.1_17	TIGR00460,2.1e-63,210.9
NZZL01000035.1_20	TIGR00362,1.5e-156,518.4
NZZL01000038.1_11	TIGR03632,2.7e-56,185.6
NZZL01000038.1_12	TIGR02027,6.2e-91,301.2
NZZL01000038.1_13	TIGR00059,2.6e-41,137.1
NZZL01000038.1_16	TIGR01066,4.2e-63,207.9
NZZL01000038.1_19	TIGR00019,9.8e-144,475.3
NZZL01000038.1_4	TIGR03654,6.1e-71,234.3
NZZL01000038.1_6	TIGR01021,3.7e-60,198.8
NZZL01000038.1_7	TIGR01071,4.1e-46,153.0
NZZL01000038.1_8	TIGR00967,1e-127,423.0
NZZL01000039.1_14	TIGR00487,7.2e-143,473.9
NZZL01000041.1_20	TIGR00755,1.5e-72,240.6
NZZL01000042.1_4	TIGR02350,7.9e-249,823.5
NZZL01000043.1_8	TIGR00054,7.5e-84,278.6
NZZL01000043.1_9	TIGR00414,1.5e-149,495.1
NZZL01000044.1_16	TIGR00086,3.9e-49,163.0
NZZL01000044.1_17	TIGR00635,1.8e-128,424.4
NZZL01000045.1_6	TIGR00963,0.0,1215.5
NZZL01000047.1_15	TIGR02075,6.3e-96,317.1
NZZL01000047.1_16	TIGR00496,1.7e-72,239.3
NZZL01000048.1_3	TIGR01128,8.5e-42,140.1
NZZL01000048.1_5	TIGR00631,0.0,1038.7
NZZL01000048.1_8	TIGR02432,7e-51,169.4
NZZL01000049.1_12	TIGR00420,1.5e-104,346.2
NZZL01000049.1_18	TIGR00959,7.2e-174,575.2
NZZL01000051.1_2	TIGR00006,7.2e-81,268.5
NZZL01000053.1_4	TIGR00928,7.4e-157,519.1
NZZL01000054.1_6	TIGR00539,6e-68,226.1
NZZL01000054.1_8	TIGR00065,2e-132,438.3
NZZL01000057.1_11	TIGR01082,1.3e-109,363.8
NZZL01000061.1_8	TIGR00580,0.0,1027.9
NZZL01000066.1_6	TIGR03594,4.8e-166,549.6
NZZL01000067.1_2	TIGR00593,8.7e-270,894.4
NZZL01000067.1_5	TIGR00435,1e-151,502.8
NZZL01000071.1_10	TIGR00138,6.2e-33,110.6
NZZL01000073.1_2	TIGR00431,4.2e-60,199.6
NZZL01000073.1_5	TIGR00061,1.6e-34,115.0
NZZL01000080.1_38	TIGR00095,2.2e-38,128.5
NZZL01000080.1_43	TIGR01063,0.0,1111.7
NZZL01000081.1_22	TIGR00082,2e-30,102.3
NZZL01000082.1_1	TIGR01087,9.8e-107,354.3
NZZL01000083.1_4	TIGR03263,1.3e-70,233.2
NZZL01000085.1_10	TIGR01169,6.6e-98,323.2
NZZL01000085.1_11	TIGR01632,5.6e-62,204.4
NZZL01000085.1_12	TIGR00922,4.9e-56,185.8
NZZL01000085.1_13	TIGR00964,1.4e-14,50.3
NZZL01000086.1_10	TIGR02729,9.3e-130,429.0
NZZL01000087.1_8	TIGR00090,1.1e-30,102.4
NZZL01000089.1_10	TIGR00116,1.3e-65,218.0
NZZL01000089.1_11	TIGR01011,1.8e-84,279.1
NZZL01000089.1_2	TIGR01394,1.6e-289,957.8
NZZL01000089.1_8	TIGR00643,1.6e-222,737.2
NZZL01000092.1_4	TIGR00472,7.1e-232,768.5
NZZL01000094.1_30	TIGR02012,3.8e-162,535.6
NZZL01000095.1_18	TIGR00460,1.6e-69,231.0
NZZL01000097.1_1	TIGR02013,0.0,1665.5
NZZL01000097.1_3	TIGR00029,5.1e-23,78.0
NZZL01000098.1_14	TIGR00663,3.1e-101,335.5
NZZL01000098.1_19	TIGR00634,3.2e-128,425.7
NZZL01000098.1_26	TIGR00445,6.9e-93,308.2
NZZL01000098.1_31	TIGR00166,1.6e-24,82.6
NZZL01000098.1_34	TIGR02350,3.9e-295,976.4
NZZL01000098.1_4	TIGR00064,3.1e-99,328.3
NZZL01000098.1_5	TIGR01951,9.3e-34,113.1
NZZL01000103.1_20	TIGR01059,0.0,1064.4
