Gene Id	Top hits (Family id,e-value,bitscore)
k111_1104_59	TIGR03263,1.3e-70,233.9
k111_1104_62	TIGR03723,9.3e-121,399.9
k111_1268_26	TIGR00086,1.1e-48,162.2
k111_1268_27	TIGR00635,1.4e-127,422.2
k111_1268_43	TIGR02273,9e-44,146.0
k111_1366_117	TIGR01394,3e-295,977.3
k111_1366_126	TIGR00643,2.7e-221,733.8
k111_1366_128	TIGR00116,6.8e-66,219.6
k111_1366_129	TIGR01011,7.9e-100,329.9
k111_1366_166	TIGR00755,2.9e-72,240.2
k111_1366_178	TIGR01391,9.2e-140,463.3
k111_1366_181	TIGR00084,4.5e-41,137.7
k111_1366_187	TIGR00186,2e-64,214.5
k111_1366_80	TIGR00250,1e-23,81.1
k111_2222_13	TIGR01393,7.7e-297,982.7
k111_2222_24	TIGR01017,2.8e-77,256.2
k111_2222_46	TIGR03594,2.5e-164,544.6
k111_2380_42	TIGR00539,2.9e-63,211.3
k111_2380_44	TIGR00065,1.8e-133,442.4
k111_2380_66	TIGR00420,1.4e-106,353.5
k111_2380_71	TIGR00959,4.2e-175,579.8
k111_2380_76	TIGR00436,4e-83,276.0
k111_2380_78	TIGR00088,4.2e-86,285.2
k111_2380_88	TIGR00083,1.1e-74,248.6
k111_2380_91	TIGR00468,5.2e-105,348.4
k111_5257_11	TIGR02729,5.6e-134,443.5
k111_5701_126	TIGR01029,2e-63,210.2
k111_5701_2	TIGR00414,2.6e-151,501.6
k111_5701_3	TIGR00054,3.3e-84,280.3
k111_5701_50	TIGR00061,7.5e-32,107.0
k111_5701_54	TIGR00431,1.1e-66,221.7
k111_5701_65	TIGR02012,4.2e-162,536.1
k111_5701_70	TIGR03625,1.5e-82,273.6
k111_5701_71	TIGR03953,9.5e-67,221.2
k111_5701_73	TIGR01171,3.2e-130,430.6
k111_5701_75	TIGR01044,7.5e-38,126.2
k111_5701_76	TIGR01009,8.7e-89,294.0
k111_5701_77	TIGR01164,6.8e-61,201.2
k111_5701_81	TIGR01079,2.8e-34,114.9
k111_5701_84	TIGR03654,1.7e-71,236.7
k111_5701_86	TIGR01021,3.1e-60,199.8
k111_5701_87	TIGR01071,4.3e-45,150.3
k111_5701_88	TIGR00967,2.4e-128,425.7
k111_5701_92	TIGR03632,4.9e-56,185.4
k111_5701_93	TIGR02027,1.5e-91,303.8
k111_5701_94	TIGR00059,5.3e-42,139.9
k111_5701_96	TIGR01066,1.7e-62,206.6
k111_5701_99	TIGR00019,2.6e-144,477.8
k111_6030_108	TIGR00138,1.9e-29,99.8
k111_6030_120	TIGR02013,0.0,1678.9
k111_6030_122	TIGR00029,3.5e-27,92.0
k111_6030_134	TIGR01953,8.9e-98,324.6
k111_6030_136	TIGR00487,9.3e-245,811.0
k111_6030_42	TIGR01087,6.9e-103,342.2
k111_6030_54	TIGR00810,5.5e-19,65.2
k111_6030_58	TIGR01039,1.9e-248,822.0
k111_6030_73	TIGR01146,5.6e-111,368.1
k111_6030_95	TIGR00928,1.3e-157,522.3
k111_6075_14	TIGR00472,8.5e-231,765.6
k111_6075_35	TIGR00194,3.9e-183,607.4
k111_6075_36	TIGR01510,5.3e-57,189.4
k111_6075_44	TIGR00396,0.0,1093.2
k111_6075_58	TIGR02350,9.4e-256,847.0
k111_6871_103	TIGR00090,6.5e-30,100.5
k111_6871_163	TIGR00580,0.0,1046.1
k111_6871_169	TIGR00460,1e-66,222.4
k111_6871_199	TIGR00398,2.5e-150,498.8
k111_7716_154	TIGR00392,1.9e-282,936.6
k111_7716_64	TIGR00442,3e-148,491.3
k111_8535_124	TIGR01082,3.4e-115,382.8
k111_8535_13	TIGR00963,0.0,1223.7
k111_8535_140	TIGR00064,1.8e-99,329.7
k111_8535_141	TIGR01951,6.4e-32,107.8
k111_8535_150	TIGR00663,4.8e-98,325.7
k111_8535_154	TIGR00634,1.5e-128,427.4
k111_8535_161	TIGR00445,2.2e-96,320.3
k111_8535_166	TIGR00166,8.4e-23,77.7
k111_8535_169	TIGR02350,1.3e-296,982.0
k111_8535_230	TIGR00337,1.2e-244,810.0
k111_8535_234	TIGR00459,1.3e-236,783.7
k111_8535_260	TIGR00158,1.2e-41,139.8
k111_8535_280	TIGR00344,1.3e-297,986.8
k111_8535_296	TIGR00964,1.9e-15,53.7
k111_8535_297	TIGR00922,9.3e-56,185.5
k111_8535_298	TIGR01632,1.5e-62,206.9
k111_8535_299	TIGR01169,5.5e-99,327.3
k111_8535_324	TIGR00456,6.6e-157,520.4
k111_8535_330	TIGR00043,5.9e-34,113.7
k111_8535_332	TIGR00020,7.6e-134,443.4
k111_8535_363	TIGR00006,9.5e-87,288.5
k111_8535_406	TIGR03725,3.4e-29,99.5
k111_8535_413	TIGR00416,3.8e-175,580.2
k111_8535_69	TIGR01128,1.1e-43,146.9
k111_8535_7	TIGR01059,0.0,1066.6
k111_8535_71	TIGR00631,0.0,1045.4
k111_8535_76	TIGR02432,1.6e-46,155.8
k111_8535_86	TIGR00115,3.1e-121,402.2
k111_8535_88	TIGR00382,1.5e-196,650.5
k111_8535_9	TIGR00168,1.4e-67,223.7
k111_8535_90	TIGR02397,1.8e-126,419.3
k111_8535_94	TIGR01032,1.3e-47,158.0
k111_8577_18	TIGR00082,3e-33,112.0
k111_869_152	TIGR02075,1.2e-95,316.7
k111_869_153	TIGR00496,4.6e-72,238.5
k111_869_46	TIGR01063,0.0,1110.7
k111_869_51	TIGR00095,4.4e-40,134.6
k111_869_72	TIGR00092,2e-149,494.9
k111_869_74	TIGR00593,2.9e-264,876.8
k111_869_75	TIGR00435,2.7e-153,508.6
k111_869_90	TIGR00362,2.4e-155,515.0
k111_9095_10	TIGR00615,4.7e-75,248.6
