Gene Id	Top hits (Family id,e-value,bitscore)
k111_1346_15	TIGR01029,4.1e-63,208.9
k111_1346_37	TIGR00019,3.3e-145,480.5
k111_1346_40	TIGR01066,4.2e-62,205.1
k111_1346_42	TIGR00059,1.2e-37,125.6
k111_1346_43	TIGR02027,1.7e-91,303.5
k111_1346_44	TIGR03632,1.3e-56,187.0
k111_1346_48	TIGR00967,2.1e-129,429.0
k111_1346_49	TIGR01071,8.6e-44,145.8
k111_1346_50	TIGR01021,3.5e-60,199.3
k111_1346_52	TIGR03654,4.1e-71,235.3
k111_1346_55	TIGR01079,1.2e-34,115.9
k111_1346_59	TIGR01164,2.8e-60,198.9
k111_1346_60	TIGR01009,7.9e-89,293.9
k111_1346_61	TIGR01044,2e-38,127.7
k111_1346_63	TIGR01171,2.6e-130,430.7
k111_1346_65	TIGR03953,7e-66,218.1
k111_1346_66	TIGR03625,6.1e-81,268.0
k111_1346_71	TIGR02012,1.3e-162,537.5
k111_13480_143	TIGR00090,7.8e-32,106.4
k111_13480_194	TIGR00250,1.1e-20,71.0
k111_13480_297	TIGR03723,2.7e-120,398.2
k111_13480_300	TIGR03263,1.1e-71,237.1
k111_13480_358	TIGR00414,5.8e-152,503.5
k111_13480_359	TIGR00054,8.2e-82,272.2
k111_13480_48	TIGR00615,1.1e-77,256.8
k111_17643_112	TIGR01017,1.8e-78,259.9
k111_17643_165	TIGR02075,2.8e-96,318.6
k111_17643_166	TIGR00496,2.3e-69,229.5
k111_17643_209	TIGR01063,0.0,1123.0
k111_17643_214	TIGR00095,5.3e-42,140.6
k111_17643_22	TIGR00468,4.3e-104,345.2
k111_17643_231	TIGR00092,5.6e-152,503.1
k111_17643_233	TIGR00593,8.4e-269,891.6
k111_17643_234	TIGR00435,1.2e-153,509.5
k111_17643_25	TIGR00083,1.5e-73,244.7
k111_17643_33	TIGR00088,1.4e-87,289.8
k111_17643_35	TIGR00436,2.4e-85,283.1
k111_17643_40	TIGR00959,1.1e-175,581.5
k111_17643_45	TIGR00420,2.9e-106,352.2
k111_17643_69	TIGR00065,4.4e-132,437.6
k111_17643_71	TIGR00539,1.3e-62,208.9
k111_17643_93	TIGR01393,9.1e-299,988.8
k111_1861_20	TIGR00082,1.4e-31,106.3
k111_22869_156	TIGR02350,8.7e-250,827.1
k111_22869_175	TIGR00396,0.0,1137.6
k111_22869_182	TIGR01510,7e-60,198.5
k111_22869_184	TIGR00194,6.9e-193,639.4
k111_22869_207	TIGR00472,5.8e-247,818.8
k111_22869_212	TIGR00398,1.4e-149,496.2
k111_22869_243	TIGR00460,3e-65,217.3
k111_22869_252	TIGR00580,0.0,1043.8
k111_24404_9	TIGR02729,5.5e-133,440.0
k111_2490_111	TIGR00061,8e-33,109.9
k111_2490_114	TIGR00431,2.6e-63,210.5
k111_2490_128	TIGR01087,4.7e-108,359.0
k111_2490_140	TIGR00810,7.9e-19,64.5
k111_2490_144	TIGR01039,2.2e-247,818.2
k111_2490_158	TIGR01146,1.9e-108,359.5
k111_2490_178	TIGR00928,3.5e-163,540.4
k111_2490_26	TIGR03594,2.6e-164,544.3
k111_2490_43	TIGR00138,5.7e-33,111.1
k111_2490_54	TIGR02013,0.0,1665.7
k111_2490_56	TIGR00029,2.2e-28,95.6
k111_2490_63	TIGR01953,7.5e-96,318.0
k111_2490_65	TIGR00487,1.2e-241,800.5
k111_2584_118	TIGR01011,7.3e-99,326.5
k111_2584_119	TIGR00116,3.8e-64,213.6
k111_2584_121	TIGR00643,1.1e-218,725.0
k111_2584_129	TIGR01394,3.4e-295,976.9
k111_2584_61	TIGR00186,1.8e-63,211.2
k111_2584_67	TIGR00084,7.3e-38,127.0
k111_2584_70	TIGR01391,3.4e-140,464.5
k111_2584_82	TIGR00755,2.6e-73,243.5
