Gene Id	Top hits (Family id,e-value,bitscore)
QCVD01000001.1_159	TIGR00928,4.8e-161,533.3
QCVD01000001.1_18	TIGR01087,2.8e-102,340.0
QCVD01000001.1_36	TIGR01039,1.3e-248,822.3
QCVD01000001.1_54	TIGR01146,1.8e-108,359.6
QCVD01000002.1_13	TIGR01059,0.0,1054.1
QCVD01000002.1_15	TIGR00168,1.7e-66,219.9
QCVD01000002.1_25	TIGR00963,0.0,1215.1
QCVD01000002.1_37	TIGR00631,0.0,1032.6
QCVD01000002.1_40	TIGR02432,1.6e-48,162.1
QCVD01000002.1_45	TIGR01128,2.1e-39,132.6
QCVD01000002.1_52	TIGR00115,3.3e-118,392.0
QCVD01000002.1_55	TIGR00382,1.1e-194,644.1
QCVD01000002.1_58	TIGR02397,1.1e-128,426.4
QCVD01000002.1_62	TIGR01032,4.5e-48,159.3
QCVD01000003.1_3	TIGR00090,2.6e-30,101.5
QCVD01000003.1_74	TIGR00250,2.1e-22,76.6
QCVD01000005.1_28	TIGR00468,1.6e-105,349.8
QCVD01000005.1_31	TIGR00083,1.4e-64,215.3
QCVD01000005.1_39	TIGR00088,8.1e-86,284.0
QCVD01000005.1_42	TIGR00436,1.1e-85,284.2
QCVD01000005.1_47	TIGR00959,1.8e-174,577.5
QCVD01000005.1_51	TIGR00420,5.4e-105,348.0
QCVD01000005.1_73	TIGR00065,1.2e-132,439.5
QCVD01000005.1_75	TIGR00539,3.5e-65,217.4
QCVD01000006.1_54	TIGR00082,7.2e-30,100.9
QCVD01000007.1_12	TIGR00006,1e-83,278.3
QCVD01000007.1_65	TIGR00392,6.6e-282,934.6
QCVD01000008.1_70	TIGR00061,4.1e-32,107.6
QCVD01000008.1_73	TIGR00431,1.7e-60,201.2
QCVD01000009.1_10	TIGR00019,2.2e-143,474.5
QCVD01000009.1_13	TIGR01066,1.4e-61,203.4
QCVD01000009.1_15	TIGR00059,4.8e-43,143.0
QCVD01000009.1_16	TIGR02027,6.2e-89,295.0
QCVD01000009.1_17	TIGR03632,1.3e-56,187.1
QCVD01000009.1_20	TIGR00967,1.1e-128,426.7
QCVD01000009.1_21	TIGR01071,6.6e-44,146.2
QCVD01000009.1_22	TIGR01021,2.1e-60,200.0
QCVD01000009.1_24	TIGR03654,7.4e-69,227.9
QCVD01000009.1_27	TIGR01079,8.9e-35,116.3
QCVD01000009.1_31	TIGR01164,4.5e-60,198.3
QCVD01000009.1_32	TIGR01009,2.3e-88,292.4
QCVD01000009.1_33	TIGR01044,1.4e-38,128.3
QCVD01000009.1_35	TIGR01171,2.6e-130,430.7
QCVD01000009.1_37	TIGR03953,9.1e-67,221.0
QCVD01000009.1_38	TIGR03625,2e-81,269.6
QCVD01000009.1_43	TIGR02012,4.2e-163,539.1
QCVD01000010.1_14	TIGR00663,1.1e-98,327.5
QCVD01000010.1_19	TIGR00634,2.7e-124,413.1
QCVD01000010.1_30	TIGR00445,1.3e-90,301.0
QCVD01000010.1_35	TIGR00166,2.1e-24,82.6
QCVD01000010.1_38	TIGR02350,2e-293,971.2
QCVD01000010.1_4	TIGR00064,3.5e-97,321.9
QCVD01000010.1_5	TIGR01951,1.6e-33,112.7
QCVD01000011.1_26	TIGR00435,8.7e-152,503.3
QCVD01000011.1_28	TIGR00593,1.9e-261,867.3
QCVD01000011.1_30	TIGR00092,6.1e-148,489.8
QCVD01000011.1_59	TIGR00095,2e-30,102.8
QCVD01000014.1_21	TIGR00442,6.5e-140,463.6
QCVD01000015.1_20	TIGR03594,7.3e-164,542.8
QCVD01000016.1_15	TIGR03725,7e-32,108.1
QCVD01000016.1_8	TIGR00416,6.2e-161,533.1
QCVD01000017.1_25	TIGR00414,4.8e-150,497.1
QCVD01000017.1_26	TIGR00054,2.5e-87,290.4
QCVD01000018.1_27	TIGR00086,6.9e-50,165.8
QCVD01000018.1_28	TIGR00635,1.3e-128,425.3
QCVD01000018.1_41	TIGR02273,2.4e-42,141.1
QCVD01000018.1_44	TIGR02191,1.5e-56,188.4
QCVD01000019.1_50	TIGR00362,3.4e-152,504.4
QCVD01000022.1_21	TIGR03263,1.2e-70,233.8
QCVD01000022.1_24	TIGR03723,6.8e-121,400.1
QCVD01000025.1_2	TIGR01029,4.6e-63,208.7
QCVD01000027.1_18	TIGR00158,9.8e-41,136.6
QCVD01000028.1_10	TIGR01632,3.3e-62,205.6
QCVD01000028.1_11	TIGR01169,4.2e-97,320.9
QCVD01000028.1_8	TIGR00964,1.4e-16,57.2
QCVD01000028.1_9	TIGR00922,4.2e-55,183.2
QCVD01000031.1_18	TIGR00396,0.0,1141.4
QCVD01000031.1_4	TIGR02350,2.2e-249,825.7
QCVD01000033.1_5	TIGR01394,4.8e-289,956.6
QCVD01000034.1_10	TIGR01393,1.5e-293,971.6
QCVD01000035.1_3	TIGR01953,6.2e-96,318.3
QCVD01000035.1_6	TIGR00487,2.3e-241,799.5
QCVD01000038.1_2	TIGR00116,3.5e-65,217.0
QCVD01000038.1_4	TIGR01011,1.6e-98,325.4
QCVD01000044.1_1	TIGR00459,5.3e-234,774.9
QCVD01000055.1_1	TIGR00344,1e-180,599.9
QCVD01000070.1_3	TIGR00186,1.6e-65,217.9
QCVD01000077.1_2	TIGR00043,4e-33,110.8
QCVD01000077.1_4	TIGR00020,7.3e-133,439.9
