Gene Id	Top hits (Family id,e-value,bitscore)
QOPS01000001.1_101	TIGR01394,5.3e-288,953.1
QOPS01000001.1_108	TIGR00643,3.3e-223,739.8
QOPS01000001.1_110	TIGR00116,5.2e-66,219.7
QOPS01000001.1_111	TIGR01011,4.9e-99,327.0
QOPS01000001.1_157	TIGR00090,5.8e-31,103.6
QOPS01000001.1_17	TIGR00396,0.0,1133.9
QOPS01000001.1_25	TIGR01510,2.6e-58,193.3
QOPS01000001.1_26	TIGR00194,6.1e-194,642.8
QOPS01000001.1_4	TIGR02350,8.4e-249,823.7
QOPS01000001.1_48	TIGR00472,3.9e-234,776.3
QOPS01000001.1_54	TIGR00398,1e-151,503.2
QOPS01000001.1_85	TIGR00460,1.4e-67,225.0
QOPS01000002.1_10	TIGR02397,2.1e-127,422.1
QOPS01000002.1_14	TIGR01032,1.9e-47,157.2
QOPS01000002.1_149	TIGR00337,1.5e-243,806.0
QOPS01000002.1_152	TIGR00459,3e-235,778.9
QOPS01000002.1_42	TIGR01082,1e-115,384.2
QOPS01000002.1_58	TIGR00064,1.7e-99,329.4
QOPS01000002.1_59	TIGR01951,1.5e-33,112.8
QOPS01000002.1_6	TIGR00115,8.3e-120,397.2
QOPS01000002.1_68	TIGR00663,4.8e-98,325.3
QOPS01000002.1_72	TIGR00634,3.1e-118,393.0
QOPS01000002.1_8	TIGR00382,3.8e-195,645.6
QOPS01000002.1_80	TIGR00445,4.6e-94,312.4
QOPS01000002.1_85	TIGR00166,3.6e-24,81.8
QOPS01000002.1_88	TIGR02350,1.5e-294,974.8
QOPS01000003.1_122	TIGR00362,1.5e-157,522.0
QOPS01000003.1_63	TIGR00496,1.2e-71,236.8
QOPS01000003.1_64	TIGR02075,1.5e-95,316.1
QOPS01000004.1_11	TIGR00431,4.7e-68,225.9
QOPS01000004.1_141	TIGR00414,6.7e-150,496.6
QOPS01000004.1_142	TIGR00054,1.2e-88,294.7
QOPS01000004.1_21	TIGR00061,3.9e-36,120.4
QOPS01000004.1_79	TIGR03723,1.1e-125,415.8
QOPS01000004.1_81	TIGR03263,1.1e-71,237.0
QOPS01000005.1_109	TIGR00250,3.2e-24,82.4
QOPS01000005.1_141	TIGR00580,0.0,1033.6
QOPS01000006.1_106	TIGR01029,6.1e-63,208.3
QOPS01000006.1_52	TIGR02012,5.2e-162,535.5
QOPS01000006.1_57	TIGR03625,1e-81,270.5
QOPS01000006.1_58	TIGR03953,7.5e-67,221.2
