Gene Id	Top hits (Family id,e-value,bitscore)
k111_10003722_1	TIGR00456,4.7e-60,202.0
k111_1007106_2	TIGR02350,3.9e-235,780.2
k111_10114091_3	TIGR00539,6e-66,221.5
k111_10137048_3	TIGR00442,8.1e-74,247.5
k111_10260273_1	TIGR00020,7.2e-105,349.4
k111_10506889_1	TIGR02191,5.3e-58,194.6
k111_10506889_3	TIGR02273,5.2e-42,141.6
k111_10581845_1	TIGR00634,3.9e-127,424.0
k111_10658166_2	TIGR02397,2.1e-124,413.9
k111_10695259_3	TIGR00186,9.9e-62,207.0
k111_10732537_1	TIGR00414,3.9e-139,462.7
k111_1080015_2	TIGR00158,3.5e-41,139.6
k111_10807965_3	TIGR00086,1.6e-50,169.4
k111_10807965_4	TIGR00635,2e-118,393.4
k111_1181934_1	TIGR00086,1.1e-26,92.1
k111_1212465_3	TIGR01087,7.5e-107,356.6
k111_1222414_4	TIGR00095,1.2e-42,144.3
k111_1444207_2	TIGR00082,2.5e-31,107.1
k111_1570763_2	TIGR01032,3.4e-46,154.7
k111_1654793_2	TIGR03654,1.4e-70,235.0
k111_1654793_4	TIGR01021,1e-59,199.3
k111_1654793_5	TIGR01071,2.5e-43,145.8
k111_1656175_1	TIGR00337,1.1e-120,402.3
k111_1785322_2	TIGR03725,1.8e-29,101.7
k111_1890035_3	TIGR01393,1.8e-123,411.5
k111_1979230_1	TIGR00631,8.6e-124,412.6
k111_2016839_1	TIGR02350,3.4e-276,915.8
k111_2038006_1	TIGR01393,2e-298,989.2
k111_20430_3	TIGR01044,1.5e-37,126.5
k111_20430_4	TIGR01009,2.3e-88,293.9
k111_20430_5	TIGR01164,8.3e-60,198.9
k111_20430_9	TIGR01079,3.5e-34,115.9
k111_2112376_1	TIGR00398,1.1e-88,296.7
k111_223138_1	TIGR00663,1.7e-98,328.4
k111_2486480_3	TIGR01128,1.3e-24,85.6
k111_2533994_1	TIGR03725,2.4e-28,98.0
k111_2604689_2	TIGR00090,6.9e-31,104.9
k111_3113081_1	TIGR00398,1e-76,257.3
k111_312281_2	TIGR00396,2.3e-127,424.8
k111_3159409_2	TIGR01169,1.6e-94,314.0
k111_3159409_3	TIGR01632,2.3e-62,207.6
k111_3159409_4	TIGR00922,4.4e-55,184.6
k111_3159409_5	TIGR00964,7.9e-15,53.0
k111_3188398_3	TIGR00468,5.1e-73,244.6
k111_3240673_1	TIGR01128,2.5e-47,160.2
k111_3251037_1	TIGR00580,2.1e-212,706.6
k111_3277735_1	TIGR00431,4.8e-34,116.4
k111_3445329_2	TIGR00398,7.6e-75,251.1
k111_3516041_3	TIGR00043,2.3e-19,68.1
k111_3516041_5	TIGR00043,1.8e-34,116.7
k111_3545298_1	TIGR00065,1.2e-102,342.4
k111_3671150_7	TIGR00460,1.4e-65,220.0
k111_3742600_4	TIGR00020,1.2e-120,401.3
k111_380650_1	TIGR03263,1.4e-71,238.3
k111_4100104_2	TIGR00362,3.6e-123,410.4
k111_4215172_2	TIGR01146,6.2e-109,362.7
k111_42718_3	TIGR00436,2.3e-84,281.4
k111_42718_6	TIGR00088,1.8e-86,287.7
k111_4344333_5	TIGR01029,7.7e-63,209.5
k111_4468877_4	TIGR01953,1e-93,312.5
k111_4694910_1	TIGR02013,6.6e-295,979.8
k111_5105157_2	TIGR00396,8.2e-141,469.3
k111_516068_1	TIGR00396,9.8e-117,389.6
k111_5260905_1	TIGR02013,4.7e-234,778.2
k111_5283714_4	TIGR00963,1e-289,961.7
k111_5422553_6	TIGR01951,7.7e-31,105.6
k111_5422553_7	TIGR00064,8.2e-98,325.5
k111_5454222_1	TIGR03625,1.8e-80,268.0
k111_5454222_2	TIGR03953,2.2e-65,218.0
k111_5454222_4	TIGR01171,6.4e-129,427.6
k111_5470784_1	TIGR00168,3.2e-57,191.3
k111_5536441_3	TIGR00194,1.4e-191,636.5
k111_5536441_5	TIGR01510,1.7e-56,189.0
k111_5840161_3	TIGR00084,2.1e-37,127.0
k111_5942871_2	TIGR02729,1.2e-131,437.1
k111_5980301_2	TIGR00398,1.2e-148,494.7
k111_6145534_5	TIGR01146,3.3e-53,179.8
k111_6259864_1	TIGR00445,6.3e-89,297.1
k111_6427967_2	TIGR01146,6.8e-52,175.5
k111_6439459_1	TIGR00392,1e-211,703.9
k111_654509_1	TIGR00487,4.6e-154,512.8
k111_6740233_1	TIGR01391,3.8e-106,353.9
k111_6775739_1	TIGR00061,2.2e-32,110.0
k111_7031979_3	TIGR00810,1.6e-18,65.0
k111_7139783_4	TIGR00362,9.8e-150,497.9
k111_7146742_1	TIGR00362,5.6e-124,413.0
k111_7409136_1	TIGR00643,4.3e-133,443.7
k111_7466542_1	TIGR01066,9.1e-21,72.6
k111_7466542_3	TIGR00059,1.8e-42,142.7
k111_7466542_4	TIGR02027,5e-91,303.5
k111_7466542_5	TIGR03632,3.9e-56,187.0
k111_7695852_2	TIGR00663,1.1e-98,329.1
k111_7708172_6	TIGR03725,6e-29,100.0
k111_7709386_1	TIGR00083,9e-66,220.7
k111_817218_1	TIGR00414,1.1e-103,346.0
k111_817218_2	TIGR00054,2.1e-81,272.4
k111_8188744_1	TIGR00487,6e-126,420.0
k111_8237325_1	TIGR01011,5e-77,256.6
k111_8237325_2	TIGR00116,1.8e-64,216.2
k111_824188_1	TIGR00362,3.8e-139,463.0
k111_828388_2	TIGR01066,1.2e-61,205.1
k111_828388_5	TIGR00019,6.9e-144,477.7
k111_8316884_1	TIGR00593,2.2e-173,577.4
k111_8608729_1	TIGR00414,1.3e-142,474.2
k111_8608729_2	TIGR00054,5.4e-82,274.4
