Gene Id	Top hits (Family id,e-value,bitscore)
QCVM01000001.1_18	TIGR00082,7e-30,100.9
QCVM01000002.1_72	TIGR00496,1.6e-69,230.0
QCVM01000002.1_73	TIGR02075,4.5e-97,321.2
QCVM01000003.1_21	TIGR00398,2e-149,495.6
QCVM01000003.1_26	TIGR00472,4.2e-241,799.4
QCVM01000003.1_49	TIGR00194,5.5e-190,629.7
QCVM01000003.1_51	TIGR01510,9.8e-58,191.5
QCVM01000003.1_58	TIGR00396,0.0,1145.1
QCVM01000003.1_72	TIGR02350,1.9e-249,825.9
QCVM01000007.1_20	TIGR00755,4.6e-70,232.8
QCVM01000007.1_33	TIGR01391,3.8e-139,461.0
QCVM01000007.1_36	TIGR00084,2.8e-39,131.5
QCVM01000007.1_42	TIGR00186,1.6e-65,217.9
QCVM01000008.1_10	TIGR00043,2.5e-33,111.5
QCVM01000008.1_19	TIGR00456,3.3e-156,517.8
QCVM01000008.1_8	TIGR00020,2.5e-132,438.2
QCVM01000009.1_22	TIGR00468,3e-105,349.0
QCVM01000009.1_25	TIGR00083,2.1e-64,214.7
QCVM01000009.1_33	TIGR00088,4.1e-86,284.9
QCVM01000009.1_36	TIGR00436,1.8e-85,283.5
QCVM01000009.1_41	TIGR00959,1.7e-174,577.5
QCVM01000009.1_47	TIGR00420,3.5e-105,348.6
QCVM01000010.1_21	TIGR02012,4.1e-163,539.1
QCVM01000010.1_26	TIGR03625,1.9e-81,269.6
QCVM01000010.1_27	TIGR03953,1.1e-66,220.7
QCVM01000010.1_29	TIGR01171,2.5e-130,430.7
QCVM01000010.1_31	TIGR01044,2.1e-38,127.7
QCVM01000010.1_32	TIGR01009,2.2e-88,292.4
QCVM01000010.1_33	TIGR01164,4.4e-60,198.3
QCVM01000010.1_37	TIGR01079,8.7e-35,116.3
QCVM01000010.1_40	TIGR03654,1.2e-69,230.5
QCVM01000010.1_42	TIGR01021,2e-60,200.1
QCVM01000010.1_43	TIGR01071,3.2e-44,147.2
QCVM01000010.1_44	TIGR00967,1e-128,426.7
QCVM01000010.1_47	TIGR03632,1.2e-56,187.1
QCVM01000010.1_48	TIGR02027,6.1e-89,295.0
QCVM01000010.1_49	TIGR00059,4.7e-43,143.0
QCVM01000010.1_51	TIGR01066,1.4e-61,203.4
QCVM01000010.1_54	TIGR00019,2.1e-143,474.5
QCVM01000011.1_27	TIGR00414,3.5e-150,497.5
QCVM01000011.1_28	TIGR00054,4.6e-86,286.2
QCVM01000013.1_26	TIGR01032,4.4e-48,159.3
QCVM01000013.1_30	TIGR02397,9.9e-129,426.5
QCVM01000013.1_33	TIGR00382,1.2e-194,644.0
QCVM01000013.1_35	TIGR00115,1.2e-117,390.1
QCVM01000013.1_42	TIGR01128,2.2e-39,132.5
QCVM01000014.1_32	TIGR01146,1e-108,360.4
QCVM01000014.1_50	TIGR01039,1.2e-248,822.3
QCVM01000015.1_26	TIGR00435,2.6e-152,505.0
QCVM01000015.1_28	TIGR00593,1.7e-261,867.3
QCVM01000015.1_30	TIGR00092,4.4e-148,490.2
QCVM01000016.1_3	TIGR00166,8.7e-24,80.6
QCVM01000016.1_6	TIGR02350,2.2e-293,971.0
QCVM01000017.1_24	TIGR00362,4.8e-152,503.9
QCVM01000018.1_23	TIGR02729,2e-105,349.4
QCVM01000019.1_15	TIGR00029,2.3e-26,89.1
QCVM01000019.1_17	TIGR02013,0.0,1661.7
QCVM01000019.1_6	TIGR00487,2.8e-241,799.3
QCVM01000019.1_9	TIGR01953,6.1e-96,318.3
QCVM01000020.1_2	TIGR00158,9.5e-41,136.6
QCVM01000020.1_25	TIGR00344,5.1e-299,991.2
QCVM01000022.1_19	TIGR01394,1.3e-288,955.1
QCVM01000023.1_21	TIGR00392,1.6e-281,933.3
QCVM01000025.1_29	TIGR00006,4.6e-84,279.4
QCVM01000028.1_15	TIGR03725,3.6e-32,109.0
QCVM01000028.1_8	TIGR00416,1.4e-160,531.9
QCVM01000033.1_12	TIGR01393,1.4e-293,971.7
QCVM01000034.1_1	TIGR00634,4.9e-64,214.1
QCVM01000034.1_14	TIGR01951,1.3e-33,113.0
QCVM01000034.1_15	TIGR00064,3.8e-97,321.8
QCVM01000034.1_5	TIGR00663,6.5e-98,324.9
QCVM01000035.1_15	TIGR00095,1.3e-30,103.4
QCVM01000035.1_20	TIGR01063,0.0,1115.3
QCVM01000042.1_11	TIGR02273,2.1e-42,141.3
QCVM01000042.1_14	TIGR02191,5.8e-56,186.4
QCVM01000044.1_12	TIGR00337,9.9e-242,800.1
QCVM01000044.1_14	TIGR00459,7.7e-234,774.3
QCVM01000045.1_5	TIGR00964,2.9e-16,56.1
QCVM01000045.1_6	TIGR00922,4.1e-55,183.2
QCVM01000045.1_7	TIGR01632,3.7e-62,205.4
QCVM01000045.1_8	TIGR01169,1.2e-98,326.0
QCVM01000046.1_3	TIGR03594,7.6e-164,542.7
QCVM01000048.1_2	TIGR03263,1.1e-71,237.2
QCVM01000048.1_5	TIGR03723,1.1e-120,399.4
QCVM01000093.1_2	TIGR00442,1e-141,469.5
QCVM01000095.1_1	TIGR00615,1.3e-52,175.0
