Gene Id	Top hits (Family id,e-value,bitscore)
UCND01000002.1_26	TIGR02729,1e-132,439.3
UCND01000003.1_109	TIGR02012,1.5e-162,537.5
UCND01000003.1_114	TIGR03625,6.9e-81,268.0
UCND01000003.1_115	TIGR03953,1e-65,217.8
UCND01000003.1_117	TIGR01171,2.9e-130,430.7
UCND01000003.1_119	TIGR01044,5.8e-38,126.5
UCND01000003.1_120	TIGR01009,9e-89,293.9
UCND01000003.1_121	TIGR01164,3.2e-60,198.9
UCND01000003.1_125	TIGR01079,1.3e-34,115.9
UCND01000003.1_128	TIGR03654,5.6e-71,235.0
UCND01000003.1_130	TIGR01021,4e-60,199.3
UCND01000003.1_131	TIGR01071,9.8e-44,145.8
UCND01000003.1_132	TIGR00967,2.4e-129,429.0
UCND01000003.1_136	TIGR03632,1.5e-56,187.0
UCND01000003.1_137	TIGR02027,1.9e-91,303.5
UCND01000003.1_138	TIGR00059,1.4e-37,125.6
UCND01000003.1_140	TIGR01066,4.8e-62,205.1
UCND01000003.1_143	TIGR00019,7.8e-145,479.4
UCND01000003.1_168	TIGR01029,4.6e-63,208.9
UCND01000005.1_22	TIGR00082,1.4e-31,106.5
UCND01000007.1_49	TIGR02075,5.3e-96,317.9
UCND01000007.1_50	TIGR00496,3.9e-69,228.9
UCND01000008.1_124	TIGR00061,4.7e-33,110.8
UCND01000008.1_127	TIGR00431,1.5e-63,211.4
UCND01000008.1_141	TIGR01087,6.5e-109,362.0
UCND01000008.1_153	TIGR00810,8.9e-19,64.5
UCND01000008.1_162	TIGR01039,2.5e-247,818.2
UCND01000008.1_176	TIGR01146,2.5e-108,359.3
UCND01000008.1_199	TIGR00928,7.1e-163,539.5
UCND01000008.1_25	TIGR03594,2.4e-164,544.6
UCND01000008.1_52	TIGR00138,5.9e-33,111.2
UCND01000008.1_63	TIGR02013,0.0,1665.7
UCND01000008.1_65	TIGR00029,2.9e-28,95.4
UCND01000008.1_74	TIGR01953,8.7e-96,318.0
UCND01000008.1_76	TIGR00487,1.4e-241,800.5
UCND01000011.1_109	TIGR01169,3e-98,324.9
UCND01000011.1_110	TIGR01632,3.6e-62,205.6
UCND01000011.1_111	TIGR00922,1.8e-55,184.6
UCND01000011.1_112	TIGR00964,7.5e-17,58.2
UCND01000011.1_126	TIGR00344,5.4e-302,1001.3
UCND01000011.1_146	TIGR00158,8.7e-42,140.2
UCND01000011.1_16	TIGR03725,8.4e-30,101.4
UCND01000011.1_181	TIGR00459,1.9e-235,779.8
UCND01000011.1_183	TIGR00337,8.9e-247,816.9
UCND01000011.1_254	TIGR02350,1.8e-294,974.8
UCND01000011.1_257	TIGR00166,7.7e-23,77.7
UCND01000011.1_261	TIGR00445,3.2e-89,296.7
UCND01000011.1_271	TIGR00634,5.1e-125,415.7
UCND01000011.1_275	TIGR00663,3.2e-100,332.7
UCND01000011.1_284	TIGR01951,2.5e-32,109.0
UCND01000011.1_285	TIGR00064,3.5e-97,322.1
UCND01000011.1_300	TIGR01082,7.1e-128,424.6
UCND01000011.1_330	TIGR01032,1.3e-46,154.7
UCND01000011.1_334	TIGR02397,9.7e-128,423.5
UCND01000011.1_336	TIGR00382,9.7e-196,647.8
UCND01000011.1_338	TIGR00115,4.8e-122,404.9
UCND01000011.1_346	TIGR01128,1.1e-40,137.0
UCND01000011.1_352	TIGR02432,2.3e-47,158.5
UCND01000011.1_360	TIGR00631,0.0,1037.9
UCND01000011.1_362	TIGR00963,0.0,1219.3
UCND01000011.1_367	TIGR00168,1.4e-67,223.7
UCND01000011.1_369	TIGR01059,0.0,1060.6
UCND01000011.1_397	TIGR00086,8.8e-51,168.9
UCND01000011.1_398	TIGR00635,2.4e-128,424.6
UCND01000011.1_410	TIGR02273,1.9e-43,144.9
UCND01000011.1_413	TIGR02191,3.3e-53,177.6
UCND01000011.1_451	TIGR00442,1.3e-146,485.8
UCND01000011.1_543	TIGR00392,3.1e-285,945.8
UCND01000011.1_56	TIGR00006,1.9e-86,287.5
UCND01000011.1_67	TIGR00020,2.2e-134,445.1
UCND01000011.1_69	TIGR00043,1.2e-34,115.9
UCND01000011.1_75	TIGR00456,1.8e-155,515.7
UCND01000011.1_9	TIGR00416,2.6e-174,577.3
UCND01000012.1_21	TIGR00054,1.2e-81,271.8
UCND01000012.1_22	TIGR00414,2.3e-152,505.0
UCND01000012.1_83	TIGR03263,6.6e-72,238.1
UCND01000012.1_86	TIGR03723,5.4e-121,400.7
UCND01000014.1_120	TIGR00250,2.1e-20,70.3
UCND01000014.1_191	TIGR01063,0.0,1123.3
UCND01000014.1_196	TIGR00095,3.5e-42,141.4
UCND01000014.1_217	TIGR00092,4.9e-151,500.1
UCND01000014.1_219	TIGR00593,2e-267,887.2
UCND01000014.1_220	TIGR00435,9.7e-153,506.7
UCND01000014.1_66	TIGR00090,4.6e-32,107.3
UCND01000015.1_157	TIGR00362,3.6e-151,501.2
UCND01000015.1_16	TIGR01393,9.1e-299,989.0
UCND01000015.1_333	TIGR00186,9.1e-67,222.1
UCND01000015.1_339	TIGR00084,5.5e-38,127.5
UCND01000015.1_342	TIGR01391,3.3e-140,464.7
UCND01000015.1_354	TIGR00755,1.9e-73,244.1
UCND01000015.1_390	TIGR01011,8.3e-99,326.5
UCND01000015.1_391	TIGR00116,9.9e-64,212.4
UCND01000015.1_393	TIGR00643,2.4e-218,724.0
UCND01000015.1_401	TIGR01394,3.9e-295,976.9
UCND01000015.1_43	TIGR00539,4.7e-64,213.9
UCND01000015.1_45	TIGR00065,5e-132,437.6
UCND01000015.1_457	TIGR00580,0.0,1045.4
UCND01000015.1_467	TIGR00460,3.9e-65,217.1
UCND01000015.1_498	TIGR00398,1.5e-149,496.2
UCND01000015.1_5	TIGR01017,2.6e-78,259.5
UCND01000015.1_503	TIGR00472,3.6e-245,813.0
UCND01000015.1_526	TIGR00194,5.4e-192,636.6
UCND01000015.1_528	TIGR01510,7.9e-60,198.5
UCND01000015.1_535	TIGR00396,0.0,1138.4
UCND01000015.1_551	TIGR02350,1e-249,827.0
UCND01000015.1_69	TIGR00420,4.8e-106,351.7
UCND01000015.1_74	TIGR00959,1.2e-175,581.6
UCND01000015.1_79	TIGR00436,2.7e-85,283.1
UCND01000015.1_82	TIGR00088,1.5e-87,289.8
UCND01000015.1_89	TIGR00083,7.1e-74,246.0
UCND01000015.1_92	TIGR00468,4.8e-104,345.2
UCND01000017.1_49	TIGR00615,1.4e-77,256.7
