Gene Id	Top hits (Family id,e-value,bitscore)
k111_1001926_2	TIGR00382,9.5e-96,318.4
k111_1026333_3	TIGR00414,6.8e-150,496.8
k111_1026333_4	TIGR00054,4.9e-88,292.9
k111_104601_4	TIGR03594,5.1e-111,368.9
k111_1068245_11	TIGR01510,1.9e-59,197.3
k111_1068245_19	TIGR00396,0.0,1133.6
k111_1068245_9	TIGR00194,3.8e-190,630.5
k111_1085587_1	TIGR01391,9.5e-88,292.0
k111_1113016_1	TIGR01393,4.9e-170,563.9
k111_114780_1	TIGR00090,3.6e-30,101.3
k111_1169907_1	TIGR01039,4.4e-239,791.1
k111_117477_1	TIGR00487,2.2e-153,509.2
k111_1176985_3	TIGR00020,5.6e-133,440.5
k111_132107_2	TIGR00634,1.7e-122,407.4
k111_158917_3	TIGR00392,1.1e-284,944.0
k111_175534_6	TIGR02729,9.3e-133,439.4
k111_214541_1	TIGR00487,1.8e-212,704.4
k111_216764_2	TIGR00043,5.2e-34,113.9
k111_216764_4	TIGR00020,6.7e-131,433.7
k111_22627_1	TIGR00472,2.4e-134,446.5
k111_241269_9	TIGR00082,6.4e-31,104.5
k111_285621_3	TIGR01032,1.1e-47,158.2
k111_305882_2	TIGR00663,1.3e-98,327.5
k111_321507_1	TIGR00362,8.2e-141,467.2
k111_321584_2	TIGR00362,1.8e-153,508.9
k111_334468_11	TIGR03723,9.6e-120,396.6
k111_334468_8	TIGR03263,1.9e-71,236.6
k111_340148_2	TIGR00088,8.8e-86,284.1
k111_353730_1	TIGR02012,1.5e-162,537.5
k111_357581_4	TIGR01029,2.3e-63,209.9
k111_371690_2	TIGR03953,3.6e-66,219.3
k111_371690_4	TIGR01171,1.3e-130,431.9
k111_371690_6	TIGR01044,3.8e-37,123.9
k111_371690_7	TIGR01009,9.8e-89,293.8
k111_371690_8	TIGR01164,3.3e-60,199.0
k111_371751_1	TIGR00158,6.6e-31,105.0
k111_39237_3	TIGR00663,1.8e-98,327.1
k111_427611_1	TIGR00194,7.1e-119,395.2
k111_439859_3	TIGR00398,8.2e-147,487.2
k111_487846_1	TIGR00115,4.3e-105,349.0
k111_489833_5	TIGR03725,1.1e-29,101.1
k111_490043_1	TIGR01011,2.4e-98,325.1
k111_490043_11	TIGR01394,4e-292,967.0
k111_490043_2	TIGR00116,2.1e-66,221.2
k111_490043_4	TIGR00643,2.7e-215,713.9
k111_49934_1	TIGR00810,3.7e-19,65.7
k111_525104_1	TIGR01146,1.8e-48,162.9
k111_548983_2	TIGR00615,2.7e-75,249.3
k111_551498_2	TIGR00166,6.4e-23,78.0
k111_561618_3	TIGR00959,9.2e-175,578.7
k111_561618_8	TIGR00436,1.3e-81,271.1
k111_569338_1	TIGR00580,5.7e-175,581.3
k111_581732_1	TIGR01087,1.2e-90,301.9
k111_591194_1	TIGR01393,2.3e-243,806.1
k111_592539_14	TIGR02350,2.2e-248,822.7
k111_648217_3	TIGR00539,1.2e-58,196.1
k111_676883_2	TIGR00029,1.9e-26,89.6
k111_693781_1	TIGR00963,3.3e-285,945.5
k111_704481_1	TIGR01082,1.8e-101,337.6
k111_732344_20	TIGR02075,3.1e-96,318.6
k111_737584_2	TIGR00019,2.9e-144,477.6
k111_751420_1	TIGR00445,1.8e-86,287.7
k111_762445_2	TIGR00061,3.6e-32,108.0
k111_774117_3	TIGR00337,7.5e-131,434.4
k111_779611_2	TIGR00186,2.2e-63,211.1
k111_781071_3	TIGR00928,8.1e-152,503.1
k111_781074_2	TIGR00250,1.7e-21,73.8
k111_786916_2	TIGR02432,1.1e-37,127.0
k111_842923_3	TIGR00092,2.1e-148,491.5
k111_848429_2	TIGR00967,1e-128,426.9
k111_848429_3	TIGR01071,7.3e-47,156.0
k111_848429_4	TIGR01021,3.2e-60,199.7
k111_848429_6	TIGR03654,3e-71,236.0
k111_910992_3	TIGR02273,6e-42,140.1
k111_932634_4	TIGR00064,7.8e-98,324.3
k111_932634_5	TIGR01951,3.5e-31,105.4
k111_935873_2	TIGR01066,2.2e-62,206.2
k111_958240_1	TIGR00416,1.1e-149,496.2
k111_976042_1	TIGR00362,4.3e-91,303.3
k111_976868_2	TIGR00442,1.4e-145,482.5
