Gene Id	Top hits (Family id,e-value,bitscore)
NZ_CM001775.1_100	TIGR00539,4.2e-91,303.6
NZ_CM001775.1_1019	TIGR01029,5.1e-69,229.0
NZ_CM001775.1_1071	TIGR00928,6.9e-178,589.7
NZ_CM001775.1_1085	TIGR00487,2e-254,843.6
NZ_CM001775.1_1105	TIGR00168,7.3e-69,228.5
NZ_CM001775.1_1126	TIGR01953,1.5e-95,317.9
NZ_CM001775.1_1152	TIGR01510,3.8e-62,206.8
NZ_CM001775.1_1289	TIGR00082,7.3e-38,127.5
NZ_CM001775.1_1383	TIGR02729,4.3e-138,457.6
NZ_CM001775.1_145	TIGR00392,0.0,1014.7
NZ_CM001775.1_1463	TIGR00086,7.2e-58,192.6
NZ_CM001775.1_1515	TIGR00194,4.1e-201,667.4
NZ_CM001775.1_1549	TIGR00436,8.4e-101,334.7
NZ_CM001775.1_1593	TIGR01393,0.0,1013.2
NZ_CM001775.1_1604	TIGR00337,9.9e-260,860.4
NZ_CM001775.1_1637	TIGR00092,1.1e-163,542.5
NZ_CM001775.1_1685	TIGR03725,5.4e-31,106.1
NZ_CM001775.1_1688	TIGR03594,1.3e-162,539.6
NZ_CM001775.1_1738	TIGR01146,1.9e-114,380.1
NZ_CM001775.1_1798	TIGR00580,0.0,1077.7
NZ_CM001775.1_1824	TIGR00635,1e-138,459.4
NZ_CM001775.1_1916	TIGR00810,2.3e-19,67.1
NZ_CM001775.1_1981	TIGR02350,2.4e-298,988.3
NZ_CM001775.1_200	TIGR00006,4e-108,359.4
NZ_CM001775.1_2074	TIGR00435,6.6e-178,590.3
NZ_CM001775.1_217	TIGR01032,5.5e-50,166.3
NZ_CM001775.1_2175	TIGR00061,1.4e-33,113.2
NZ_CM001775.1_2227	TIGR01087,7.3e-128,425.2
NZ_CM001775.1_2250	TIGR01039,2.4e-254,842.1
NZ_CM001775.1_226	TIGR02350,5.7e-269,891.3
NZ_CM001775.1_2269	TIGR01394,9.9e-294,972.9
NZ_CM001775.1_2277	TIGR01017,4.2e-81,269.3
NZ_CM001775.1_2278	TIGR02432,1.5e-51,172.9
NZ_CM001775.1_2309	TIGR00382,6.1e-210,695.3
NZ_CM001775.1_2341	TIGR00043,5.1e-38,127.4
NZ_CM001775.1_2354	TIGR00344,0.0,1066.5
NZ_CM001775.1_2366	TIGR00445,3.9e-106,353.0
NZ_CM001775.1_2382	TIGR00634,3.4e-162,539.1
NZ_CM001775.1_2521	TIGR02397,4.6e-133,441.7
NZ_CM001775.1_2525	TIGR00019,1.8e-158,525.0
NZ_CM001775.1_2529	TIGR01059,0.0,1095.6
NZ_CM001775.1_2536	TIGR02012,6.8e-161,532.8
