#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
NC_019748.1_1562     -          TIGR00006            TIGR00006   3.7e-104  346.6   0.2  1.5e-103  344.6   0.2   1.7   1   1   0   1   1   1   1 # 1753237 # 1754124 # -1 # ID=1_1562;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.358
NC_019748.1_4077     -          TIGR00019            TIGR00019   4.1e-157  520.8   6.8  4.6e-157  520.6   6.8   1.0   1   0   0   1   1   1   1 # 4568628 # 4569740 # -1 # ID=1_4077;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.381
NC_019748.1_3115     -          TIGR00020            TIGR00020   7.2e-126  418.1   1.4  8.1e-126  417.9   1.4   1.0   1   0   0   1   1   1   1 # 3535234 # 3536169 # 1 # ID=1_3115;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389
NC_019748.1_1467     -          TIGR00029            TIGR00029    1.3e-28   97.5  11.7   1.5e-28   97.3  11.7   1.1   1   0   0   1   1   1   1 # 1637904 # 1638200 # 1 # ID=1_1467;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
NC_019748.1_212      -          TIGR00043            TIGR00043    1.4e-36  123.1   0.0   1.7e-36  122.8   0.0   1.1   1   0   0   1   1   1   1 # 240021 # 240515 # -1 # ID=1_212;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.382
NC_019748.1_3577     -          TIGR00054            TIGR00054   2.5e-108  360.8   1.9   4.9e-62  208.2   0.6   2.0   1   1   1   2   2   2   2 # 4041769 # 4042860 # -1 # ID=1_3577;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.391
NC_019748.1_4082     -          TIGR00059            TIGR00059    2.9e-43  144.9   2.0   3.3e-43  144.7   2.0   1.0   1   0   0   1   1   1   1 # 4571911 # 4572261 # -1 # ID=1_4082;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.422
NC_019748.1_4376     -          TIGR00061            TIGR00061    5.6e-37  124.3   0.8   6.8e-37  124.1   0.8   1.1   1   0   0   1   1   1   1 # 4906546 # 4906926 # -1 # ID=1_4376;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.423
NC_019748.1_2323     -          TIGR00064            TIGR00064   5.3e-106  352.0   0.9  5.3e-106  352.0   0.9   1.5   2   0   0   2   2   1   1 # 2634840 # 2636213 # -1 # ID=1_2323;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.387
NC_019748.1_3011     -          TIGR00065            TIGR00065   2.3e-136  452.8   8.6  2.9e-136  452.5   8.6   1.0   1   0   0   1   1   1   1 # 3422182 # 3423435 # -1 # ID=1_3011;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.422
NC_019748.1_916      -          TIGR00082            TIGR00082    2.5e-39  132.5   0.3     3e-39  132.2   0.3   1.1   1   0   0   1   1   1   1 # 1028935 # 1029336 # -1 # ID=1_916;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.378
NC_019748.1_2919     -          TIGR00083            TIGR00083    1.6e-92  308.2   0.1   1.8e-92  307.9   0.1   1.0   1   0   0   1   1   1   1 # 3332182 # 3333111 # 1 # ID=1_2919;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.378
NC_019748.1_2816     -          TIGR00084            TIGR00084    2.1e-53  178.8   5.7   2.4e-53  178.6   5.7   1.0   1   0   0   1   1   1   1 # 3214379 # 3215020 # -1 # ID=1_2816;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.305
NC_019748.1_3726     -          TIGR00086            TIGR00086    4.9e-61  203.1   1.3   5.6e-61  202.9   1.3   1.0   1   0   0   1   1   1   1 # 4223463 # 4223930 # -1 # ID=1_3726;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
NC_019748.1_311      -          TIGR00088            TIGR00088   8.5e-100  330.9   0.0  9.4e-100  330.8   0.0   1.0   1   0   0   1   1   1   1 # 351894 # 352589 # -1 # ID=1_311;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.384
NC_019748.1_3069     -          TIGR00090            TIGR00090    2.5e-31  105.9   0.1   3.5e-31  105.4   0.1   1.2   1   0   0   1   1   1   1 # 3486895 # 3487311 # -1 # ID=1_3069;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
