Gene Id	Top hits (Family id,e-value,bitscore)
UCNW01000002.1_182	TIGR02350,1.5e-251,833.1
UCNW01000002.1_198	TIGR00396,0.0,1135.0
UCNW01000004.1_128	TIGR00061,4.6e-33,110.9
UCNW01000004.1_131	TIGR00431,6.1e-64,212.8
UCNW01000004.1_145	TIGR01087,1.4e-107,357.7
UCNW01000004.1_157	TIGR00810,5.1e-19,65.4
UCNW01000004.1_164	TIGR01039,6.3e-248,820.3
UCNW01000004.1_180	TIGR01146,8.6e-109,360.9
UCNW01000004.1_200	TIGR00928,1.8e-162,538.3
UCNW01000004.1_32	TIGR03594,1e-164,545.9
UCNW01000004.1_59	TIGR00138,2.6e-31,105.9
UCNW01000004.1_70	TIGR02013,0.0,1662.1
UCNW01000004.1_72	TIGR00029,2.1e-26,89.5
UCNW01000004.1_82	TIGR01953,7.8e-96,318.2
UCNW01000004.1_84	TIGR00487,5e-242,802.0
UCNW01000005.1_9	TIGR02729,1.2e-132,439.1
UCNW01000006.1_15	TIGR01029,2.8e-63,209.7
UCNW01000006.1_38	TIGR00019,1.7e-145,481.6
UCNW01000006.1_41	TIGR01066,1.9e-62,206.5
UCNW01000006.1_43	TIGR00059,7.1e-43,142.7
UCNW01000006.1_44	TIGR02027,5.2e-91,302.1
UCNW01000006.1_45	TIGR03632,1.6e-56,187.0
UCNW01000006.1_49	TIGR00967,6.3e-128,424.4
UCNW01000006.1_50	TIGR01071,1.2e-44,148.8
UCNW01000006.1_51	TIGR01021,4.2e-60,199.3
UCNW01000006.1_53	TIGR03654,1.3e-70,233.9
UCNW01000006.1_56	TIGR01079,1.4e-34,115.8
UCNW01000006.1_60	TIGR01164,3.4e-60,198.9
UCNW01000006.1_61	TIGR01009,1.4e-88,293.4
UCNW01000006.1_62	TIGR01044,4.5e-38,126.9
UCNW01000006.1_64	TIGR01171,1.2e-129,428.8
UCNW01000006.1_66	TIGR03953,8.8e-66,218.0
UCNW01000006.1_67	TIGR03625,1.4e-80,267.1
UCNW01000006.1_72	TIGR02012,1.8e-162,537.3
UCNW01000008.1_10	TIGR01510,2.3e-59,197.1
UCNW01000008.1_12	TIGR00194,1.4e-183,608.9
UCNW01000008.1_139	TIGR01394,1.2e-293,972.0
UCNW01000008.1_147	TIGR00643,8.4e-218,722.3
UCNW01000008.1_149	TIGR00116,1.6e-64,215.1
UCNW01000008.1_150	TIGR01011,1.5e-98,325.8
UCNW01000008.1_186	TIGR00755,1.6e-70,234.5
UCNW01000008.1_199	TIGR01391,2.1e-138,458.9
UCNW01000008.1_202	TIGR00084,5.3e-38,127.6
UCNW01000008.1_208	TIGR00186,1.8e-63,211.4
UCNW01000008.1_34	TIGR00472,1.3e-243,808.0
UCNW01000008.1_38	TIGR00398,6.5e-146,484.3
UCNW01000008.1_386	TIGR00362,4.8e-151,500.9
UCNW01000008.1_468	TIGR00468,1.8e-104,346.6
UCNW01000008.1_472	TIGR00083,2.9e-74,247.3
UCNW01000008.1_480	TIGR00088,5.2e-88,291.4
UCNW01000008.1_483	TIGR00436,2.6e-86,286.5
UCNW01000008.1_488	TIGR00959,6.5e-176,582.5
UCNW01000008.1_493	TIGR00420,3.4e-106,352.3
UCNW01000008.1_517	TIGR00065,2e-132,439.0
UCNW01000008.1_523	TIGR00539,2.3e-67,224.8
UCNW01000008.1_577	TIGR01393,4.3e-299,990.1
UCNW01000008.1_590	TIGR01017,2.9e-78,259.4
UCNW01000008.1_647	TIGR02075,1.5e-96,319.7
UCNW01000008.1_648	TIGR00496,1.1e-69,230.7
UCNW01000008.1_68	TIGR00460,1.3e-69,231.9
UCNW01000008.1_725	TIGR03723,6.7e-119,393.8
UCNW01000008.1_727	TIGR03263,8.3e-72,237.8
UCNW01000008.1_788	TIGR00414,2.2e-152,505.0
UCNW01000008.1_789	TIGR00054,2.3e-79,264.4
UCNW01000008.1_80	TIGR00580,0.0,1045.2
UCNW01000009.1_103	TIGR01169,3e-98,325.0
UCNW01000009.1_104	TIGR01632,5.3e-62,205.1
