Gene Id	Top hits (Family id,e-value,bitscore)
k111_1031790_3	TIGR00967,6.6e-91,302.7
k111_1034726_4	TIGR00631,4.2e-206,683.5
k111_1040010_1	TIGR00382,1.4e-192,637.7
k111_1048889_1	TIGR00663,1.4e-97,324.4
k111_1051818_2	TIGR02012,3.5e-162,536.6
k111_1103986_1	TIGR01394,1.1e-168,559.6
k111_1110963_1	TIGR00593,1.3e-189,630.0
k111_1112985_2	TIGR03725,9e-28,95.1
k111_117484_1	TIGR02191,1.6e-50,169.1
k111_117681_1	TIGR02191,3.4e-50,168.0
k111_194758_1	TIGR00634,1.5e-83,279.0
k111_197141_1	TIGR00064,6.7e-100,331.3
k111_221043_3	TIGR00059,1.3e-41,138.9
k111_221043_4	TIGR02027,8.8e-57,190.0
k111_262847_1	TIGR00138,1.1e-31,107.3
k111_288674_1	TIGR00054,1.3e-83,278.6
k111_298006_2	TIGR00459,3.1e-170,564.8
k111_320338_1	TIGR00337,4.1e-187,620.4
k111_334202_1	TIGR02273,7.1e-38,127.1
k111_334491_1	TIGR00088,1e-79,264.5
k111_381267_1	TIGR03632,1.8e-56,187.1
k111_388260_1	TIGR00487,2.8e-109,363.9
k111_392793_1	TIGR01039,2e-221,733.1
k111_407483_2	TIGR00043,7.3e-32,107.2
k111_419098_3	TIGR00615,1.2e-74,247.5
k111_439164_3	TIGR00095,5.5e-42,141.0
k111_442746_2	TIGR00086,9.2e-50,165.9
k111_479710_1	TIGR00414,7e-124,411.4
k111_479710_2	TIGR00054,6.2e-27,91.9
k111_479997_1	TIGR00398,1.8e-79,265.3
k111_490633_2	TIGR01391,3.9e-139,461.5
k111_533552_1	TIGR00593,7.5e-134,445.5
k111_53769_2	TIGR02397,9.1e-129,427.1
k111_547384_2	TIGR00496,3.3e-69,229.5
k111_547384_3	TIGR02075,8.5e-46,153.9
k111_549056_1	TIGR00928,2.7e-132,439.1
k111_549832_1	TIGR00029,3.4e-24,82.6
k111_558486_2	TIGR01063,0.0,1114.8
k111_578990_2	TIGR00006,7.8e-84,279.1
k111_586706_1	TIGR02397,3.4e-116,385.8
k111_602758_4	TIGR01017,4.7e-76,252.4
k111_614553_1	TIGR00431,4e-61,203.8
k111_616514_2	TIGR00643,9.6e-222,735.5
k111_639862_2	TIGR01146,4e-92,306.5
k111_651329_2	TIGR03953,3e-65,216.5
k111_655851_2	TIGR00456,2e-130,433.2
k111_690646_1	TIGR01393,3.4e-93,310.4
k111_693653_1	TIGR00487,5.2e-108,359.7
k111_702126_2	TIGR01169,3.3e-98,325.0
k111_702126_3	TIGR01632,7e-62,205.0
k111_702126_4	TIGR00922,3.3e-55,184.0
k111_702126_5	TIGR00964,2.7e-14,50.3
k111_709590_1	TIGR00631,6.9e-198,656.4
k111_742700_3	TIGR01032,2.8e-47,157.2
k111_775559_1	TIGR01510,3e-58,193.7
k111_775559_2	TIGR00194,1.1e-137,457.6
k111_804768_1	TIGR00344,3.9e-139,462.8
k111_825317_3	TIGR00166,2.9e-24,82.6
k111_858312_1	TIGR00442,4.2e-138,458.2
k111_869244_1	TIGR00959,9.7e-153,506.4
k111_877848_3	TIGR00468,2.2e-94,313.7
k111_959019_1	TIGR02729,7.6e-70,232.9
k111_959312_2	TIGR00810,3.9e-19,65.9
k111_982292_2	TIGR00084,1.7e-39,132.8
k111_992989_1	TIGR00663,9.2e-63,209.8
