Gene Id	Top hits (Family id,e-value,bitscore)
UNSK01000001_100	TIGR00065,7e-131,433.7
UNSK01000001_162	TIGR00634,1.9e-143,476.4
UNSK01000001_178	TIGR00061,1.6e-34,115.3
UNSK01000001_20	TIGR00337,7.2e-228,754.4
UNSK01000001_47	TIGR01393,9.2e-298,985.5
UNSK01000002_11	TIGR00186,1e-68,228.4
UNSK01000002_31	TIGR00344,2.4e-277,919.6
UNSK01000002_86	TIGR00810,2.8e-16,56.4
UNSK01000003_44	TIGR00631,0.0,1026.5
UNSK01000003_95	TIGR00416,2.4e-178,590.5
UNSK01000004_38	TIGR01394,3.4e-276,914.2
UNSK01000004_48	TIGR01087,2.6e-120,399.5
UNSK01000004_49	TIGR00445,2.1e-90,300.5
UNSK01000004_53	TIGR01039,1.2e-254,842.2
UNSK01000004_56	TIGR00755,1e-75,251.4
UNSK01000005_11	TIGR03263,4.7e-72,238.4
UNSK01000005_21	TIGR00194,6.2e-177,586.7
UNSK01000005_24	TIGR00420,7.4e-104,344.3
UNSK01000005_40	TIGR00138,1.2e-44,149.2
UNSK01000005_59	TIGR00414,2.9e-167,553.9
UNSK01000005_6	TIGR00460,2.3e-85,283.5
UNSK01000007_44	TIGR02012,1.5e-168,557.0
UNSK01000008_33	TIGR00337,2e-243,805.7
UNSK01000008_48	TIGR00095,1.1e-37,126.6
UNSK01000008_51	TIGR01082,1.6e-125,416.7
UNSK01000008_56	TIGR00539,5.9e-96,318.7
UNSK01000008_58	TIGR00468,1.9e-101,336.6
UNSK01000009_38	TIGR00435,4.3e-163,540.7
UNSK01000009_4	TIGR00166,1.2e-21,73.8
UNSK01000009_46	TIGR00043,1.4e-25,86.6
UNSK01000010_17	TIGR00398,3.2e-143,475.2
UNSK01000010_22	TIGR01059,2.8e-300,994.4
UNSK01000010_6	TIGR02350,2e-286,948.1
UNSK01000011_2	TIGR00496,2.1e-68,226.4
UNSK01000011_3	TIGR02075,2.6e-80,266.4
UNSK01000011_37	TIGR00029,1.9e-24,83.0
UNSK01000011_48	TIGR02273,1.4e-34,115.9
UNSK01000011_49	TIGR00088,2.2e-94,312.1
UNSK01000012_23	TIGR00020,2e-139,461.6
UNSK01000013_24	TIGR00396,0.0,1085.5
UNSK01000013_4	TIGR00115,1.9e-114,379.7
UNSK01000013_6	TIGR02386,4.3e-291,965.6
UNSK01000013_7	TIGR02013,0.0,1666.3
UNSK01000014_3	TIGR00663,2.3e-81,270.6
UNSK01000015_20	TIGR00615,2.2e-83,275.6
UNSK01000015_24	TIGR00593,3.8e-293,972.2
UNSK01000015_28	TIGR03654,2.4e-73,242.6
UNSK01000015_36	TIGR01079,1.1e-36,122.5
UNSK01000015_40	TIGR01164,4.6e-57,188.6
UNSK01000015_41	TIGR01009,1.6e-88,293.0
UNSK01000015_42	TIGR01044,1.3e-28,96.3
UNSK01000015_44	TIGR01171,4.9e-134,442.9
UNSK01000015_46	TIGR03953,2.1e-69,229.7
UNSK01000015_47	TIGR03625,8.2e-85,280.7
UNSK01000015_5	TIGR02397,8.7e-134,443.2
UNSK01000015_7	TIGR00487,4.2e-226,749.2
UNSK01000015_9	TIGR00019,2.5e-149,494.1
UNSK01000016_27	TIGR00963,0.0,1131.8
UNSK01000017_12	TIGR00006,2e-109,362.8
UNSK01000020_7	TIGR00084,4.7e-40,134.1
UNSK01000021_3	TIGR00959,6.8e-176,582.3
UNSK01000021_8	TIGR00436,3.3e-81,269.6
UNSK01000022_11	TIGR02432,2e-50,168.4
UNSK01000022_16	TIGR00382,8.3e-202,667.6
UNSK01000022_8	TIGR00250,2.8e-34,115.0
UNSK01000023_18	TIGR00090,9.1e-30,99.8
UNSK01000023_9	TIGR01953,9.7e-130,429.5
UNSK01000024_14	TIGR00082,1.7e-24,83.6
UNSK01000024_15	TIGR00431,3.7e-77,255.7
UNSK01000024_16	TIGR00717,2.3e-78,261.0
UNSK01000024_23	TIGR01951,2.6e-31,105.7
UNSK01000024_24	TIGR00064,6e-96,318.0
UNSK01000024_4	TIGR00442,2.1e-146,485.0
UNSK01000026_22	TIGR01146,1.4e-94,314.1
UNSK01000027_10	TIGR00459,5.4e-235,778.2
UNSK01000027_3	TIGR01032,4.6e-48,159.3
UNSK01000028_19	TIGR00928,1.3e-154,512.2
UNSK01000029_13	TIGR00086,2.8e-55,183.4
UNSK01000032_4	TIGR00580,0.0,1052.9
UNSK01000034_11	TIGR01128,1e-36,123.8
UNSK01000035_14	TIGR00717,1.9e-80,267.9
UNSK01000035_2	TIGR00054,5.5e-68,226.7
UNSK01000035_3	TIGR01510,4.4e-57,189.5
UNSK01000036_17	TIGR00472,2.4e-232,770.5
UNSK01000038_1	TIGR02191,6.3e-64,212.5
UNSK01000038_10	TIGR00083,1.1e-65,218.9
UNSK01000038_21	TIGR00168,3.4e-50,166.9
UNSK01000038_3	TIGR00496,3.8e-69,228.8
UNSK01000038_4	TIGR02075,1.3e-100,332.9
UNSK01000038_7	TIGR00158,6.4e-41,137.3
UNSK01000039_19	TIGR00967,8.6e-117,387.5
UNSK01000039_20	TIGR01071,1e-41,139.1
UNSK01000039_22	TIGR01021,3.7e-64,212.3
UNSK01000041_17	TIGR00420,4.1e-99,328.7
UNSK01000042_1	TIGR00116,6.6e-90,298.2
UNSK01000042_2	TIGR01011,2.5e-101,334.7
UNSK01000048_10	TIGR03632,2.7e-57,189.3
UNSK01000048_11	TIGR01017,1.9e-68,227.1
UNSK01000048_12	TIGR02027,1e-104,346.9
UNSK01000048_13	TIGR00059,1e-37,125.9
UNSK01000048_15	TIGR01066,2.5e-61,202.6
UNSK01000048_6	TIGR00092,2.7e-148,491.0
UNSK01000054_6	TIGR03723,1.6e-126,418.7
UNSK01000054_7	TIGR02729,3.8e-138,457.0
UNSK01000055_12	TIGR01063,0.0,1155.8
UNSK01000060_2	TIGR03725,2.9e-31,106.1
UNSK01000063_7	TIGR03594,1.9e-165,548.0
UNSK01000064_3	TIGR01391,3e-130,431.8
UNSK01000066_1	TIGR00635,2.2e-134,444.3
UNSK01000071_3	TIGR00362,9e-128,424.0
UNSK01000074_3	TIGR01169,2.8e-92,305.2
UNSK01000074_4	TIGR01632,4.1e-61,202.1
UNSK01000074_5	TIGR00922,6.2e-62,205.5
UNSK01000074_6	TIGR00964,1.5e-13,47.5
UNSK01000080_1	TIGR00392,1.1e-294,976.9
UNSK01000080_4	TIGR01029,2.1e-58,193.7
UNSK01000089_3	TIGR00456,3.7e-124,412.1
UNSK01000091_3	TIGR00643,1.6e-234,777.3
UNSK01000092_1	TIGR00922,2e-52,174.5
UNSK01000092_2	TIGR01632,3.4e-62,205.6
