Gene Id	Top hits (Family id,e-value,bitscore)
NC_019753.1_1	TIGR00362,7.7e-163,540.7
NC_019753.1_1037	TIGR01063,0.0,1181.6
NC_019753.1_1040	TIGR00436,1.6e-99,330.8
NC_019753.1_1051	TIGR00095,1.6e-52,176.1
NC_019753.1_1207	TIGR00755,5.1e-79,263.3
NC_019753.1_1214	TIGR00928,2.8e-179,594.5
NC_019753.1_1216	TIGR02729,1.7e-139,462.6
NC_019753.1_1305	TIGR00445,2.2e-107,357.4
NC_019753.1_136	TIGR00166,1.1e-24,84.6
NC_019753.1_1361	TIGR02397,2.3e-133,442.9
NC_019753.1_1415	TIGR03263,8e-74,245.3
NC_019753.1_1422	TIGR00580,0.0,1117.3
NC_019753.1_1541	TIGR00487,3.8e-257,852.9
NC_019753.1_1543	TIGR01953,1.5e-102,341.2
NC_019753.1_1572	TIGR00634,4.1e-173,575.4
NC_019753.1_1618	TIGR02350,6.8e-299,990.4
NC_019753.1_1645	TIGR00615,4.7e-61,203.8
NC_019753.1_1660	TIGR00460,3.3e-88,293.9
NC_019753.1_1683	TIGR00539,1.4e-93,312.0
NC_019753.1_1699	TIGR02012,1.5e-163,541.8
NC_019753.1_1793	TIGR00635,3.6e-139,461.1
NC_019753.1_185	TIGR02432,2.3e-54,182.3
NC_019753.1_1895	TIGR00250,9.4e-50,166.2
NC_019753.1_1897	TIGR00435,4.6e-175,581.2
NC_019753.1_193	TIGR01059,0.0,1094.3
NC_019753.1_1938	TIGR01146,6.3e-119,395.1
NC_019753.1_1948	TIGR03725,1.1e-37,128.2
NC_019753.1_1954	TIGR00593,0.0,1020.9
NC_019753.1_1959	TIGR00084,1e-55,186.3
NC_019753.1_1973	TIGR01951,1.2e-35,120.8
NC_019753.1_1974	TIGR00064,1e-104,347.8
NC_019753.1_2	TIGR00663,1.4e-111,371.1
NC_019753.1_200	TIGR00054,5.5e-109,362.9
NC_019753.1_201	TIGR00414,5.6e-171,567.3
NC_019753.1_2010	TIGR00468,1.8e-110,367.3
NC_019753.1_2118	TIGR01011,1.4e-103,343.1
NC_019753.1_2119	TIGR00116,4.7e-69,230.9
NC_019753.1_2121	TIGR00643,5.4e-246,816.3
NC_019753.1_2131	TIGR01039,3.1e-253,838.7
NC_019753.1_2175	TIGR00392,0.0,1031.5
NC_019753.1_2279	TIGR00810,1.1e-18,65.2
NC_019753.1_2282	TIGR00019,1.6e-158,525.4
NC_019753.1_2285	TIGR01066,4.9e-64,212.5
NC_019753.1_2287	TIGR00059,2.2e-45,151.7
NC_019753.1_2288	TIGR02027,1.2e-109,364.2
NC_019753.1_2289	TIGR03632,7.7e-57,188.9
NC_019753.1_2293	TIGR00967,1.4e-141,470.3
NC_019753.1_2294	TIGR01071,5.7e-48,160.6
NC_019753.1_2295	TIGR01021,4.5e-65,216.4
NC_019753.1_2297	TIGR03654,1.9e-75,250.5
NC_019753.1_2300	TIGR01079,6.1e-37,124.3
NC_019753.1_2304	TIGR01164,8.3e-65,214.7
NC_019753.1_2305	TIGR01009,2.3e-93,309.9
NC_019753.1_2306	TIGR01044,4.8e-42,140.5
NC_019753.1_2308	TIGR01171,1.2e-135,449.3
NC_019753.1_2310	TIGR03953,5.2e-71,236.0
NC_019753.1_2311	TIGR03625,1.5e-87,290.8
NC_019753.1_2329	TIGR01082,3.2e-156,519.0
NC_019753.1_2363	TIGR00959,1.5e-181,602.0
NC_019753.1_2392	TIGR00088,1.8e-96,320.1
NC_019753.1_2425	TIGR03723,1.2e-131,436.6
NC_019753.1_2459	TIGR01128,2.2e-61,206.0
NC_019753.1_2521	TIGR00963,0.0,1247.2
NC_019753.1_2560	TIGR00083,1.7e-88,294.9
NC_019753.1_2587	TIGR00398,1.5e-167,556.6
NC_019753.1_2657	TIGR00061,5.6e-35,117.9
NC_019753.1_2676	TIGR02386,8.3e-278,922.7
NC_019753.1_2677	TIGR02013,0.0,1732.5
NC_019753.1_2679	TIGR00029,3.7e-27,92.8
NC_019753.1_2883	TIGR02350,1.8e-276,916.4
NC_019753.1_2904	TIGR00082,1.7e-41,139.5
NC_019753.1_2917	TIGR01017,5e-81,269.3
NC_019753.1_2921	TIGR00344,0.0,1096.8
NC_019753.1_3012	TIGR01029,8.6e-68,225.2
NC_019753.1_3031	TIGR00158,2.8e-43,146.0
NC_019753.1_3127	TIGR00186,1.7e-78,261.5
NC_019753.1_3204	TIGR00086,8.1e-58,192.7
NC_019753.1_3230	TIGR00442,4.1e-156,518.1
NC_019753.1_3240	TIGR00396,0.0,1215.6
NC_019753.1_3346	TIGR00090,2e-32,109.4
NC_019753.1_3370	TIGR00006,2.1e-107,357.2
NC_019753.1_3378	TIGR00337,1.2e-259,860.3
NC_019753.1_3424	TIGR00043,1.4e-34,116.6
NC_019753.1_3437	TIGR02191,1.6e-63,212.3
NC_019753.1_3461	TIGR00431,3.8e-75,250.3
NC_019753.1_3687	TIGR01394,8e-289,957.0
NC_019753.1_3740	TIGR01391,2.8e-142,472.5
NC_019753.1_3762	TIGR03594,1.6e-161,536.2
NC_019753.1_3780	TIGR00472,1.7e-232,772.2
NC_019753.1_3793	TIGR00138,1.9e-49,165.9
NC_019753.1_3814	TIGR01032,2.1e-49,164.7
NC_019753.1_3827	TIGR02350,6.8e-283,937.6
NC_019753.1_3842	TIGR00194,3.3e-205,681.2
