Gene Id	Top hits (Family id,e-value,bitscore)
NZ_AAVW01000002.1_169	TIGR00663,2.9e-106,353.5
NZ_AAVW01000002.1_170	TIGR00362,4e-163,541.6
NZ_AAVW01000002.1_58	TIGR00631,0.0,1060.9
NZ_AAVW01000002.1_62	TIGR00396,0.0,1226.1
NZ_AAVW01000002.1_9	TIGR02432,5e-59,197.5
NZ_AAVW01000003.1_131	TIGR00084,1.2e-46,156.6
NZ_AAVW01000003.1_34	TIGR02350,2.2e-297,985.4
NZ_AAVW01000005.1_2	TIGR00445,3.7e-107,356.5
NZ_AAVW01000005.1_66	TIGR00095,5.3e-54,180.9
NZ_AAVW01000005.1_92	TIGR00472,1.7e-239,795.2
NZ_AAVW01000006.1_37	TIGR02191,2.9e-65,217.9
NZ_AAVW01000006.1_40	TIGR03263,1.3e-73,244.5
NZ_AAVW01000006.1_44	TIGR03723,1e-131,436.8
NZ_AAVW01000007.1_60	TIGR00082,2.8e-40,135.5
NZ_AAVW01000009.1_15	TIGR01087,6.1e-118,392.7
NZ_AAVW01000010.1_13	TIGR01039,7.6e-253,837.3
NZ_AAVW01000010.1_37	TIGR01128,4.7e-58,195.0
NZ_AAVW01000010.1_53	TIGR03725,1.2e-35,121.5
NZ_AAVW01000011.1_33	TIGR00460,2.3e-86,287.8
NZ_AAVW01000012.1_16	TIGR01510,1.4e-60,201.9
NZ_AAVW01000012.1_21	TIGR00435,9.8e-174,576.8
NZ_AAVW01000014.1_19	TIGR00054,3.8e-104,346.9
NZ_AAVW01000014.1_23	TIGR00414,1e-167,556.4
NZ_AAVW01000015.1_30	TIGR00337,2.3e-256,849.5
NZ_AAVW01000016.1_35	TIGR00959,2.3e-183,607.9
NZ_AAVW01000019.1_7	TIGR00064,6.2e-103,341.9
NZ_AAVW01000019.1_8	TIGR01951,1.5e-36,123.6
NZ_AAVW01000020.1_26	TIGR00158,1.3e-44,150.4
NZ_AAVW01000020.1_34	TIGR00194,1.1e-205,682.7
NZ_AAVW01000023.1_35	TIGR00168,6e-36,121.6
NZ_AAVW01000024.1_34	TIGR00382,9.3e-210,694.9
NZ_AAVW01000024.1_36	TIGR00115,1.9e-113,377.4
NZ_AAVW01000026.1_20	TIGR01146,7e-120,398.1
NZ_AAVW01000027.1_24	TIGR00928,3e-172,571.3
NZ_AAVW01000027.1_5	TIGR01063,0.0,1178.2
NZ_AAVW01000027.1_9	TIGR00615,1e-78,261.3
NZ_AAVW01000028.1_21	TIGR02191,5.2e-53,177.8
NZ_AAVW01000029.1_16	TIGR01029,4.4e-66,219.6
NZ_AAVW01000030.1_15	TIGR00168,1.1e-69,231.3
NZ_AAVW01000032.1_15	TIGR00092,1.2e-159,529.3
NZ_AAVW01000032.1_35	TIGR01039,9.8e-193,639.1
NZ_AAVW01000032.1_43	TIGR01146,9.5e-47,158.2
NZ_AAVW01000033.1_11	TIGR00416,9.7e-198,655.5
NZ_AAVW01000033.1_17	TIGR01953,1.3e-102,341.4
NZ_AAVW01000033.1_19	TIGR00487,1.2e-251,834.6
NZ_AAVW01000035.1_35	TIGR00020,3.2e-120,399.4
NZ_AAVW01000035.1_36	TIGR00043,1.5e-36,123.0
NZ_AAVW01000036.1_1	TIGR00019,7.1e-160,529.8
NZ_AAVW01000036.1_12	TIGR00967,5.3e-141,468.3
NZ_AAVW01000036.1_13	TIGR01071,1.3e-46,156.0
NZ_AAVW01000036.1_14	TIGR01021,5.6e-66,219.2
NZ_AAVW01000036.1_16	TIGR03654,1e-73,244.8
NZ_AAVW01000036.1_19	TIGR01079,1.5e-37,126.3
NZ_AAVW01000036.1_23	TIGR01164,2e-63,210.2
NZ_AAVW01000036.1_24	TIGR01009,4.2e-89,295.9
NZ_AAVW01000036.1_25	TIGR01044,3.1e-41,137.9
NZ_AAVW01000036.1_27	TIGR01171,8.4e-135,446.5
NZ_AAVW01000036.1_29	TIGR03953,3e-71,236.7
NZ_AAVW01000036.1_30	TIGR03625,1.4e-84,281.0
NZ_AAVW01000036.1_4	TIGR01066,1.1e-64,214.6
NZ_AAVW01000036.1_6	TIGR00059,9.6e-43,143.1
NZ_AAVW01000036.1_7	TIGR02027,2.2e-103,343.6
NZ_AAVW01000036.1_8	TIGR03632,1.3e-57,191.4
NZ_AAVW01000037.1_33	TIGR00468,1e-110,368.0
NZ_AAVW01000037.1_35	TIGR00083,1e-88,295.5
NZ_AAVW01000037.1_40	TIGR00963,0.0,1249.4
NZ_AAVW01000038.1_12	TIGR01011,1.1e-104,346.7
NZ_AAVW01000038.1_13	TIGR00116,1.5e-90,301.4
NZ_AAVW01000038.1_15	TIGR00643,1.2e-242,805.2
NZ_AAVW01000038.1_28	TIGR02273,2.3e-38,129.3
NZ_AAVW01000039.1_18	TIGR00186,6.6e-78,259.5
NZ_AAVW01000040.1_3	TIGR00635,9.2e-139,459.7
NZ_AAVW01000040.1_34	TIGR02350,1.7e-274,909.8
