Gene Id	Top hits (Family id,e-value,bitscore)
DUDS01000001_59	TIGR01632,1.1e-63,210.3
DUDS01000001_60	TIGR01169,8.5e-92,303.5
DUDS01000001_64	TIGR00019,8.3e-154,508.7
DUDS01000001_93	TIGR00158,1.3e-39,132.9
DUDS01000003_15	TIGR00472,3.6e-220,730.1
DUDS01000003_29	TIGR00250,1.2e-21,74.1
DUDS01000003_3	TIGR00337,1.1e-243,806.4
DUDS01000003_33	TIGR00095,6.9e-44,146.7
DUDS01000003_35	TIGR03594,1e-161,535.6
DUDS01000003_50	TIGR02432,2.4e-57,190.8
DUDS01000003_63	TIGR00398,1.8e-160,532.0
DUDS01000004_10	TIGR00717,8.5e-91,301.9
DUDS01000004_17	TIGR00083,2e-72,240.9
DUDS01000007_51	TIGR00810,1e-18,64.1
DUDS01000008_4	TIGR00084,5.1e-39,130.6
DUDS01000009_17	TIGR01510,2.7e-58,193.3
DUDS01000010_110	TIGR03625,1.1e-73,244.2
DUDS01000010_112	TIGR00967,4.4e-112,371.8
DUDS01000010_113	TIGR01071,1e-44,148.8
DUDS01000010_114	TIGR01021,1.3e-61,203.9
DUDS01000010_116	TIGR03654,3.1e-65,216.1
DUDS01000010_120	TIGR01079,9.7e-37,122.5
DUDS01000010_124	TIGR01164,1.5e-56,186.9
DUDS01000010_125	TIGR01009,7.3e-85,280.9
DUDS01000010_126	TIGR01044,4.8e-35,116.8
DUDS01000010_128	TIGR01171,1.2e-124,412.0
DUDS01000010_13	TIGR01039,7.7e-253,836.1
DUDS01000010_130	TIGR03953,7.6e-60,198.3
DUDS01000010_18	TIGR00392,1.8e-287,952.9
DUDS01000010_2	TIGR01017,1.4e-76,253.6
DUDS01000010_20	TIGR02191,7.3e-69,228.5
DUDS01000010_21	TIGR00043,1.7e-36,121.6
DUDS01000010_22	TIGR00435,1.1e-151,503.0
DUDS01000010_60	TIGR01394,5.2e-278,920.1
DUDS01000010_88	TIGR02013,0.0,1645.5
DUDS01000010_95	TIGR00416,1.9e-160,531.4
DUDS01000011_33	TIGR00755,6.7e-75,248.6
DUDS01000011_49	TIGR00194,1.6e-132,440.0
DUDS01000012_2	TIGR00928,4.2e-160,530.1
DUDS01000015_121	TIGR01059,2.9e-276,914.9
DUDS01000015_164	TIGR00138,3.5e-44,147.5
DUDS01000015_173	TIGR02729,3.6e-137,453.7
DUDS01000015_31	TIGR00593,2.7e-297,985.8
DUDS01000015_34	TIGR00168,1e-57,191.3
DUDS01000015_36	TIGR01032,3.2e-48,159.7
DUDS01000015_40	TIGR00020,2.7e-108,359.0
DUDS01000019_34	TIGR01063,0.0,1107.4
DUDS01000019_44	TIGR01066,2.2e-53,176.8
DUDS01000020_3	TIGR00065,5.2e-134,443.9
DUDS01000020_30	TIGR00468,1.9e-97,323.3
DUDS01000020_36	TIGR00964,1.3e-15,54.0
DUDS01000020_37	TIGR00922,1.9e-58,194.0
DUDS01000020_40	TIGR01953,3.6e-118,391.3
DUDS01000020_42	TIGR00487,4.9e-215,712.6
DUDS01000020_43	TIGR00082,1.8e-31,105.9
DUDS01000020_44	TIGR00431,5.9e-65,215.8
DUDS01000020_51	TIGR00460,1.6e-94,313.4
DUDS01000021_6	TIGR00396,0.0,1067.0
DUDS01000021_69	TIGR02397,4.2e-122,404.7
DUDS01000021_84	TIGR02273,1.1e-42,142.1
DUDS01000021_86	TIGR00344,1e-259,861.1
DUDS01000021_99	TIGR00362,7.5e-150,496.6
DUDS01000023_1	TIGR00442,1.1e-129,429.8
DUDS01000025_4	TIGR00663,2.8e-82,273.4
DUDS01000027_16	TIGR00963,0.0,1074.5
DUDS01000028_34	TIGR00445,2e-73,244.5
DUDS01000028_43	TIGR01951,2.1e-28,96.1
DUDS01000028_49	TIGR00539,7.8e-103,341.2
DUDS01000029_27	TIGR00090,3.9e-33,110.5
DUDS01000029_36	TIGR00496,1.1e-69,230.5
DUDS01000029_38	TIGR00088,1.6e-85,283.0
DUDS01000029_39	TIGR03723,1.2e-118,392.7
DUDS01000029_44	TIGR00054,6.3e-63,209.9
DUDS01000029_49	TIGR01393,1.7e-299,991.2
DUDS01000029_62	TIGR01087,1.2e-116,387.3
DUDS01000029_73	TIGR00580,0.0,1098.9
DUDS01000030_43	TIGR02350,4.5e-289,956.7
DUDS01000032_125	TIGR02012,5.7e-164,541.9
DUDS01000034_15	TIGR01391,1e-122,406.9
DUDS01000035_15	TIGR00092,1.5e-145,481.8
DUDS01000035_17	TIGR00166,3.7e-13,46.5
