Gene Id	Top hits (Family id,e-value,bitscore)
NZ_MRCC01000001.1_190	TIGR00431,2.6e-77,257.3
NZ_MRCC01000001.1_2	TIGR00084,6.8e-49,164.0
NZ_MRCC01000001.1_219	TIGR00460,5.2e-85,283.3
NZ_MRCC01000001.1_28	TIGR01017,3.6e-81,269.7
NZ_MRCC01000001.1_42	TIGR00082,1.8e-41,139.3
NZ_MRCC01000002.1_208	TIGR03594,3e-165,548.4
NZ_MRCC01000002.1_268	TIGR03725,5.4e-38,129.1
NZ_MRCC01000002.1_293	TIGR01953,4.8e-102,339.4
NZ_MRCC01000002.1_295	TIGR00487,2.3e-259,860.1
NZ_MRCC01000002.1_53	TIGR00398,1e-171,570.3
NZ_MRCC01000003.1_167	TIGR00436,1.8e-101,337.0
NZ_MRCC01000003.1_194	TIGR00382,3.3e-210,696.3
NZ_MRCC01000003.1_196	TIGR00115,2.1e-118,393.7
NZ_MRCC01000003.1_217	TIGR01394,2e-293,972.1
NZ_MRCC01000003.1_260	TIGR00928,3.4e-180,597.5
NZ_MRCC01000003.1_28	TIGR00138,1e-48,163.4
NZ_MRCC01000003.1_48	TIGR01393,0.0,1012.5
NZ_MRCC01000003.1_61	TIGR00396,0.0,1246.2
NZ_MRCC01000004.1_216	TIGR00631,0.0,1083.9
NZ_MRCC01000004.1_230	TIGR02075,2.8e-101,336.0
NZ_MRCC01000004.1_231	TIGR00496,1.5e-74,247.5
NZ_MRCC01000004.1_255	TIGR00472,4.9e-238,790.4
NZ_MRCC01000004.1_305	TIGR02397,3.4e-132,439.0
NZ_MRCC01000004.1_311	TIGR00061,2.5e-37,125.4
NZ_MRCC01000004.1_39	TIGR00337,1.3e-257,853.5
NZ_MRCC01000004.1_80	TIGR02350,4.2e-301,997.6
NZ_MRCC01000005.1_192	TIGR03263,7.1e-75,248.6
NZ_MRCC01000005.1_196	TIGR03723,5.9e-129,427.7
NZ_MRCC01000005.1_30	TIGR01128,7e-52,174.7
NZ_MRCC01000005.1_42	TIGR00959,2.1e-184,611.3
NZ_MRCC01000006.1_122	TIGR01146,2.9e-119,396.1
NZ_MRCC01000006.1_13	TIGR00810,1.7e-21,74.1
NZ_MRCC01000006.1_136	TIGR00250,2.4e-45,151.8
NZ_MRCC01000006.1_17	TIGR00019,7.5e-159,526.4
NZ_MRCC01000006.1_20	TIGR01066,1.9e-63,210.5
NZ_MRCC01000006.1_22	TIGR00059,9.1e-44,146.4
NZ_MRCC01000006.1_23	TIGR02027,8.8e-108,358.0
NZ_MRCC01000006.1_239	TIGR01032,2.1e-49,164.6
NZ_MRCC01000006.1_24	TIGR03632,1.9e-57,190.8
NZ_MRCC01000006.1_28	TIGR00967,9.8e-143,474.0
NZ_MRCC01000006.1_29	TIGR01071,1.4e-45,152.7
NZ_MRCC01000006.1_30	TIGR01021,1e-64,215.1
NZ_MRCC01000006.1_32	TIGR03654,9.7e-78,257.9
NZ_MRCC01000006.1_35	TIGR01079,1.7e-38,129.3
NZ_MRCC01000006.1_39	TIGR01164,4.2e-65,215.6
NZ_MRCC01000006.1_40	TIGR01009,8.2e-91,301.5
NZ_MRCC01000006.1_41	TIGR01044,8.6e-42,139.6
NZ_MRCC01000006.1_43	TIGR01171,6.6e-136,450.1
NZ_MRCC01000006.1_45	TIGR03953,6.7e-70,232.3
NZ_MRCC01000006.1_46	TIGR03625,9.3e-86,284.8
NZ_MRCC01000006.1_5	TIGR00194,4e-203,674.2
NZ_MRCC01000006.1_69	TIGR01087,4.8e-123,409.5
NZ_MRCC01000006.1_90	TIGR01063,0.0,1176.9
NZ_MRCC01000007.1_206	TIGR02273,6.1e-44,147.4
NZ_MRCC01000007.1_231	TIGR00092,6.2e-161,533.6
NZ_MRCC01000007.1_245	TIGR02350,7.8e-304,1006.6
NZ_MRCC01000007.1_77	TIGR00755,1.1e-81,271.9
NZ_MRCC01000008.1_125	TIGR00166,6e-28,95.0
NZ_MRCC01000008.1_130	TIGR01011,9.2e-104,343.6
NZ_MRCC01000008.1_131	TIGR00116,4.6e-73,243.9
NZ_MRCC01000008.1_133	TIGR00643,1.6e-243,808.1
NZ_MRCC01000008.1_16	TIGR00459,3.3e-253,839.4
NZ_MRCC01000008.1_67	TIGR00158,2.1e-43,146.4
