Gene Id	Top hits (Family id,e-value,bitscore)
QCWF01000001.1_121	TIGR00090,8.8e-31,103.2
QCWF01000001.1_13	TIGR00615,2.5e-63,210.3
QCWF01000001.1_260	TIGR00580,0.0,1052.9
QCWF01000001.1_268	TIGR00460,6.9e-70,232.8
QCWF01000001.1_302	TIGR00250,2.2e-23,80.0
QCWF01000002.1_106	TIGR00472,3.5e-237,786.7
QCWF01000002.1_111	TIGR00398,1.6e-155,516.0
QCWF01000002.1_147	TIGR01391,2.1e-84,281.0
QCWF01000002.1_185	TIGR01394,1.7e-292,968.2
QCWF01000002.1_193	TIGR00643,1.8e-221,734.4
QCWF01000002.1_195	TIGR00116,1.8e-65,218.2
QCWF01000002.1_196	TIGR01011,1.3e-100,332.5
QCWF01000002.1_233	TIGR00755,1.1e-74,248.2
QCWF01000002.1_242	TIGR01391,5.8e-140,464.0
QCWF01000002.1_245	TIGR00084,3.2e-42,141.4
QCWF01000002.1_251	TIGR00186,3e-64,213.9
QCWF01000002.1_397	TIGR00496,1.6e-70,233.5
QCWF01000002.1_398	TIGR02075,3.7e-97,321.7
QCWF01000002.1_485	TIGR00362,1.4e-155,515.9
QCWF01000002.1_61	TIGR02350,1.1e-255,846.8
QCWF01000002.1_75	TIGR00396,0.0,1123.7
QCWF01000002.1_83	TIGR01510,1.2e-56,188.3
QCWF01000002.1_85	TIGR00194,1.4e-180,598.9
QCWF01000003.1_83	TIGR00593,3.9e-270,896.2
QCWF01000003.1_84	TIGR00435,4.9e-161,534.1
QCWF01000004.1_120	TIGR01169,7.8e-101,333.4
QCWF01000004.1_121	TIGR01632,6.6e-61,201.6
QCWF01000004.1_122	TIGR00922,1.9e-55,184.5
QCWF01000004.1_123	TIGR00964,5.5e-18,61.9
QCWF01000004.1_144	TIGR00344,7.7e-304,1007.4
QCWF01000004.1_15	TIGR03725,3.2e-29,99.6
QCWF01000004.1_160	TIGR00158,3e-41,138.5
QCWF01000004.1_189	TIGR00459,6.6e-233,771.5
QCWF01000004.1_192	TIGR00337,6.2e-246,814.2
QCWF01000004.1_251	TIGR02350,2.4e-296,981.1
QCWF01000004.1_254	TIGR00166,4.7e-24,81.7
QCWF01000004.1_259	TIGR00445,1.1e-90,301.5
QCWF01000004.1_268	TIGR00631,0.0,1060.3
QCWF01000004.1_270	TIGR02432,7.6e-55,183.0
QCWF01000004.1_275	TIGR00115,1.7e-119,396.5
QCWF01000004.1_277	TIGR00382,2.3e-196,649.9
QCWF01000004.1_280	TIGR02397,6.2e-127,420.9
QCWF01000004.1_284	TIGR01032,2.2e-47,157.2
QCWF01000004.1_313	TIGR01082,9.3e-116,384.7
QCWF01000004.1_332	TIGR02191,2.2e-51,171.7
QCWF01000004.1_334	TIGR02273,1.6e-40,135.4
QCWF01000004.1_355	TIGR00635,2.6e-131,434.4
QCWF01000004.1_356	TIGR00086,3.3e-48,160.6
QCWF01000004.1_367	TIGR00064,1.4e-100,333.4
QCWF01000004.1_368	TIGR01951,6.8e-32,107.7
QCWF01000004.1_376	TIGR00634,1.4e-145,483.6
QCWF01000004.1_380	TIGR00663,9.3e-105,347.7
QCWF01000004.1_386	TIGR01128,1.5e-46,156.3
QCWF01000004.1_431	TIGR00963,0.0,1204.0
QCWF01000004.1_438	TIGR00168,1.1e-67,224.0
QCWF01000004.1_440	TIGR01059,0.0,1067.2
QCWF01000004.1_70	TIGR00006,7.8e-85,282.2
QCWF01000004.1_8	TIGR00416,9.5e-177,585.5
QCWF01000004.1_83	TIGR00020,1.5e-130,432.5
QCWF01000004.1_85	TIGR00043,7.9e-33,110.1
QCWF01000004.1_90	TIGR00456,1e-156,519.8
QCWF01000005.1_104	TIGR00061,8.5e-34,113.2
QCWF01000005.1_108	TIGR00431,9.2e-66,218.7
QCWF01000005.1_12	TIGR00420,1.5e-105,350.1
QCWF01000005.1_120	TIGR01087,1.9e-111,370.4
QCWF01000005.1_133	TIGR00810,3.8e-20,69.0
QCWF01000005.1_140	TIGR01039,3.5e-250,827.7
QCWF01000005.1_162	TIGR01146,3.5e-108,358.9
QCWF01000005.1_183	TIGR00928,8.8e-164,542.6
QCWF01000005.1_194	TIGR00138,7.8e-34,114.1
QCWF01000005.1_20	TIGR00959,7.5e-174,575.7
QCWF01000005.1_206	TIGR02013,0.0,1674.8
QCWF01000005.1_208	TIGR00029,3.7e-26,88.7
QCWF01000005.1_215	TIGR01953,1.5e-97,323.8
QCWF01000005.1_218	TIGR00487,2.2e-246,816.4
QCWF01000005.1_25	TIGR00436,3.8e-89,295.8
QCWF01000005.1_27	TIGR00088,2.1e-87,289.4
QCWF01000005.1_39	TIGR00083,5.8e-75,249.6
QCWF01000005.1_42	TIGR00468,1.2e-107,357.1
QCWF01000006.1_142	TIGR00442,1.5e-147,489.0
QCWF01000006.1_28	TIGR00392,1.3e-282,937.2
QCWF01000007.1_94	TIGR00054,5.1e-84,279.7
QCWF01000007.1_96	TIGR00414,2.8e-149,494.9
QCWF01000007.1_98	TIGR01393,2e-297,984.6
QCWF01000008.1_39	TIGR02012,7.5e-161,532.0
QCWF01000008.1_44	TIGR03625,1.7e-82,273.4
QCWF01000008.1_45	TIGR03953,5.4e-67,222.0
QCWF01000008.1_47	TIGR01171,3.5e-127,420.7
QCWF01000008.1_49	TIGR01044,5.4e-37,123.4
QCWF01000008.1_50	TIGR01009,8.9e-89,294.0
QCWF01000008.1_51	TIGR01164,4.9e-61,201.6
QCWF01000008.1_55	TIGR01079,2.8e-34,114.9
QCWF01000008.1_58	TIGR03654,7.3e-71,234.7
QCWF01000008.1_60	TIGR01021,4.3e-61,202.5
QCWF01000008.1_61	TIGR01071,1.1e-46,155.4
QCWF01000008.1_62	TIGR00967,4.8e-127,421.4
QCWF01000008.1_66	TIGR03632,4.6e-56,185.5
