Gene Id	Top hits (Family id,e-value,bitscore)
QBMG01000001.1_16	TIGR02012,3.6e-163,539.8
QBMG01000001.1_21	TIGR03625,1.2e-82,274.0
QBMG01000001.1_22	TIGR03953,2e-65,217.0
QBMG01000001.1_24	TIGR01171,6.5e-131,433.1
QBMG01000001.1_26	TIGR01044,2.6e-38,127.8
QBMG01000001.1_27	TIGR01009,4.3e-88,291.9
QBMG01000001.1_28	TIGR01164,7.1e-61,201.3
QBMG01000001.1_32	TIGR01079,1.3e-33,112.9
QBMG01000001.1_35	TIGR03654,8.9e-70,231.3
QBMG01000001.1_37	TIGR01021,5.7e-61,202.3
QBMG01000001.1_38	TIGR01071,2.2e-45,151.4
QBMG01000001.1_39	TIGR00967,1.1e-128,427.0
QBMG01000001.1_43	TIGR03632,1.8e-55,183.7
QBMG01000001.1_44	TIGR02027,1.1e-91,304.5
QBMG01000001.1_45	TIGR00059,1.8e-40,135.1
QBMG01000001.1_47	TIGR01066,1.1e-61,204.1
QBMG01000001.1_50	TIGR00019,1.1e-137,456.2
QBMG01000001.1_68	TIGR01029,5.1e-64,212.2
QBMG01000002.1_43	TIGR02075,4.9e-96,318.2
QBMG01000002.1_44	TIGR00496,7.3e-71,234.8
QBMG01000003.1_19	TIGR00593,1.2e-266,884.8
QBMG01000003.1_75	TIGR00435,4.6e-151,501.4
QBMG01000004.1_16	TIGR00396,0.0,1113.4
QBMG01000004.1_24	TIGR01510,1.2e-57,191.7
QBMG01000004.1_26	TIGR00194,5.2e-190,630.3
QBMG01000004.1_47	TIGR00472,4.3e-225,746.9
QBMG01000004.1_52	TIGR00398,1.2e-147,490.1
QBMG01000005.1_13	TIGR00431,7.9e-66,219.1
QBMG01000005.1_25	TIGR01087,3.6e-106,353.2
QBMG01000005.1_35	TIGR00810,1.2e-19,67.5
QBMG01000005.1_39	TIGR01039,1.5e-248,822.5
QBMG01000005.1_53	TIGR01146,2.8e-106,352.8
QBMG01000005.1_74	TIGR00928,1.2e-161,535.6
QBMG01000005.1_9	TIGR00061,8.2e-27,91.0
QBMG01000007.1_41	TIGR01059,0.0,1063.1
QBMG01000007.1_43	TIGR00168,1.3e-66,220.7
QBMG01000007.1_46	TIGR00963,0.0,1207.9
QBMG01000007.1_69	TIGR01128,4.4e-47,158.3
QBMG01000008.1_27	TIGR00086,2.7e-49,164.3
QBMG01000008.1_28	TIGR00635,5.3e-130,430.2
QBMG01000008.1_39	TIGR00065,1.3e-124,413.5
QBMG01000008.1_42	TIGR00392,8.1e-276,914.9
QBMG01000010.1_11	TIGR00166,1e-26,90.4
QBMG01000010.1_16	TIGR00445,7.4e-93,308.9
QBMG01000010.1_24	TIGR00634,1.8e-138,460.3
QBMG01000010.1_37	TIGR00663,9.1e-102,338.1
QBMG01000010.1_46	TIGR01951,3.1e-31,105.7
QBMG01000010.1_47	TIGR00064,7.5e-99,327.8
QBMG01000010.1_8	TIGR02350,5.9e-294,973.3
QBMG01000011.1_43	TIGR00615,1.6e-57,191.5
QBMG01000014.1_1	TIGR02350,4.3e-252,835.1
QBMG01000017.1_18	TIGR02191,1.1e-50,169.5
QBMG01000017.1_20	TIGR02273,3.2e-39,131.4
QBMG01000018.1_11	TIGR00115,7.7e-110,364.9
QBMG01000018.1_13	TIGR00382,6.4e-196,648.6
QBMG01000018.1_15	TIGR02397,2.7e-127,422.2
QBMG01000018.1_20	TIGR01032,2.2e-46,154.2
QBMG01000018.1_3	TIGR00631,0.0,1024.5
QBMG01000018.1_49	TIGR01082,7.1e-126,418.2
QBMG01000018.1_6	TIGR02432,8.7e-49,163.4
QBMG01000019.1_42	TIGR03725,1.3e-25,88.0
QBMG01000019.1_49	TIGR00416,1.2e-156,519.4
QBMG01000025.1_1	TIGR00539,2e-64,215.3
QBMG01000025.1_21	TIGR01017,4.4e-78,259.0
QBMG01000025.1_3	TIGR00065,2e-131,435.8
QBMG01000028.1_8	TIGR01394,5e-289,956.9
QBMG01000030.1_17	TIGR02013,0.0,1675.1
QBMG01000030.1_20	TIGR00029,3.6e-23,79.3
QBMG01000030.1_27	TIGR01953,5.4e-98,325.5
QBMG01000030.1_4	TIGR00138,6.3e-31,104.8
QBMG01000031.1_1	TIGR00487,7.3e-244,808.2
QBMG01000031.1_14	TIGR02729,3.4e-133,441.1
QBMG01000032.1_17	TIGR00468,1.9e-103,343.4
QBMG01000032.1_21	TIGR00083,7.1e-70,233.0
QBMG01000032.1_30	TIGR00088,6.2e-84,278.2
QBMG01000033.1_30	TIGR01393,5.6e-293,970.1
QBMG01000033.1_34	TIGR00414,1.9e-129,429.7
QBMG01000035.1_10	TIGR00084,2e-41,138.9
QBMG01000035.1_20	TIGR00186,8.6e-65,215.9
QBMG01000035.1_4	TIGR01391,1.8e-140,465.8
QBMG01000036.1_25	TIGR00082,5.8e-18,62.9
QBMG01000039.1_15	TIGR01063,0.0,1107.7
QBMG01000039.1_8	TIGR00095,6.2e-39,131.0
QBMG01000042.1_18	TIGR00580,0.0,1042.1
QBMG01000046.1_12	TIGR00959,4.6e-172,570.0
QBMG01000046.1_7	TIGR00420,8.5e-98,324.8
QBMG01000047.1_6	TIGR00344,1.8e-289,960.0
QBMG01000048.1_3	TIGR00460,6.9e-61,203.4
QBMG01000051.1_1	TIGR00006,5.1e-64,214.0
QBMG01000051.1_14	TIGR00020,3.7e-130,431.4
QBMG01000051.1_16	TIGR00043,5.9e-29,97.8
QBMG01000053.1_2	TIGR00964,4.2e-16,56.0
QBMG01000053.1_3	TIGR00922,1.2e-54,182.1
QBMG01000053.1_4	TIGR01632,7.4e-61,201.6
QBMG01000053.1_5	TIGR01169,3.2e-98,325.0
QBMG01000054.1_5	TIGR00456,3e-144,478.8
QBMG01000057.1_13	TIGR01011,3.3e-98,324.8
QBMG01000057.1_14	TIGR00116,1.9e-66,221.6
QBMG01000057.1_16	TIGR00643,2.1e-184,612.1
QBMG01000058.1_16	TIGR00054,4.5e-83,276.8
QBMG01000063.1_4	TIGR00442,2.7e-146,485.0
QBMG01000067.1_2	TIGR03594,8.7e-163,539.6
QBMG01000069.1_13	TIGR00092,3.8e-147,487.6
QBMG01000073.1_2	TIGR00158,4.7e-42,141.3
QBMG01000077.1_9	TIGR00090,1.7e-30,102.5
QBMG01000085.1_1	TIGR00337,4.2e-239,791.8
QBMG01000085.1_3	TIGR00459,7.7e-227,751.6
QBMG01000087.1_8	TIGR00362,1.8e-140,466.2
QBMG01000089.1_5	TIGR03263,8.7e-66,218.3
QBMG01000089.1_8	TIGR03723,1.3e-118,393.0
QBMG01000119.1_2	TIGR00755,9.7e-73,242.0
