Gene Id	Top hits (Family id,e-value,bitscore)
NZ_LIUQ01000001.1_115	TIGR01128,6.1e-53,178.5
NZ_LIUQ01000001.1_236	TIGR01393,2.1e-302,1002.2
NZ_LIUQ01000001.1_241	TIGR01017,2.3e-79,264.1
NZ_LIUQ01000002.1_11	TIGR03723,1.7e-128,426.5
NZ_LIUQ01000002.1_152	TIGR00431,1e-76,255.6
NZ_LIUQ01000002.1_185	TIGR00615,7.9e-76,252.2
NZ_LIUQ01000003.1_116	TIGR00337,1e-254,844.3
NZ_LIUQ01000003.1_78	TIGR00344,0.0,1087.0
NZ_LIUQ01000004.1_101	TIGR01029,1.3e-67,224.9
NZ_LIUQ01000004.1_74	TIGR02350,2.2e-302,1002.1
NZ_LIUQ01000004.1_8	TIGR01063,0.0,1199.4
NZ_LIUQ01000004.1_88	TIGR00095,6.7e-48,161.3
NZ_LIUQ01000005.1_94	TIGR00082,9.6e-42,140.5
NZ_LIUQ01000006.1_16	TIGR00959,2.9e-182,604.6
NZ_LIUQ01000006.1_81	TIGR01082,9.9e-152,504.4
NZ_LIUQ01000007.1_25	TIGR00593,4.7e-302,1003.0
NZ_LIUQ01000007.1_99	TIGR00250,8.5e-46,153.6
NZ_LIUQ01000008.1_117	TIGR00964,2.3e-17,61.0
NZ_LIUQ01000008.1_118	TIGR00922,2.5e-62,208.1
NZ_LIUQ01000008.1_119	TIGR01632,2.1e-64,214.1
NZ_LIUQ01000008.1_120	TIGR01169,1.4e-96,320.6
NZ_LIUQ01000008.1_129	TIGR02191,2.4e-65,218.4
NZ_LIUQ01000008.1_78	TIGR00392,0.0,1020.8
NZ_LIUQ01000009.1_51	TIGR02012,8.9e-163,539.4
NZ_LIUQ01000011.1_29	TIGR02273,3e-40,135.7
NZ_LIUQ01000012.1_59	TIGR00086,1.4e-58,195.3
NZ_LIUQ01000012.1_66	TIGR00755,1.3e-80,268.7
NZ_LIUQ01000013.1_113	TIGR03263,1e-76,255.0
NZ_LIUQ01000013.1_22	TIGR01059,0.0,1072.3
NZ_LIUQ01000013.1_30	TIGR01039,1e-252,837.2
NZ_LIUQ01000014.1_3	TIGR02432,1.8e-59,199.2
NZ_LIUQ01000014.1_43	TIGR00092,3.6e-161,534.7
NZ_LIUQ01000014.1_96	TIGR00414,5.7e-174,577.3
NZ_LIUQ01000014.1_98	TIGR00456,1.8e-171,569.7
NZ_LIUQ01000015.1_103	TIGR01032,1.3e-49,165.6
