Gene Id	Top hits (Family id,e-value,bitscore)
k111_1200_24	TIGR00082,3.8e-29,99.0
k111_13534_163	TIGR03263,1.2e-70,234.3
k111_13534_166	TIGR03723,3.4e-122,404.9
k111_13534_171	TIGR00092,1.2e-150,499.2
k111_13534_203	TIGR00095,2.1e-45,152.2
k111_13534_210	TIGR01063,0.0,1125.2
k111_13534_30	TIGR00054,4.1e-84,280.3
k111_13534_32	TIGR00414,3.5e-150,498.1
k111_13534_34	TIGR01393,1.6e-297,985.2
k111_13534_66	TIGR00539,8.9e-68,226.5
k111_13534_68	TIGR00065,1.1e-130,433.6
k111_13534_88	TIGR01017,1.2e-77,257.6
k111_13542_221	TIGR00337,5.8e-246,814.6
k111_13542_224	TIGR00459,2.1e-234,776.7
k111_13542_254	TIGR00158,2.3e-41,139.2
k111_13542_270	TIGR00344,1.2e-303,1007.0
k111_13542_294	TIGR00964,1.3e-17,61.0
k111_13542_295	TIGR00922,2.3e-55,184.5
k111_13542_296	TIGR01632,8.1e-61,201.6
k111_13542_297	TIGR01169,6.6e-101,333.9
k111_13542_324	TIGR00456,2e-155,515.8
k111_13542_329	TIGR00043,2.7e-31,105.5
k111_13542_331	TIGR00020,2.2e-131,435.6
k111_13542_344	TIGR00006,1.3e-84,281.8
k111_13542_388	TIGR03725,7.6e-28,95.4
k111_13542_395	TIGR00416,2.5e-176,584.4
k111_13542_84	TIGR00061,3.5e-35,117.9
k111_13542_87	TIGR02729,7.1e-137,453.3
k111_13542_91	TIGR00090,2.3e-35,118.3
k111_16661_30	TIGR00362,7.4e-155,513.7
k111_17210_17	TIGR00029,2.5e-26,89.5
k111_17210_19	TIGR02013,0.0,1673.9
k111_17210_30	TIGR00138,1.2e-34,117.1
k111_17210_40	TIGR00928,1.2e-163,542.4
k111_17210_60	TIGR01146,4.2e-107,355.6
k111_17210_7	TIGR00487,7.1e-247,818.3
k111_17210_9	TIGR01953,2e-97,323.7
k111_20226_62	TIGR01029,4.1e-64,212.7
k111_20380_113	TIGR00593,1.9e-270,897.6
k111_20380_114	TIGR00435,4.9e-160,531.1
k111_20380_39	TIGR00061,1.1e-33,113.1
k111_20380_43	TIGR00431,1.6e-63,211.6
k111_20380_55	TIGR01087,2.7e-112,373.5
k111_20687_147	TIGR00020,1.2e-145,482.6
k111_21023_16	TIGR00468,3.9e-107,355.7
k111_21023_19	TIGR00083,3.5e-72,240.7
k111_21023_31	TIGR00088,6e-86,284.9
k111_21023_33	TIGR00436,3.9e-90,299.3
k111_21023_38	TIGR00959,1.7e-174,578.2
k111_21023_46	TIGR00420,5.6e-106,351.8
k111_2316_14	TIGR00810,1.8e-19,67.1
k111_2316_22	TIGR01039,9.1e-250,826.6
k111_25235_55	TIGR00090,1.6e-31,105.9
k111_4768_30	TIGR03594,2.3e-163,541.7
k111_4768_9	TIGR02729,4.7e-134,444.0
k111_5158_65	TIGR00615,3.9e-77,255.6
k111_7420_112	TIGR00631,0.0,1058.6
k111_7420_114	TIGR02432,1.4e-52,175.9
k111_7420_119	TIGR00115,6.1e-118,391.7
k111_7420_121	TIGR00382,1.1e-196,651.2
k111_7420_123	TIGR02397,3.4e-125,415.4
k111_7420_127	TIGR01032,4.2e-47,156.6
k111_7420_157	TIGR01082,3e-115,383.3
k111_7420_181	TIGR02191,2.6e-52,175.0
k111_7420_183	TIGR02273,2e-41,138.7
k111_7420_206	TIGR00635,2.4e-131,434.7
k111_7420_207	TIGR00086,4.3e-48,160.5
k111_7420_234	TIGR01059,0.0,1067.9
k111_7420_236	TIGR00168,1.1e-67,224.3
k111_7420_240	TIGR00963,0.0,1204.5
k111_7420_251	TIGR01128,4.1e-47,158.5
k111_7420_262	TIGR00663,5.8e-105,348.7
k111_7420_266	TIGR00634,2.4e-141,469.9
k111_7420_286	TIGR01951,1.1e-31,107.3
k111_7420_287	TIGR00064,7e-101,334.6
k111_7420_316	TIGR00442,8.1e-148,490.2
k111_7420_463	TIGR00392,7.6e-282,934.9
k111_7420_89	TIGR02350,3.6e-296,980.8
k111_7420_92	TIGR00166,5.8e-24,81.7
k111_7420_97	TIGR00445,1.5e-90,301.4
k111_7567_5	TIGR02075,4.8e-97,321.6
k111_7567_6	TIGR00496,1.9e-70,233.5
k111_9660_100	TIGR01011,2e-100,332.2
k111_9660_101	TIGR00116,1.1e-65,219.2
k111_9660_103	TIGR00643,1.1e-219,728.8
k111_9660_111	TIGR01394,9.1e-294,972.7
k111_9660_150	TIGR00398,2.1e-155,515.9
k111_9660_155	TIGR00472,4.1e-239,793.4
k111_9660_176	TIGR00194,4.8e-188,623.9
k111_9660_178	TIGR01510,6.7e-58,192.6
k111_9660_186	TIGR00396,0.0,1118.4
k111_9660_199	TIGR02350,1.3e-253,840.2
k111_9660_346	TIGR00250,1.9e-21,74.0
k111_9660_379	TIGR00460,2.4e-70,234.6
k111_9660_388	TIGR00580,0.0,1051.9
k111_9660_48	TIGR00186,1.2e-61,205.8
k111_9660_54	TIGR00084,1.1e-41,139.9
k111_9660_57	TIGR01391,1e-139,463.4
k111_9660_64	TIGR00755,7.2e-74,245.8
