Gene Id	Top hits (Family id,e-value,bitscore)
MOYA01000001_10	TIGR02432,4.7e-46,155.1
MOYA01000001_100	TIGR03263,5.5e-71,235.9
MOYA01000001_1026	TIGR01082,2.2e-133,443.6
MOYA01000001_1027	TIGR00029,1.8e-24,84.1
MOYA01000001_1117	TIGR01146,5.2e-95,316.5
MOYA01000001_1119	TIGR00054,4.9e-61,204.8
MOYA01000001_1138	TIGR00631,0.0,1014.9
MOYA01000001_128	TIGR00115,1.9e-109,364.2
MOYA01000001_130	TIGR00382,3.8e-202,669.8
MOYA01000001_1405	TIGR02350,4.3e-282,934.8
MOYA01000001_1550	TIGR00090,1.3e-33,113.1
MOYA01000001_1567	TIGR00166,1.5e-24,84.1
MOYA01000001_1570	TIGR00168,3.2e-61,203.8
MOYA01000001_1572	TIGR01032,5.8e-47,156.7
MOYA01000001_1610	TIGR00456,1.5e-122,407.9
MOYA01000001_163	TIGR00431,2e-63,211.9
MOYA01000001_164	TIGR00082,1.5e-28,97.6
MOYA01000001_165	TIGR00487,2.7e-236,783.9
MOYA01000001_167	TIGR01953,2.1e-117,389.9
MOYA01000001_1676	TIGR01128,5.4e-29,99.5
MOYA01000001_169	TIGR00043,2.7e-35,118.9
MOYA01000001_1714	TIGR00635,2.2e-134,445.3
MOYA01000001_1719	TIGR00095,5e-47,158.1
MOYA01000001_1720	TIGR01951,8.3e-28,95.3
MOYA01000001_1721	TIGR00064,5.3e-106,351.9
MOYA01000001_1729	TIGR00414,4.3e-162,537.9
MOYA01000001_1741	TIGR02013,0.0,1020.9
MOYA01000001_1762	TIGR02350,1.5e-251,834.0
MOYA01000001_1781	TIGR01066,2.6e-61,203.6
MOYA01000001_1783	TIGR00059,2.6e-38,128.8
MOYA01000001_1784	TIGR02027,3e-103,343.1
MOYA01000001_1785	TIGR01017,3.9e-65,217.3
MOYA01000001_1786	TIGR03632,6.8e-58,192.2
MOYA01000001_1791	TIGR00967,1.2e-112,374.8
MOYA01000001_1792	TIGR01071,9.8e-45,149.9
MOYA01000001_1794	TIGR01021,2.2e-62,207.5
MOYA01000001_1796	TIGR03654,4e-71,236.4
MOYA01000001_1800	TIGR01079,5.6e-21,73.0
MOYA01000001_1804	TIGR01164,2.9e-60,200.0
MOYA01000001_1805	TIGR01009,2.2e-88,293.5
MOYA01000001_1806	TIGR01044,1.4e-31,106.8
MOYA01000001_1808	TIGR01171,3.7e-129,427.9
MOYA01000001_1810	TIGR03953,9.8e-71,235.0
MOYA01000001_1811	TIGR03625,2e-74,247.8
MOYA01000001_1815	TIGR00186,3.7e-69,230.8
MOYA01000001_1849	TIGR02350,1.1e-289,959.9
MOYA01000001_1918	TIGR00194,1e-177,590.3
MOYA01000001_1919	TIGR00416,1.5e-165,549.3
MOYA01000001_1928	TIGR00420,8.6e-97,322.1
MOYA01000001_1930	TIGR00580,0.0,1103.3
MOYA01000001_194	TIGR00006,5.8e-97,322.8
MOYA01000001_1944	TIGR00061,5.5e-24,82.5
MOYA01000001_1981	TIGR01394,2.8e-280,928.7
MOYA01000001_2063	TIGR00092,2.8e-145,482.0
MOYA01000001_2223	TIGR00615,1.8e-82,273.5
MOYA01000001_2232	TIGR02397,8.5e-117,388.3
MOYA01000001_2235	TIGR03594,1.3e-161,536.4
MOYA01000001_2279	TIGR00964,1.1e-14,52.1
MOYA01000001_2280	TIGR00922,1e-56,189.5
MOYA01000001_2281	TIGR01632,6.5e-63,208.9
MOYA01000001_2282	TIGR01169,1.8e-88,293.7
MOYA01000001_2293	TIGR00593,1.9e-302,1003.9
MOYA01000001_2300	TIGR00337,2e-251,833.2
MOYA01000001_2429	TIGR03725,8.4e-26,89.3
MOYA01000001_2430	TIGR00963,0.0,1060.0
MOYA01000001_2442	TIGR00445,7.8e-69,230.6
MOYA01000001_2507	TIGR02273,9.9e-27,91.4
MOYA01000001_2522	TIGR02191,3.8e-67,224.0
