Gene Id	Top hits (Family id,e-value,bitscore)
NZ_JRFE01000001.1_10	TIGR00615,1.4e-80,267.9
NZ_JRFE01000001.1_35	TIGR01039,1.2e-254,843.7
NZ_JRFE01000003.1_74	TIGR03723,1.3e-133,443.5
NZ_JRFE01000006.1_305	TIGR00090,2e-30,103.4
NZ_JRFE01000006.1_32	TIGR00138,3e-46,155.9
NZ_JRFE01000007.1_100	TIGR02350,1.2e-270,897.5
NZ_JRFE01000009.1_16	TIGR03725,3.4e-40,136.8
NZ_JRFE01000009.1_3	TIGR00963,0.0,1238.0
NZ_JRFE01000009.1_31	TIGR00416,4.5e-200,663.6
NZ_JRFE01000009.1_41	TIGR02191,7.9e-64,213.7
NZ_JRFE01000009.1_53	TIGR00580,0.0,1144.6
NZ_JRFE01000011.1_25	TIGR01059,0.0,1090.0
NZ_JRFE01000012.1_63	TIGR00414,9.1e-171,566.9
NZ_JRFE01000012.1_68	TIGR00755,6.6e-81,269.9
NZ_JRFE01000013.1_27	TIGR00082,4.3e-39,132.1
NZ_JRFE01000013.1_35	TIGR00634,4e-175,582.4
NZ_JRFE01000013.1_47	TIGR00158,5.4e-46,155.2
NZ_JRFE01000014.1_102	TIGR00456,5.1e-175,581.5
NZ_JRFE01000014.1_200	TIGR02432,8.1e-54,180.9
NZ_JRFE01000014.1_238	TIGR00061,2.3e-37,125.9
NZ_JRFE01000014.1_262	TIGR00635,9.3e-139,460.1
NZ_JRFE01000014.1_478	TIGR02273,2.6e-36,123.0
NZ_JRFE01000014.1_50	TIGR00431,6.4e-74,246.7
NZ_JRFE01000014.1_504	TIGR01017,2.6e-79,264.1
NZ_JRFE01000014.1_506	TIGR01032,1.1e-50,169.2
NZ_JRFE01000014.1_571	TIGR01128,7.3e-51,171.8
NZ_JRFE01000014.1_603	TIGR00442,2.8e-151,502.6
NZ_JRFE01000014.1_611	TIGR01063,0.0,1187.7
NZ_JRFE01000015.1_115	TIGR01087,1.4e-117,392.0
NZ_JRFE01000015.1_125	TIGR00810,4e-20,70.1
NZ_JRFE01000015.1_215	TIGR00337,3.9e-256,849.2
NZ_JRFE01000016.1_124	TIGR00435,1.4e-174,580.1
NZ_JRFE01000016.1_127	TIGR01082,6.7e-155,515.0
NZ_JRFE01000016.1_140	TIGR00095,1.6e-54,183.0
NZ_JRFE01000016.1_210	TIGR00398,7.6e-169,561.3
NZ_JRFE01000016.1_215	TIGR00168,2e-72,240.7
NZ_JRFE01000016.1_25	TIGR00459,8.6e-253,838.5
NZ_JRFE01000016.1_33	TIGR00362,1.5e-162,540.1
NZ_JRFE01000016.1_34	TIGR00663,4.1e-100,333.8
NZ_JRFE01000016.1_99	TIGR02350,1.5e-298,989.6
NZ_JRFE01000017.1_100	TIGR00115,2e-111,371.2
NZ_JRFE01000017.1_134	TIGR00468,6.7e-113,375.7
NZ_JRFE01000017.1_14	TIGR00344,0.0,1084.7
NZ_JRFE01000017.1_141	TIGR00472,4.4e-237,787.7
NZ_JRFE01000017.1_154	TIGR02350,8e-277,917.9
NZ_JRFE01000017.1_179	TIGR00043,6.6e-33,111.6
NZ_JRFE01000017.1_221	TIGR00959,2.3e-180,598.5
NZ_JRFE01000017.1_234	TIGR00186,2.6e-77,258.0
NZ_JRFE01000017.1_57	TIGR01951,3.6e-34,116.3
NZ_JRFE01000017.1_89	TIGR03263,1.9e-72,241.2
NZ_JRFE01000017.1_98	TIGR00382,2.2e-207,687.5
NZ_JRFE01000019.1_106	TIGR01394,7.2e-293,970.8
NZ_JRFE01000019.1_199	TIGR01391,9.6e-132,438.2
NZ_JRFE01000019.1_206	TIGR02075,5.1e-98,325.8
NZ_JRFE01000019.1_207	TIGR00496,1.5e-72,241.4
NZ_JRFE01000019.1_36	TIGR03594,3.1e-168,558.8
NZ_JRFE01000019.1_79	TIGR01011,1.8e-106,352.9
NZ_JRFE01000019.1_80	TIGR00116,1.1e-71,239.9
NZ_JRFE01000019.1_82	TIGR00643,1.2e-241,802.3
NZ_JRFE01000020.1_16	TIGR00631,0.0,1075.8
NZ_JRFE01000022.1_142	TIGR00166,6.2e-28,95.4
NZ_JRFE01000022.1_209	TIGR00065,1.1e-136,454.3
NZ_JRFE01000022.1_216	TIGR00420,8e-125,414.8
NZ_JRFE01000022.1_78	TIGR00168,2e-51,172.4
NZ_JRFE01000022.1_90	TIGR00083,3.7e-93,310.6
NZ_JRFE01000022.1_93	TIGR00029,1.4e-26,91.3
NZ_JRFE01000022.1_95	TIGR02013,0.0,1713.6
NZ_JRFE01000022.1_96	TIGR02386,9.3e-278,923.0
NZ_JRFE01000024.1_275	TIGR00593,0.0,1025.9
NZ_JRFE01000024.1_289	TIGR00539,1.1e-92,309.4
NZ_JRFE01000024.1_31	TIGR00928,1.5e-177,589.2
NZ_JRFE01000024.1_310	TIGR00086,2.9e-59,197.7
NZ_JRFE01000024.1_33	TIGR01146,3.2e-116,386.6
NZ_JRFE01000024.1_76	TIGR02729,1.3e-137,456.7
NZ_JRFE01000025.1_131	TIGR00250,5.4e-46,154.4
NZ_JRFE01000025.1_151	TIGR00396,0.0,1224.4
NZ_JRFE01000025.1_24	TIGR00019,2.4e-158,525.3
NZ_JRFE01000025.1_27	TIGR01066,6e-64,212.6
NZ_JRFE01000025.1_29	TIGR00059,3.5e-44,148.2
NZ_JRFE01000025.1_30	TIGR02027,2.7e-102,340.4
NZ_JRFE01000025.1_31	TIGR03632,3.4e-57,190.4
NZ_JRFE01000025.1_35	TIGR00967,3e-132,439.9
NZ_JRFE01000025.1_36	TIGR01071,7e-47,157.4
NZ_JRFE01000025.1_37	TIGR01021,8.7e-65,215.8
NZ_JRFE01000025.1_39	TIGR03654,8.4e-73,242.3
NZ_JRFE01000025.1_42	TIGR01079,3.4e-38,128.7
NZ_JRFE01000025.1_46	TIGR01164,3.1e-66,219.7
NZ_JRFE01000025.1_47	TIGR01009,1.1e-94,314.6
NZ_JRFE01000025.1_48	TIGR01044,4.8e-42,140.9
NZ_JRFE01000025.1_50	TIGR01171,1.1e-131,436.8
NZ_JRFE01000025.1_52	TIGR03953,1.3e-69,231.8
NZ_JRFE01000025.1_53	TIGR03625,5.6e-81,269.7
NZ_JRFE01000025.1_7	TIGR00006,1.7e-103,344.8
NZ_JRFE01000025.1_91	TIGR00092,5.4e-157,521.1
NZ_JRFE01000026.1_111	TIGR00460,6.6e-86,286.8
NZ_JRFE01000026.1_134	TIGR00392,0.0,1029.5
NZ_JRFE01000026.1_147	TIGR02191,7.9e-57,190.8
NZ_JRFE01000026.1_156	TIGR00020,5e-124,412.4
NZ_JRFE01000026.1_196	TIGR00964,2.9e-16,57.6
NZ_JRFE01000026.1_197	TIGR00922,1.2e-60,202.7
NZ_JRFE01000026.1_198	TIGR01632,1.2e-62,208.5
NZ_JRFE01000026.1_199	TIGR01169,2.2e-99,329.9
NZ_JRFE01000026.1_230	TIGR01393,0.0,1010.4
NZ_JRFE01000026.1_256	TIGR00084,4.4e-49,165.1
NZ_JRFE01000026.1_56	TIGR00064,9.7e-103,341.7
NZ_JRFE01000026.1_95	TIGR02397,2e-132,440.2
NZ_JRFE01000028.1_104	TIGR01510,5.2e-62,207.0
NZ_JRFE01000028.1_19	TIGR00436,1.3e-101,338.0
NZ_JRFE01000028.1_36	TIGR00088,5.4e-98,325.4
NZ_JRFE01000028.1_42	TIGR02012,9e-162,536.3
NZ_JRFE01000050.1_39	TIGR00487,2e-264,877.3
NZ_JRFE01000050.1_41	TIGR01953,4e-94,313.9
NZ_JRFE01000050.1_93	TIGR01029,3.5e-67,223.7
NZ_JRFE01000051.1_64	TIGR00194,3.7e-209,694.6
NZ_JRFE01000052.1_22	TIGR00445,1.1e-106,355.4
NZ_JRFE01000052.1_33	TIGR00054,1.1e-108,362.3
NZ_JRFE01000058.1_154	TIGR02397,3.8e-74,248.5
