Gene Id	Top hits (Family id,e-value,bitscore)
NZ_ALVT01000033.1_29	TIGR00396,0.0,1107.7
NZ_ALVT01000034.1_102	TIGR01951,4.9e-37,125.7
NZ_ALVT01000034.1_103	TIGR00064,1.6e-103,344.4
NZ_ALVT01000034.1_146	TIGR01510,1.7e-60,202.1
NZ_ALVT01000034.1_153	TIGR00194,2.7e-204,678.7
NZ_ALVT01000034.1_235	TIGR01146,6.9e-118,392.2
NZ_ALVT01000034.1_350	TIGR00337,1.6e-254,843.9
NZ_KI912148.1_1188	TIGR00472,5.3e-243,807.4
NZ_KI912148.1_1196	TIGR00006,2.9e-106,354.0
NZ_KI912148.1_126	TIGR00593,0.0,1017.9
NZ_KI912148.1_1303	TIGR03725,3e-36,124.0
NZ_KI912148.1_1383	TIGR01017,5.8e-80,266.3
NZ_KI912148.1_1523	TIGR01087,6.3e-125,416.3
NZ_KI912148.1_1550	TIGR00019,1.3e-160,532.9
NZ_KI912148.1_1553	TIGR01066,1.6e-63,211.3
NZ_KI912148.1_1555	TIGR00059,4.8e-43,144.7
NZ_KI912148.1_1556	TIGR02027,1.8e-104,347.7
NZ_KI912148.1_1557	TIGR03632,3.4e-57,190.6
NZ_KI912148.1_1561	TIGR00967,4.6e-144,478.9
NZ_KI912148.1_1562	TIGR01071,1.2e-45,153.5
NZ_KI912148.1_1563	TIGR01021,7.2e-66,219.4
NZ_KI912148.1_1565	TIGR03654,2.1e-74,247.6
NZ_KI912148.1_1568	TIGR01079,3.2e-38,129.0
NZ_KI912148.1_1572	TIGR01164,2.5e-64,213.6
NZ_KI912148.1_1573	TIGR01009,2.6e-90,300.4
NZ_KI912148.1_1574	TIGR01044,1.5e-41,139.4
NZ_KI912148.1_1576	TIGR01171,6.9e-138,457.2
NZ_KI912148.1_1578	TIGR03953,1.5e-72,241.5
NZ_KI912148.1_1579	TIGR03625,2.3e-83,277.6
NZ_KI912148.1_1648	TIGR01063,1.8e-277,921.1
NZ_KI912148.1_1652	TIGR01059,0.0,1095.8
NZ_KI912148.1_1758	TIGR00095,7.6e-53,177.6
NZ_KI912148.1_18	TIGR02350,2.6e-301,998.9
NZ_KI912148.1_1859	TIGR00086,1e-60,202.6
NZ_KI912148.1_1906	TIGR00487,1.4e-254,844.9
NZ_KI912148.1_1908	TIGR01953,1.4e-100,335.3
NZ_KI912148.1_1970	TIGR00539,5e-92,307.4
NZ_KI912148.1_2007	TIGR00020,5.9e-122,405.7
NZ_KI912148.1_2009	TIGR00043,1.9e-34,116.7
NZ_KI912148.1_2038	TIGR00029,1.9e-27,94.2
NZ_KI912148.1_2040	TIGR02013,0.0,1749.4
NZ_KI912148.1_2041	TIGR02386,8.7e-279,926.5
NZ_KI912148.1_2074	TIGR00635,4.8e-140,464.5
NZ_KI912148.1_2103	TIGR01039,2.2e-252,836.4
NZ_KI912148.1_2135	TIGR00436,2.6e-100,333.8
NZ_KI912148.1_2147	TIGR02432,1.4e-58,196.5
NZ_KI912148.1_2243	TIGR00445,1.8e-105,351.5
NZ_KI912148.1_2247	TIGR03263,4.4e-74,246.6
NZ_KI912148.1_2251	TIGR03723,6.8e-131,434.7
NZ_KI912148.1_227	TIGR02397,2.6e-131,436.7
NZ_KI912148.1_2304	TIGR01393,0.0,1010.9
NZ_KI912148.1_2365	TIGR00663,2e-104,348.1
NZ_KI912148.1_2366	TIGR00362,7.6e-165,547.8
NZ_KI912148.1_25	TIGR00092,1.1e-160,533.3
NZ_KI912148.1_281	TIGR00963,0.0,1268.8
NZ_KI912148.1_287	TIGR00083,1e-86,289.6
NZ_KI912148.1_290	TIGR00468,5.5e-110,366.2
NZ_KI912148.1_334	TIGR01032,8.1e-51,169.7
NZ_KI912148.1_346	TIGR00250,7.6e-48,160.5
NZ_KI912148.1_371	TIGR01029,1.1e-66,222.1
NZ_KI912148.1_382	TIGR00416,2.6e-200,664.5
