Gene Id	Top hits (Family id,e-value,bitscore)
DCQC01000001.1_4	TIGR00029,3.6e-23,78.9
DCQC01000001.1_6	TIGR02013,0.0,1671.4
DCQC01000006.1_1	TIGR00344,8.4e-166,550.6
DCQC01000007.1_2	TIGR00431,9.4e-60,198.9
DCQC01000007.1_5	TIGR00061,2.1e-34,115.0
DCQC01000008.1_11	TIGR00168,2.7e-66,219.3
DCQC01000008.1_6	TIGR00963,0.0,1215.5
DCQC01000009.1_15	TIGR02012,5.1e-162,535.6
DCQC01000012.1_3	TIGR00396,0.0,1125.9
DCQC01000013.1_1	TIGR01393,2.2e-232,769.6
DCQC01000014.1_4	TIGR01066,1.5e-61,203.4
DCQC01000015.1_1	TIGR00442,3.7e-141,467.8
DCQC01000022.1_7	TIGR01128,1.1e-41,140.1
DCQC01000024.1_3	TIGR00539,1.1e-67,225.6
DCQC01000026.1_21	TIGR01146,7.3e-110,364.2
DCQC01000026.1_3	TIGR01039,3.8e-247,817.5
DCQC01000026.1_41	TIGR00928,9.9e-157,519.1
DCQC01000026.1_53	TIGR00138,8.3e-33,110.6
DCQC01000027.1_22	TIGR00420,3.6e-104,345.4
DCQC01000027.1_28	TIGR00959,1.2e-173,574.8
DCQC01000031.1_2	TIGR00643,5.9e-216,715.9
DCQC01000031.1_4	TIGR00116,2.3e-65,217.7
DCQC01000031.1_6	TIGR01011,1.6e-98,325.4
DCQC01000037.1_20	TIGR01082,2.1e-109,363.5
DCQC01000038.1_6	TIGR00635,1.4e-128,425.2
DCQC01000038.1_7	TIGR00086,2.1e-49,164.3
DCQC01000041.1_1	TIGR00615,9.3e-75,247.4
DCQC01000046.1_5	TIGR00158,7.2e-40,133.9
DCQC01000048.1_6	TIGR00043,7.1e-33,110.1
DCQC01000048.1_8	TIGR00020,6.6e-131,433.6
DCQC01000050.1_3	TIGR00928,2e-163,541.2
DCQC01000052.1_13	TIGR01063,0.0,1111.7
DCQC01000052.1_8	TIGR00095,3.7e-38,128.1
DCQC01000053.1_13	TIGR00810,3.6e-19,65.6
DCQC01000054.1_1	TIGR00065,1.9e-130,432.2
DCQC01000057.1_2	TIGR00088,3.9e-84,278.5
DCQC01000059.1_1	TIGR00054,9.1e-48,160.1
DCQC01000059.1_2	TIGR00414,1.4e-149,495.7
DCQC01000059.1_62	TIGR03263,1.8e-70,233.2
DCQC01000059.1_65	TIGR03723,1.3e-122,405.8
DCQC01000064.1_1	TIGR00064,1.6e-90,300.2
DCQC01000067.1_17	TIGR00392,8.5e-286,947.5
DCQC01000075.1_4	TIGR00186,6.8e-67,222.4
DCQC01000076.1_12	TIGR00082,2.7e-30,102.3
DCQC01000077.1_2	TIGR02729,1.3e-129,429.0
DCQC01000079.1_1	TIGR00755,1.5e-72,240.9
DCQC01000082.1_14	TIGR01087,1.3e-106,354.3
DCQC01000092.1_2	TIGR01032,2e-47,157.2
DCQC01000100.1_10	TIGR03594,7.8e-166,549.3
DCQC01000102.1_3	TIGR02432,4.7e-51,170.4
DCQC01000110.1_14	TIGR00663,3.4e-101,335.8
DCQC01000110.1_19	TIGR00634,1.5e-128,427.2
DCQC01000110.1_26	TIGR00445,2.3e-92,306.9
DCQC01000110.1_31	TIGR00166,1.7e-24,82.9
DCQC01000110.1_34	TIGR02350,5.2e-295,976.4
DCQC01000110.1_4	TIGR00064,4.1e-99,328.3
DCQC01000110.1_5	TIGR01951,1.3e-33,113.1
DCQC01000111.1_21	TIGR00362,2e-156,518.4
DCQC01000113.1_37	TIGR02075,8.4e-96,317.1
DCQC01000113.1_38	TIGR00496,1.2e-68,227.1
DCQC01000115.1_2	TIGR00337,8.1e-245,810.3
DCQC01000115.1_5	TIGR00459,1.2e-233,773.7
DCQC01000116.1_7	TIGR01394,1.1e-194,645.1
DCQC01000117.1_1	TIGR02397,3.8e-129,427.9
DCQC01000117.1_3	TIGR00382,1.1e-195,647.5
DCQC01000128.1_12	TIGR00090,1.4e-30,102.4
DCQC01000129.1_3	TIGR01032,4.6e-48,159.3
DCQC01000130.1_8	TIGR00416,6.3e-163,539.7
DCQC01000134.1_10	TIGR01164,2e-61,202.7
DCQC01000134.1_14	TIGR01079,1.7e-33,112.2
DCQC01000134.1_17	TIGR03654,8.2e-71,234.3
DCQC01000134.1_19	TIGR01021,5e-60,198.8
DCQC01000134.1_20	TIGR01071,3e-45,150.6
DCQC01000134.1_21	TIGR00967,1.4e-127,423.0
DCQC01000134.1_24	TIGR03632,3.7e-56,185.6
DCQC01000134.1_25	TIGR02027,8.4e-91,301.2
DCQC01000134.1_26	TIGR00059,3.5e-41,137.1
DCQC01000134.1_29	TIGR01066,5.7e-63,207.9
DCQC01000134.1_3	TIGR03625,1.2e-81,270.4
DCQC01000134.1_32	TIGR00019,1.3e-143,475.3
DCQC01000134.1_4	TIGR03953,1.6e-67,223.5
DCQC01000134.1_6	TIGR01171,2.9e-130,430.5
DCQC01000134.1_8	TIGR01044,5.8e-38,126.3
