Gene Id	Top hits (Family id,e-value,bitscore)
NZ_AADV02000001.1_328	TIGR00020,1.8e-131,437.0
NZ_AADV02000001.1_365	TIGR00431,7.5e-74,246.5
NZ_AADV02000001.1_481	TIGR00168,1.8e-74,247.4
NZ_AADV02000001.1_541	TIGR01146,9.7e-115,381.8
NZ_AADV02000001.1_551	TIGR00043,3.2e-34,115.9
NZ_AADV02000001.1_560	TIGR02350,1.6e-300,996.2
NZ_AADV02000001.1_679	TIGR03263,1.1e-72,242.0
NZ_AADV02000001.1_68	TIGR01059,0.0,1106.5
NZ_AADV02000001.1_716	TIGR00083,2.6e-91,304.6
NZ_AADV02000002.1_128	TIGR01082,8.6e-158,524.6
NZ_AADV02000002.1_155	TIGR02350,2.4e-269,893.3
NZ_AADV02000002.1_216	TIGR01394,5.8e-296,981.0
NZ_AADV02000002.1_360	TIGR01032,1.6e-51,172.0
NZ_AADV02000002.1_390	TIGR00166,1.4e-27,94.3
NZ_AADV02000002.1_418	TIGR00086,4.6e-59,197.2
NZ_AADV02000002.1_464	TIGR00416,2.4e-204,677.8
NZ_AADV02000002.1_471	TIGR00631,0.0,1073.6
NZ_AADV02000002.1_565	TIGR00398,3.8e-173,575.5
NZ_AADV02000002.1_731	TIGR00539,1.2e-89,299.5
NZ_AADV02000003.1_135	TIGR03725,3e-37,127.2
NZ_AADV02000003.1_203	TIGR00580,0.0,1167.4
NZ_AADV02000003.1_291	TIGR00445,1.8e-103,345.0
NZ_AADV02000003.1_329	TIGR00456,5.2e-185,614.6
NZ_AADV02000003.1_33	TIGR00392,0.0,1023.9
NZ_AADV02000004.1_132	TIGR00090,6.4e-34,114.6
NZ_AADV02000004.1_151	TIGR01951,6.1e-37,125.4
NZ_AADV02000004.1_188	TIGR00615,2.2e-82,273.8
NZ_AADV02000004.1_59	TIGR01029,3.7e-66,220.4
NZ_AADV02000004.1_78	TIGR00054,6.5e-112,373.0
NZ_AADV02000005.1_160	TIGR00663,4.5e-112,373.2
NZ_AADV02000006.1_121	TIGR00084,3.9e-53,178.3
NZ_AADV02000007.1_21	TIGR00065,1.4e-133,444.2
NZ_AADV02000007.1_36	TIGR00435,9.6e-171,567.4
NZ_AADV02000007.1_48	TIGR03594,1.1e-163,543.8
NZ_AADV02000008.1_11	TIGR00928,5.4e-180,597.3
NZ_AADV02000008.1_59	TIGR00116,6.1e-67,224.4
NZ_AADV02000008.1_60	TIGR01011,5.9e-102,338.2
NZ_AADV02000009.1_53	TIGR00459,3.2e-252,836.6
NZ_AADV02000010.1_5	TIGR00420,1.4e-125,417.4
NZ_AADV02000012.1_2	TIGR01510,8.7e-63,209.5
NZ_AADV02000012.1_25	TIGR00061,4.9e-37,124.9
NZ_AADV02000013.1_3	TIGR00472,1.3e-234,779.6
NZ_AADV02000013.1_32	TIGR02013,0.0,1724.9
NZ_AADV02000013.1_34	TIGR00029,2.5e-25,87.4
NZ_AADV02000015.1_38	TIGR00082,1.2e-36,124.3
NZ_AADV02000017.1_28	TIGR00396,0.0,1247.0
NZ_AADV02000022.1_13	TIGR00095,5e-54,181.4
NZ_AADV02000023.1_37	TIGR00088,2e-71,238.5
NZ_AADV02000027.1_4	TIGR00138,2e-44,150.0
NZ_AADV02000027.1_6	TIGR00158,7.3e-46,154.9
NZ_AADV02000031.1_24	TIGR00092,2.9e-163,541.8
NZ_AADV02000034.1_15	TIGR00436,4.8e-102,339.5
NZ_AADV02000034.1_16	TIGR01063,0.0,1200.4
NZ_AADV02000034.1_4	TIGR02397,2.2e-133,443.4
NZ_AADV02000036.1_15	TIGR00593,0.0,1048.6
NZ_AADV02000043.1_17	TIGR00194,7.3e-208,690.4
NZ_AADV02000044.1_26	TIGR00382,8.9e-214,708.6
NZ_AADV02000045.1_16	TIGR02191,5.8e-55,184.7
NZ_AADV02000048.1_1	TIGR01079,3.2e-37,125.7
NZ_AADV02000048.1_12	TIGR03632,1.3e-57,191.8
NZ_AADV02000048.1_13	TIGR02027,5.1e-111,369.1
NZ_AADV02000048.1_14	TIGR00059,4.2e-45,151.2
NZ_AADV02000048.1_16	TIGR01066,3.3e-63,210.3
NZ_AADV02000048.1_19	TIGR00019,5.6e-161,533.9
NZ_AADV02000048.1_4	TIGR03654,7.4e-74,245.8
NZ_AADV02000048.1_6	TIGR01021,1.4e-64,215.2
NZ_AADV02000048.1_7	TIGR01071,1.7e-47,159.4
NZ_AADV02000048.1_8	TIGR00967,2.8e-124,413.7
NZ_AADV02000049.1_15	TIGR03625,6.7e-80,266.2
NZ_AADV02000049.1_16	TIGR03953,2.9e-69,230.7
NZ_AADV02000049.1_18	TIGR01171,5.6e-137,454.2
NZ_AADV02000049.1_20	TIGR01044,6.4e-40,134.1
NZ_AADV02000049.1_21	TIGR01009,2.1e-94,313.8
NZ_AADV02000049.1_22	TIGR01164,2.8e-65,216.7
NZ_AADV02000050.1_17	TIGR01087,3e-127,423.9
NZ_AADV02000054.1_5	TIGR01128,3.5e-60,202.5
NZ_AADV02000055.1_24	TIGR00468,4.1e-115,383.0
NZ_AADV02000057.1_4	TIGR01953,5.7e-101,336.4
NZ_AADV02000057.1_6	TIGR00487,2.4e-264,877.1
NZ_AADV02000059.1_17	TIGR00755,2.9e-78,261.3
NZ_AADV02000067.1_12	TIGR00250,1.8e-51,172.2
NZ_AADV02000071.1_16	TIGR00635,1.3e-139,463.0
NZ_AADV02000072.1_2	TIGR02350,3.9e-212,704.3
NZ_AADV02000075.1_13	TIGR00634,1.5e-176,587.2
NZ_AADV02000078.1_11	TIGR01039,2.7e-253,839.3
NZ_AADV02000081.1_15	TIGR02273,1.9e-41,139.8
