Gene Id	Top hits (Family id,e-value,bitscore)
k111_1092964_2	TIGR00435,1.2e-152,506.2
k111_1203716_11	TIGR00643,3.8e-216,716.5
k111_1203716_18	TIGR01394,6.6e-103,341.8
k111_1203716_8	TIGR01011,1.5e-98,325.4
k111_1203716_9	TIGR00116,1.1e-65,218.6
k111_1270737_2	TIGR00593,8e-262,868.4
k111_1270737_25	TIGR00095,1.1e-31,106.9
k111_1270737_30	TIGR01063,0.0,1089.6
k111_1270737_4	TIGR00092,7e-149,492.8
k111_1344590_3	TIGR00382,1.8e-169,561.0
k111_1422_7	TIGR00755,5.5e-70,232.5
k111_1434823_16	TIGR01953,6.1e-96,318.3
k111_1434823_19	TIGR00487,2.3e-241,799.5
k111_1434823_6	TIGR02013,0.0,1659.0
k111_1434823_8	TIGR00029,5.7e-14,49.4
k111_1438764_3	TIGR00460,4e-65,216.9
k111_1438764_33	TIGR00398,4e-149,494.6
k111_1438764_38	TIGR00472,5.3e-242,802.4
k111_1439076_7	TIGR02729,9.8e-131,432.5
k111_1468400_5	TIGR01391,3.8e-139,461.0
k111_1468400_8	TIGR00084,1.2e-39,132.8
k111_1487511_5	TIGR00362,3.6e-152,504.3
k111_1490386_11	TIGR00158,9.5e-41,136.6
k111_151452_20	TIGR00392,3.9e-283,938.6
k111_152262_1	TIGR00472,3.6e-194,644.2
k111_1534107_6	TIGR01146,1.8e-108,359.6
k111_1573780_6	TIGR02350,1.3e-249,826.5
k111_1577637_14	TIGR01087,8.1e-105,348.3
k111_1577637_3	TIGR00810,3.3e-19,65.7
k111_1591966_2	TIGR00138,2.3e-32,109.0
k111_1619920_18	TIGR00250,2e-22,76.6
k111_1720702_3	TIGR03594,7.2e-164,542.8
k111_1728305_14	TIGR00088,4.1e-86,284.9
k111_1728305_3	TIGR00468,1.6e-105,349.8
k111_1728305_6	TIGR00083,1.1e-72,241.8
k111_1738882_2	TIGR01032,4.4e-48,159.3
k111_1738882_32	TIGR01082,4.1e-119,395.5
k111_1898214_12	TIGR00431,2.8e-61,203.8
k111_1898214_9	TIGR00061,3.3e-32,107.9
k111_1949229_2	TIGR00456,1.2e-63,212.3
k111_2040534_5	TIGR00115,7e-105,348.1
k111_2046505_10	TIGR00090,3.3e-30,101.1
k111_24048_2	TIGR02273,5.3e-29,97.7
k111_2406702_3	TIGR02191,1.5e-50,168.7
k111_2419708_16	TIGR03725,5.5e-32,108.4
k111_2419708_9	TIGR00416,6e-161,533.1
k111_2480368_2	TIGR00344,2e-302,1002.5
k111_2521854_1	TIGR00186,1.2e-65,218.2
k111_2598490_14	TIGR00445,9.3e-91,301.5
k111_2598490_21	TIGR00634,2e-124,413.5
k111_2598490_26	TIGR00663,1.1e-98,327.5
k111_2598490_35	TIGR01951,1.8e-33,112.5
k111_2598490_36	TIGR00064,4.1e-97,321.7
k111_2598490_6	TIGR02350,4.4e-293,970.0
k111_2598490_9	TIGR00166,2.1e-24,82.5
k111_2639633_2	TIGR00065,3.3e-132,438.0
k111_2639633_4	TIGR00539,4.2e-65,217.1
k111_2705117_13	TIGR00580,2e-162,539.5
k111_2709378_2	TIGR00082,7e-30,100.9
k111_2745850_1	TIGR00631,9.5e-197,652.1
k111_2768587_1	TIGR00006,1.7e-74,248.0
k111_278268_3	TIGR00337,6.7e-242,800.6
k111_278268_5	TIGR00459,7.4e-236,780.9
k111_282084_13	TIGR01029,4.5e-63,208.7
k111_2871238_13	TIGR00396,0.0,1109.3
k111_2871238_3	TIGR00194,6.5e-190,629.5
k111_2871238_5	TIGR01510,5.7e-58,192.3
k111_2885217_11	TIGR00420,3.3e-105,348.7
k111_2885217_15	TIGR00959,2.3e-174,577.1
k111_2885217_20	TIGR00436,1.8e-85,283.5
k111_333826_17	TIGR00019,1.1e-143,475.4
k111_333826_20	TIGR01066,1.4e-61,203.4
k111_333826_22	TIGR00059,4.7e-43,143.0
k111_333826_23	TIGR02027,6.1e-89,295.0
k111_333826_24	TIGR03632,1.2e-56,187.1
k111_333826_27	TIGR00967,1e-128,426.7
k111_333826_28	TIGR01071,3.2e-44,147.2
k111_333826_29	TIGR01021,2e-60,200.0
k111_333826_31	TIGR03654,1.2e-69,230.5
k111_333826_34	TIGR01079,8.7e-35,116.3
k111_333826_38	TIGR01164,4.4e-60,198.3
k111_333826_39	TIGR01009,2.4e-88,292.3
k111_333826_40	TIGR01044,2.1e-38,127.7
k111_333826_42	TIGR01171,2.5e-130,430.7
k111_333826_44	TIGR03953,1.1e-66,220.7
k111_333826_45	TIGR03625,1.9e-81,269.6
k111_333826_50	TIGR02012,4.1e-163,539.1
k111_383659_6	TIGR00615,2.3e-77,255.8
k111_521746_1	TIGR00043,8.4e-31,103.3
k111_521746_3	TIGR00020,5.2e-133,440.4
k111_651577_1	TIGR01017,1e-75,250.8
k111_832890_69	TIGR03263,1.7e-71,236.5
k111_832890_7	TIGR00054,1.7e-86,287.6
k111_832890_72	TIGR03723,2.2e-121,401.7
k111_832890_8	TIGR00414,3.2e-150,497.7
k111_881644_7	TIGR01039,1.1e-248,822.5
k111_941797_10	TIGR01169,4.1e-97,320.9
k111_941797_11	TIGR01632,3.6e-62,205.4
k111_941797_12	TIGR00922,4.1e-55,183.2
k111_941797_13	TIGR00964,1.3e-16,57.2
k111_982243_4	TIGR02397,9.5e-129,426.5
