Gene Id	Top hits (Family id,e-value,bitscore)
NC_009482_1	TIGR00663,5.5e-94,312.2
NC_009482_10	TIGR01951,4.7e-32,108.2
NC_009482_11	TIGR00064,4e-99,328.5
NC_009482_1181	TIGR00396,0.0,1136.1
NC_009482_1189	TIGR01510,1.3e-59,197.9
NC_009482_1190	TIGR00194,1.4e-192,638.5
NC_009482_1217	TIGR00472,6.1e-218,723.0
NC_009482_1222	TIGR00398,2.4e-149,495.6
NC_009482_124	TIGR00086,4.5e-48,160.1
NC_009482_125	TIGR00635,1.2e-131,435.4
NC_009482_1259	TIGR01394,8.9e-292,965.8
NC_009482_1265	TIGR00643,4.6e-221,733.0
NC_009482_1267	TIGR00116,2.2e-68,227.7
NC_009482_1268	TIGR01011,2.1e-100,331.8
NC_009482_1311	TIGR00755,1.9e-72,240.8
NC_009482_1316	TIGR01391,7.6e-137,453.7
NC_009482_1319	TIGR00084,4.5e-42,140.9
NC_009482_1325	TIGR00186,1.2e-64,215.3
NC_009482_1356	TIGR02350,2.2e-248,822.6
NC_009482_136	TIGR02273,6.3e-43,143.2
NC_009482_138	TIGR02191,7.9e-50,166.6
NC_009482_1462	TIGR00580,0.0,1051.5
NC_009482_1472	TIGR00460,9e-63,209.4
NC_009482_160	TIGR00442,3e-144,478.1
NC_009482_1674	TIGR00593,4.5e-275,912.5
NC_009482_1675	TIGR00435,8.8e-155,513.4
NC_009482_1706	TIGR00420,1.2e-103,343.8
NC_009482_1712	TIGR00959,5.1e-176,582.8
NC_009482_1721	TIGR00436,5.7e-91,301.7
NC_009482_1730	TIGR00088,2.5e-86,285.9
NC_009482_1742	TIGR00083,1.3e-70,235.2
NC_009482_1745	TIGR00468,3.7e-104,345.6
NC_009482_1837	TIGR00061,5.4e-30,101.0
NC_009482_1841	TIGR00431,6.7e-64,212.6
NC_009482_1857	TIGR01087,1.2e-108,361.2
NC_009482_1868	TIGR00810,2.9e-19,66.1
NC_009482_1871	TIGR01039,1.3e-247,819.2
NC_009482_1887	TIGR01146,3.2e-106,352.4
NC_009482_1908	TIGR00928,4.2e-166,550.2
NC_009482_1954	TIGR00138,8.2e-27,91.2
NC_009482_1966	TIGR02013,0.0,1370.9
NC_009482_1968	TIGR00029,6.3e-26,87.9
NC_009482_1974	TIGR01953,6e-98,325.1
NC_009482_1976	TIGR00487,2.3e-246,816.3
NC_009482_2112	TIGR02012,7.8e-162,535.1
NC_009482_2117	TIGR03625,1e-82,274.1
NC_009482_2118	TIGR03953,6.7e-69,228.2
NC_009482_2120	TIGR01171,7.1e-131,432.7
NC_009482_2122	TIGR01044,1.1e-38,128.8
NC_009482_2123	TIGR01009,9.6e-88,290.6
NC_009482_2124	TIGR01164,3e-60,199.0
NC_009482_2128	TIGR01079,1.5e-33,112.5
NC_009482_2131	TIGR03654,1.1e-72,240.6
NC_009482_2133	TIGR01021,1.3e-60,200.9
NC_009482_2134	TIGR01071,2.4e-47,157.6
NC_009482_2135	TIGR00967,4.2e-129,428.2
NC_009482_2139	TIGR03632,8e-56,184.7
NC_009482_2140	TIGR02027,3e-93,309.4
NC_009482_2141	TIGR00059,4.1e-42,140.2
NC_009482_2143	TIGR01066,1.1e-62,207.2
NC_009482_2146	TIGR00019,1.7e-145,481.6
NC_009482_2169	TIGR01029,2e-63,210.1
NC_009482_2213	TIGR00392,3.9e-290,962.0
NC_009482_2243	TIGR00456,3.2e-159,528.0
NC_009482_2249	TIGR00043,7.1e-34,113.4
NC_009482_2251	TIGR00020,5.1e-121,401.2
NC_009482_2260	TIGR00006,4.3e-84,279.7
NC_009482_2359	TIGR01169,3.5e-99,327.9
NC_009482_2360	TIGR01632,2.3e-62,206.3
NC_009482_2361	TIGR00922,2.6e-55,184.0
NC_009482_2362	TIGR00964,9e-16,54.7
NC_009482_2382	TIGR00344,7e-300,994.3
NC_009482_2399	TIGR00158,1.3e-39,133.2
NC_009482_2441	TIGR00459,1.8e-236,783.2
NC_009482_2445	TIGR00337,1.3e-246,816.5
NC_009482_247	TIGR03725,6.5e-29,98.6
NC_009482_2522	TIGR02350,1.9e-295,978.1
NC_009482_2525	TIGR00166,4.3e-23,78.6
NC_009482_2530	TIGR00445,3.9e-94,312.8
NC_009482_2537	TIGR00634,1.4e-136,453.9
NC_009482_254	TIGR00416,9.6e-180,595.3
NC_009482_27	TIGR01082,9e-128,424.2
NC_009482_285	TIGR00082,1.8e-27,93.3
NC_009482_315	TIGR02729,2.5e-134,444.6
NC_009482_469	TIGR03594,6e-164,543.3
NC_009482_547	TIGR00054,6.6e-91,302.4
