Gene Id	Top hits (Family id,e-value,bitscore)
NZ_LMTZ01000085.1_115	PF00687.22,1.8e-47,160.8
NZ_LMTZ01000085.1_116	PF00466.21,1.4e-23,82.0
NZ_LMTZ01000096.1_219	PF01025.20,1.5e-06,27.0
NZ_LMTZ01000098.1_40	PF00410.20,1.2e-52,176.2
NZ_LMTZ01000098.1_50	PF01000.27,1.2e-19,69.8
NZ_LMTZ01000098.1_54	PF00380.20,3.9e-43,145.9
NZ_LMTZ01000106.1_12	PF02576.18,1.4e-16,59.8
NZ_LMTZ01000109.1_68	PF02576.18,1.4e-16,59.8
NZ_LMTZ01000125.1_61	PF03726.15,9.3e-17,60.4
NZ_LMTZ01000151.1_84	PF01025.20,2e-46,156.8
