Gene Id	Top hits (Family id,e-value,bitscore)
k111_10905_116	TIGR00615,5.5e-66,219.1
k111_12713_108	TIGR00362,4.3e-156,517.6
k111_12713_173	TIGR02075,2.1e-95,316.0
k111_12713_174	TIGR00496,1.6e-70,233.6
k111_12713_250	TIGR03723,3e-122,404.9
k111_12713_253	TIGR03263,4.7e-70,232.2
k111_12713_313	TIGR00414,4.3e-152,504.2
k111_12713_314	TIGR00054,6.4e-87,289.4
k111_15395_26	TIGR02729,8.2e-132,436.5
k111_15763_15	TIGR01029,1.3e-63,210.9
k111_15763_38	TIGR00019,3.6e-143,474.1
k111_15763_41	TIGR01066,4.2e-63,208.7
k111_15763_43	TIGR00059,5.9e-42,139.8
k111_15763_44	TIGR02027,6.3e-92,305.2
k111_15763_45	TIGR03632,5.2e-56,185.5
k111_15763_48	TIGR00967,7.6e-128,424.2
k111_15763_49	TIGR01071,6.8e-46,153.0
k111_15763_50	TIGR01021,3.3e-60,199.7
k111_15763_52	TIGR03654,5.4e-71,235.2
k111_15763_55	TIGR01079,1.2e-33,112.9
k111_15763_59	TIGR01164,3.8e-61,202.1
k111_15763_60	TIGR01009,8.8e-89,294.1
k111_15763_61	TIGR01044,1.1e-36,122.6
k111_15763_63	TIGR01171,2.5e-130,431.1
k111_15763_65	TIGR03953,5.1e-66,218.9
k111_15763_66	TIGR03625,1.5e-82,273.6
k111_15824_103	TIGR01082,1.1e-111,371.4
k111_15824_119	TIGR00064,1.9e-99,329.7
k111_15824_120	TIGR01951,2.3e-31,106.1
k111_15824_129	TIGR00663,1.4e-97,324.2
k111_15824_133	TIGR00634,1.4e-133,444.0
k111_15824_141	TIGR00445,5.9e-92,305.8
k111_15824_146	TIGR00166,7.3e-23,78.0
k111_15824_149	TIGR02350,3e-295,977.5
k111_15824_17	TIGR00963,0.0,1219.4
k111_15824_223	TIGR00337,3.9e-246,814.9
k111_15824_226	TIGR00459,2.3e-235,779.7
k111_15824_293	TIGR00158,1.4e-41,139.7
k111_15824_313	TIGR00344,1.4e-298,990.1
k111_15824_56	TIGR01128,3.1e-39,132.4
k111_15824_58	TIGR00631,0.0,1042.1
k111_15824_61	TIGR02432,1.4e-50,169.1
k111_15824_66	TIGR00115,2.3e-119,396.2
k111_15824_68	TIGR00382,5.6e-196,648.7
k111_15824_7	TIGR01059,0.0,1069.3
k111_15824_70	TIGR02397,6.2e-126,417.7
k111_15824_74	TIGR01032,6.3e-47,155.9
k111_15824_9	TIGR00168,7.6e-67,221.4
k111_19206_183	TIGR00392,1.1e-288,957.4
k111_19206_33	TIGR00086,1.8e-47,158.3
k111_19206_34	TIGR00635,1.7e-129,428.5
k111_19206_48	TIGR02273,9.2e-44,146.1
k111_19206_51	TIGR02191,2.1e-51,171.9
k111_19206_90	TIGR00442,1.9e-146,485.5
k111_20746_14	TIGR00964,1.9e-15,53.8
k111_20746_149	TIGR03725,5.2e-27,92.5
k111_20746_15	TIGR00922,3e-56,187.2
k111_20746_156	TIGR00416,1.7e-162,538.5
k111_20746_16	TIGR01632,1.9e-61,203.4
k111_20746_17	TIGR01169,7.6e-99,327.0
k111_20746_64	TIGR00456,6.4e-158,523.9
k111_20746_75	TIGR00043,3e-35,118.0
k111_20746_77	TIGR00020,4.2e-132,437.8
k111_20746_91	TIGR00006,2.8e-81,270.6
k111_22341_100	TIGR02012,9.1e-162,535.1
k111_25253_115	TIGR00431,4e-68,226.5
k111_25253_119	TIGR00061,6.9e-32,107.2
k111_25253_14	TIGR02013,0.0,1680.0
k111_25253_2	TIGR00487,7.2e-244,808.2
k111_25253_25	TIGR00138,8.5e-31,104.3
k111_25253_39	TIGR00928,1.8e-161,535.0
k111_25253_4	TIGR01953,1.1e-95,317.8
k111_25253_62	TIGR01146,1.7e-108,360.0
k111_25253_77	TIGR01039,2e-248,822.0
k111_25253_81	TIGR00810,7.4e-19,64.9
k111_25253_93	TIGR01087,1.3e-102,341.5
k111_27071_11	TIGR03594,1.3e-163,542.3
k111_3929_49	TIGR01063,0.0,1122.0
k111_3929_54	TIGR00095,7.1e-44,147.1
k111_3929_78	TIGR00092,1e-147,489.3
k111_3929_80	TIGR00593,7.3e-262,869.0
k111_3929_89	TIGR00435,4.5e-156,517.8
k111_4475_119	TIGR00580,0.0,1047.1
k111_5202_116	TIGR00420,1e-106,354.0
k111_5202_122	TIGR00959,2.1e-175,580.9
k111_5202_127	TIGR00436,1.7e-82,274.1
k111_5202_129	TIGR00088,3.1e-85,282.4
k111_5202_139	TIGR00083,3e-72,240.8
k111_5202_142	TIGR00468,2.3e-105,349.7
k111_5202_17	TIGR01393,3.1e-297,984.1
k111_5202_8	TIGR01017,2.1e-77,256.7
k111_5202_82	TIGR00539,3.8e-60,201.2
k111_5202_84	TIGR00065,4.7e-133,441.1
k111_6382_113	TIGR00250,2.1e-22,76.9
k111_6382_212	TIGR02350,4.8e-252,834.8
k111_6382_226	TIGR00396,0.0,1139.2
k111_6382_235	TIGR01510,1.3e-58,194.7
k111_6382_236	TIGR00194,3.3e-194,644.0
k111_6382_46	TIGR00090,1.5e-31,105.8
k111_6863_102	TIGR01011,2.6e-99,328.3
k111_6863_103	TIGR00116,5.7e-67,223.2
k111_6863_105	TIGR00643,6.8e-223,739.2
k111_6863_112	TIGR01394,2.6e-294,974.3
k111_6863_194	TIGR00460,1.9e-66,221.6
k111_6863_224	TIGR00398,2.4e-148,492.4
k111_6863_229	TIGR00472,2.7e-237,787.2
k111_6863_33	TIGR00186,2.1e-68,227.7
k111_6863_39	TIGR00084,1.2e-38,129.8
k111_6863_43	TIGR01391,1.8e-138,459.1
k111_6863_64	TIGR00755,1.4e-71,238.1
k111_7554_18	TIGR00082,3.3e-31,105.5
