Gene Id	Top hits (Family id,e-value,bitscore)
NQKW01000001.1_181	TIGR00398,2e-145,483.1
NQKW01000001.1_186	TIGR00472,1.9e-217,721.9
NQKW01000001.1_207	TIGR00194,2.6e-191,634.8
NQKW01000001.1_209	TIGR01510,3.2e-58,193.8
NQKW01000001.1_217	TIGR00396,0.0,1126.2
NQKW01000001.1_233	TIGR02350,3.5e-251,832.4
NQKW01000001.1_306	TIGR00755,3.6e-73,243.7
NQKW01000001.1_32	TIGR00090,5.5e-31,104.4
NQKW01000001.1_342	TIGR01011,2.5e-99,328.7
NQKW01000001.1_343	TIGR00116,1.6e-66,222.2
NQKW01000001.1_345	TIGR00643,5.9e-216,716.6
NQKW01000001.1_352	TIGR01394,1.4e-288,955.7
NQKW01000001.1_392	TIGR00593,2.8e-271,900.5
NQKW01000002.1_136	TIGR00539,1.5e-67,225.9
NQKW01000002.1_138	TIGR00065,5.3e-135,447.9
NQKW01000002.1_157	TIGR01017,3.9e-77,256.1
NQKW01000002.1_235	TIGR03263,3e-70,233.1
NQKW01000002.1_238	TIGR03723,9.5e-124,410.2
NQKW01000002.1_243	TIGR00092,1.8e-150,498.8
NQKW01000002.1_265	TIGR00095,3.1e-36,122.5
NQKW01000002.1_272	TIGR01063,0.0,1105.7
NQKW01000002.1_287	TIGR00580,0.0,1052.8
NQKW01000003.1_160	TIGR02075,4.5e-96,318.6
NQKW01000003.1_161	TIGR00496,5e-73,242.1
NQKW01000003.1_31	TIGR00362,1.5e-153,509.6
NQKW01000004.1_102	TIGR00061,1.9e-29,99.7
NQKW01000004.1_106	TIGR00431,6e-67,223.0
NQKW01000004.1_118	TIGR01087,4.8e-106,353.1
NQKW01000004.1_130	TIGR00810,1.4e-20,70.7
NQKW01000004.1_134	TIGR01039,1.7e-248,822.6
NQKW01000004.1_14	TIGR00959,1.5e-174,578.5
NQKW01000004.1_156	TIGR01146,6.6e-110,365.0
NQKW01000004.1_177	TIGR00928,2.1e-161,535.2
NQKW01000004.1_187	TIGR00138,9.3e-30,101.3
NQKW01000004.1_19	TIGR00436,3.2e-84,280.1
NQKW01000004.1_199	TIGR02013,0.0,1675.5
NQKW01000004.1_201	TIGR00029,4.3e-26,88.9
NQKW01000004.1_208	TIGR01953,5.3e-97,322.5
NQKW01000004.1_21	TIGR00088,2.7e-86,286.3
NQKW01000004.1_210	TIGR00487,2.4e-245,813.4
NQKW01000004.1_27	TIGR00083,2.4e-67,225.0
NQKW01000004.1_30	TIGR00468,5.1e-105,348.9
NQKW01000004.1_9	TIGR00420,2.9e-101,336.5
NQKW01000005.1_104	TIGR00445,4.3e-88,293.5
NQKW01000005.1_109	TIGR00166,6.3e-25,84.9
NQKW01000005.1_112	TIGR02350,7.5e-296,979.9
NQKW01000005.1_17	TIGR01128,5.6e-44,148.3
NQKW01000005.1_20	TIGR00631,0.0,1037.9
NQKW01000005.1_23	TIGR02432,1.4e-51,172.8
NQKW01000005.1_28	TIGR00115,9.5e-114,378.0
NQKW01000005.1_30	TIGR00382,1.5e-194,644.4
NQKW01000005.1_32	TIGR02397,1.4e-126,420.2
NQKW01000005.1_36	TIGR01032,2.7e-45,151.0
NQKW01000005.1_68	TIGR01082,8e-123,408.4
NQKW01000005.1_82	TIGR00064,8e-98,324.7
NQKW01000005.1_83	TIGR01951,2e-30,103.4
NQKW01000005.1_92	TIGR00663,4.7e-100,332.7
NQKW01000005.1_96	TIGR00634,4.2e-133,442.9
NQKW01000006.1_101	TIGR03625,4.9e-81,269.0
NQKW01000006.1_102	TIGR03953,1.6e-66,220.9
NQKW01000006.1_104	TIGR01171,2e-130,431.7
NQKW01000006.1_106	TIGR01044,5.6e-38,127.0
NQKW01000006.1_107	TIGR01009,2.1e-88,293.2
NQKW01000006.1_108	TIGR01164,6.7e-61,201.6
NQKW01000006.1_112	TIGR01079,1.5e-34,116.2
NQKW01000006.1_115	TIGR03654,2.3e-72,240.0
NQKW01000006.1_117	TIGR01021,3.6e-61,203.2
NQKW01000006.1_118	TIGR01071,6.4e-45,150.2
NQKW01000006.1_119	TIGR00967,6.9e-130,431.3
NQKW01000006.1_123	TIGR03632,2.6e-55,183.6
NQKW01000006.1_124	TIGR02027,2.9e-92,306.7
NQKW01000006.1_125	TIGR00059,1.1e-41,139.3
NQKW01000006.1_127	TIGR01066,2.8e-62,206.4
NQKW01000006.1_130	TIGR00019,1.2e-142,472.8
NQKW01000006.1_167	TIGR00006,9.1e-84,279.1
NQKW01000006.1_188	TIGR00020,3.5e-131,435.1
NQKW01000006.1_190	TIGR00043,2.9e-30,102.3
NQKW01000006.1_197	TIGR00456,1.6e-146,486.6
NQKW01000006.1_96	TIGR02012,2.1e-162,537.5
NQKW01000007.1_141	TIGR00392,3.7e-276,916.3
NQKW01000009.1_140	TIGR00186,8.5e-62,206.4
NQKW01000009.1_146	TIGR00084,2.7e-41,138.8
NQKW01000009.1_149	TIGR01391,3.6e-139,461.8
NQKW01000009.1_54	TIGR00615,1.7e-62,208.0
NQKW01000010.1_35	TIGR01393,4.5e-298,987.2
NQKW01000010.1_39	TIGR00414,8.2e-148,490.5
NQKW01000010.1_40	TIGR00054,3.6e-82,274.1
NQKW01000010.1_81	TIGR03594,1.4e-164,545.8
NQKW01000012.1_11	TIGR00416,8.1e-174,576.2
NQKW01000012.1_18	TIGR03725,8.6e-22,75.8
NQKW01000012.1_61	TIGR01029,7.8e-64,211.9
NQKW01000013.1_21	TIGR00635,3.4e-129,427.9
NQKW01000013.1_22	TIGR00086,4.6e-49,163.8
NQKW01000014.1_18	TIGR00442,1.3e-147,489.6
NQKW01000014.1_23	TIGR00337,1.6e-245,813.3
NQKW01000014.1_26	TIGR00459,1e-230,764.7
NQKW01000015.1_30	TIGR00964,1.4e-16,57.8
NQKW01000015.1_31	TIGR00922,5.4e-55,183.5
NQKW01000015.1_32	TIGR01632,1.3e-60,201.1
NQKW01000015.1_33	TIGR01169,8.2e-97,320.7
NQKW01000016.1_28	TIGR00158,4.5e-42,141.7
NQKW01000017.1_49	TIGR02273,5e-41,137.5
NQKW01000017.1_51	TIGR02191,5e-51,171.0
NQKW01000019.1_10	TIGR02729,2.2e-133,442.0
NQKW01000022.1_21	TIGR00082,3e-28,96.3
NQKW01000023.1_41	TIGR00460,2.7e-63,211.6
NQKW01000023.1_7	TIGR00250,1.7e-21,74.3
NQKW01000028.1_22	TIGR00435,4e-152,505.1
NQKW01000033.1_8	TIGR00344,1.2e-290,964.3
NQKW01000037.1_13	TIGR00963,0.0,1220.5
NQKW01000037.1_7	TIGR01059,0.0,1064.4
NQKW01000037.1_9	TIGR00168,1e-66,221.3
