Gene Id	Top hits (Family id,e-value,bitscore)
k111_1125897_8	TIGR01146,1.1e-109,363.2
k111_1151807_6	TIGR00755,3e-71,236.3
k111_1245693_4	TIGR00115,3.2e-120,398.2
k111_1245693_6	TIGR00382,4.4e-195,645.0
k111_1296335_4	TIGR03654,1.6e-70,232.9
k111_1296335_6	TIGR01021,4.8e-60,198.4
k111_1296335_7	TIGR01071,1.1e-46,154.7
k111_1296335_8	TIGR00967,8.5e-127,419.9
k111_1352418_5	TIGR00250,7.8e-25,84.0
k111_1365343_3	TIGR00083,4.8e-74,245.9
k111_1466885_2	TIGR00092,2.1e-146,484.3
k111_1500335_1	TIGR00580,7.8e-173,573.6
k111_1587104_2	TIGR00468,9.8e-104,343.5
k111_1674846_4	TIGR00138,2.2e-32,108.7
k111_1702901_2	TIGR00810,8e-19,64.0
k111_1826460_2	TIGR03594,8.9e-166,548.6
k111_18343_3	TIGR03263,5.3e-71,234.5
k111_1919902_3	TIGR00088,1.2e-84,279.7
k111_1919902_5	TIGR00436,3.9e-84,278.7
k111_2216927_3	TIGR00472,3.5e-235,779.4
k111_2260024_2	TIGR00398,1.3e-151,502.5
k111_2376484_3	TIGR02729,4.1e-104,344.6
k111_2422722_1	TIGR01394,1.1e-283,938.5
k111_2645754_5	TIGR01029,4.4e-63,208.4
k111_2711840_1	TIGR00362,1.7e-155,514.9
k111_2778824_1	TIGR00663,8.7e-98,324.1
k111_2816192_3	TIGR01032,1.7e-47,157.0
k111_284524_2	TIGR01510,6e-58,191.8
k111_284524_3	TIGR00194,2.8e-193,640.2
k111_2938691_1	TIGR00635,2.8e-129,427.0
k111_2938691_2	TIGR00086,9.2e-42,139.0
k111_2983198_1	TIGR00344,9.3e-179,592.9
k111_3043101_3	TIGR00431,1.5e-60,201.0
k111_3049428_7	TIGR00090,3.1e-31,104.0
k111_3095087_2	TIGR00414,7.9e-151,499.3
k111_3148574_10	TIGR01164,8.3e-61,200.2
k111_3148574_14	TIGR01079,3.1e-33,110.9
k111_3148574_3	TIGR03625,8.5e-82,270.4
k111_3148574_4	TIGR03953,8.8e-67,220.6
k111_3148574_6	TIGR01171,2.1e-130,430.6
k111_3148574_8	TIGR01044,6.1e-39,129.0
k111_3148574_9	TIGR01009,9.5e-89,293.2
k111_3151618_1	TIGR00396,7.9e-167,553.3
k111_3153584_7	TIGR00186,4.5e-68,225.8
k111_3223137_1	TIGR00064,1e-92,306.8
k111_3267362_1	TIGR00337,1.3e-227,753.0
k111_3317175_2	TIGR00487,7.5e-245,810.6
k111_3322864_1	TIGR01391,1.3e-131,435.8
k111_3545334_4	TIGR00959,8e-174,574.9
k111_355849_1	TIGR01169,3.1e-51,170.4
k111_355849_2	TIGR01632,3.6e-62,205.0
k111_355849_3	TIGR00922,1.7e-55,184.0
k111_355849_4	TIGR00964,9.3e-15,50.9
k111_396855_2	TIGR00593,6.6e-209,692.9
k111_400689_2	TIGR02432,1.9e-51,171.2
k111_4380_1	TIGR00166,2.7e-24,81.8
k111_4380_5	TIGR00445,5.4e-94,311.7
k111_467355_1	TIGR00487,9.6e-127,420.6
k111_515205_10	TIGR00019,2.7e-143,473.7
k111_515205_3	TIGR03632,3.4e-56,185.3
k111_515205_4	TIGR02027,4.8e-90,298.2
k111_515205_5	TIGR00059,6.5e-42,138.9
k111_515205_7	TIGR01066,3.9e-63,208.0
k111_580495_1	TIGR02397,1.3e-126,419.1
k111_58220_2	TIGR00362,1.2e-107,357.2
k111_631113_1	TIGR00643,7.8e-146,483.8
k111_631113_3	TIGR00116,4e-65,216.4
k111_631113_4	TIGR01011,4.7e-99,326.7
k111_647416_3	TIGR00496,3.4e-72,238.3
k111_647416_4	TIGR02075,1.8e-95,315.5
k111_664845_3	TIGR03723,4.9e-118,390.3
k111_694575_4	TIGR00082,6.7e-31,103.8
k111_735246_2	TIGR00420,8.9e-84,277.8
k111_743837_3	TIGR00460,6.9e-58,192.7
k111_790995_4	TIGR00615,6.2e-75,247.5
k111_793303_3	TIGR03725,2.3e-31,105.9
k111_849799_5	TIGR02012,1.1e-139,461.7
k111_962270_4	TIGR01082,5.1e-90,299.2
