Gene Id	Top hits (Family id,e-value,bitscore)
NZ_JXIJ01000014.1_33	PF01025.20,9e-50,167.4
NZ_JXIJ01000028.1_200	PF00687.22,2.8e-35,120.8
NZ_JXIJ01000028.1_204	PF00466.21,9.7e-28,95.1
NZ_JXIJ01000069.1_27	PF00380.20,6.3e-42,141.8
NZ_JXIJ01000069.1_31	PF01000.27,5.8e-20,70.6
NZ_JXIJ01000069.1_42	PF00410.20,1.1e-51,172.9
NZ_JXIJ01000070.1_105	PF03726.15,2.2e-18,65.4
NZ_JXIJ01000071.1_1	PF03726.15,3.6e-10,39.0
NZ_JXIJ01000079.1_4	PF00410.20,7.7e-45,150.8
NZ_JXIJ01000130.1_747	PF02576.18,1.9e-17,62.3
