Gene Id	Top hits (Family id,e-value,bitscore)
QCUI01000001.1_134	TIGR02191,5.6e-51,170.4
QCUI01000001.1_137	TIGR02273,5.8e-42,140.2
QCUI01000001.1_160	TIGR00635,3.4e-127,420.9
QCUI01000001.1_161	TIGR00086,1.3e-48,162.0
QCUI01000001.1_97	TIGR00442,5.2e-145,480.7
QCUI01000002.1_123	TIGR00414,7.4e-152,503.4
QCUI01000002.1_124	TIGR00054,1.1e-81,272.0
QCUI01000002.1_59	TIGR03723,1.3e-123,409.3
QCUI01000002.1_62	TIGR03263,1.5e-69,230.4
QCUI01000003.1_64	TIGR00090,2.2e-30,102.0
QCUI01000004.1_55	TIGR00362,7.5e-153,506.9
QCUI01000005.1_39	TIGR00456,6.2e-155,513.9
QCUI01000005.1_52	TIGR00043,2.5e-34,115.0
QCUI01000005.1_54	TIGR00020,3.5e-130,431.4
QCUI01000005.1_69	TIGR00006,4.3e-80,266.6
QCUI01000006.1_33	TIGR02075,2.2e-94,312.6
QCUI01000006.1_34	TIGR00496,3.3e-68,226.0
QCUI01000007.1_15	TIGR00963,0.0,1215.6
QCUI01000007.1_22	TIGR01128,3.9e-44,148.4
QCUI01000007.1_24	TIGR00631,0.0,1038.4
QCUI01000007.1_26	TIGR02432,1.7e-50,168.8
QCUI01000007.1_31	TIGR00115,1e-120,400.6
QCUI01000007.1_33	TIGR00382,8e-195,644.8
QCUI01000007.1_35	TIGR02397,1.3e-125,416.6
QCUI01000007.1_39	TIGR01032,1.1e-46,155.1
QCUI01000008.1_10	TIGR02729,1.6e-121,402.6
QCUI01000009.1_39	TIGR02350,1.1e-252,837.0
QCUI01000010.1_30	TIGR00194,1.9e-194,644.8
QCUI01000010.1_31	TIGR01510,3.8e-58,193.1
QCUI01000010.1_42	TIGR00396,0.0,1131.3
QCUI01000013.1_18	TIGR00082,4.4e-32,108.2
QCUI01000014.1_13	TIGR00487,2.5e-244,809.6
QCUI01000014.1_15	TIGR01953,9.2e-96,318.0
QCUI01000014.1_25	TIGR00029,1.6e-26,89.9
QCUI01000014.1_27	TIGR02013,0.0,1678.0
QCUI01000015.1_21	TIGR00580,0.0,1035.5
QCUI01000019.1_14	TIGR00061,5.6e-32,107.4
QCUI01000019.1_18	TIGR00431,1.4e-67,224.7
QCUI01000019.1_31	TIGR01087,1.4e-106,354.5
QCUI01000020.1_19	TIGR00468,1.3e-105,350.4
QCUI01000020.1_22	TIGR00083,6e-76,252.8
QCUI01000020.1_31	TIGR00088,2.4e-85,282.7
QCUI01000020.1_33	TIGR00436,3.2e-82,273.1
QCUI01000020.1_40	TIGR00959,6.9e-175,579.2
QCUI01000025.1_21	TIGR01039,1.3e-249,825.8
QCUI01000025.1_26	TIGR00810,3.9e-19,65.7
QCUI01000025.1_6	TIGR01146,7e-109,361.2
QCUI01000027.1_26	TIGR01082,3.4e-113,376.3
QCUI01000029.1_23	TIGR00337,9.2e-244,807.1
QCUI01000029.1_26	TIGR00459,3.6e-237,785.6
QCUI01000032.1_11	TIGR01017,1.8e-77,256.8
QCUI01000035.1_9	TIGR00435,1.1e-150,499.9
QCUI01000043.1_1	TIGR00186,1.9e-67,224.5
QCUI01000043.1_13	TIGR01391,2.3e-138,458.7
QCUI01000043.1_7	TIGR00084,6.9e-40,133.8
QCUI01000047.1_8	TIGR01029,1.6e-63,210.5
QCUI01000048.1_20	TIGR01394,1.4e-289,958.6
QCUI01000048.1_6	TIGR02350,1.2e-279,926.0
QCUI01000050.1_10	TIGR01063,0.0,1113.6
QCUI01000050.1_15	TIGR00095,2.3e-42,142.1
QCUI01000059.1_11	TIGR00092,2.4e-147,488.1
QCUI01000059.1_9	TIGR00593,2.1e-262,870.7
QCUI01000063.1_13	TIGR01011,5e-99,327.3
QCUI01000063.1_14	TIGR00116,9.5e-66,219.1
QCUI01000066.1_11	TIGR00539,6.6e-64,213.5
QCUI01000066.1_13	TIGR00065,7.7e-132,437.1
QCUI01000067.1_2	TIGR02012,1.9e-161,534.0
QCUI01000074.1_2	TIGR01059,0.0,1063.0
QCUI01000074.1_4	TIGR00168,6.4e-67,221.6
QCUI01000094.1_3	TIGR00416,6.6e-161,533.3
