Gene Id	Top hits (Family id,e-value,bitscore)
NC_019678.1_1	TIGR00362,6.4e-164,544.7
NC_019678.1_1000	TIGR01059,0.0,1070.8
NC_019678.1_1004	TIGR01063,5.1e-269,893.1
NC_019678.1_1050	TIGR01029,4.7e-67,223.3
NC_019678.1_106	TIGR00398,6e-168,558.4
NC_019678.1_1183	TIGR00593,0.0,1029.6
NC_019678.1_1229	TIGR00168,2.1e-69,231.0
NC_019678.1_126	TIGR02350,1.6e-280,930.2
NC_019678.1_1357	TIGR01953,2e-98,328.1
NC_019678.1_1360	TIGR00487,4.8e-254,843.1
NC_019678.1_1390	TIGR00054,3.7e-104,347.5
NC_019678.1_1391	TIGR00414,1.9e-169,562.6
NC_019678.1_1432	TIGR00194,4.6e-204,677.9
NC_019678.1_1443	TIGR00138,1.4e-45,153.8
NC_019678.1_1485	TIGR00445,1.3e-102,342.2
NC_019678.1_1489	TIGR00435,3.5e-179,595.3
NC_019678.1_1495	TIGR01510,2.4e-60,201.6
NC_019678.1_1513	TIGR00436,9.2e-96,318.9
NC_019678.1_1521	TIGR00064,7.1e-104,345.5
NC_019678.1_1522	TIGR01951,7.1e-36,122.0
NC_019678.1_1576	TIGR03263,8.1e-72,239.2
NC_019678.1_1579	TIGR03723,7.7e-128,424.6
NC_019678.1_18	TIGR01394,4.9e-294,974.7
NC_019678.1_1921	TIGR00580,0.0,1108.8
NC_019678.1_1993	TIGR02273,1.7e-45,153.0
NC_019678.1_2	TIGR00663,3.7e-104,347.2
NC_019678.1_2242	TIGR00435,5.4e-172,571.6
NC_019678.1_2332	TIGR00006,5.6e-105,349.7
NC_019678.1_2344	TIGR00416,4.6e-196,650.5
NC_019678.1_2413	TIGR00635,3.7e-140,464.8
NC_019678.1_2425	TIGR01039,6.2e-252,834.8
NC_019678.1_2491	TIGR00460,1.2e-90,302.4
NC_019678.1_2597	TIGR03625,2.7e-86,287.1
NC_019678.1_2598	TIGR03953,4.2e-71,236.7
NC_019678.1_2600	TIGR01171,2.6e-134,445.4
NC_019678.1_2602	TIGR01044,1.5e-40,136.2
NC_019678.1_2603	TIGR01009,8.8e-90,298.6
NC_019678.1_2604	TIGR01164,6.1e-65,215.6
NC_019678.1_2608	TIGR01079,1.3e-37,127.0
NC_019678.1_2611	TIGR03654,5.7e-73,242.9
NC_019678.1_2613	TIGR01021,5.1e-65,216.6
NC_019678.1_2614	TIGR01071,3.6e-44,148.7
NC_019678.1_2615	TIGR00967,4.2e-138,459.2
NC_019678.1_2619	TIGR03632,3.9e-56,187.1
NC_019678.1_2620	TIGR02027,9.8e-104,345.2
NC_019678.1_2621	TIGR00059,1.1e-42,143.4
NC_019678.1_2623	TIGR01066,3.6e-63,210.1
NC_019678.1_2626	TIGR00019,1.8e-157,522.5
NC_019678.1_2632	TIGR00810,2.4e-20,70.9
NC_019678.1_2644	TIGR00090,9.8e-31,104.4
NC_019678.1_3079	TIGR02191,3e-56,188.9
NC_019678.1_3245	TIGR01063,0.0,1175.6
NC_019678.1_3261	TIGR00539,6.6e-92,306.9
NC_019678.1_3327	TIGR01087,4e-117,390.5
NC_019678.1_3428	TIGR01128,1.4e-53,180.8
NC_019678.1_345	TIGR00959,7.9e-185,613.3
NC_019678.1_3621	TIGR01146,4.1e-117,389.6
NC_019678.1_3639	TIGR01017,1.1e-79,265.4
NC_019678.1_3711	TIGR02397,1.7e-132,440.5
NC_019678.1_3724	TIGR00634,3.8e-167,556.2
NC_019678.1_3791	TIGR00337,7.5e-257,851.6
NC_019678.1_392	TIGR00631,0.0,1063.3
NC_019678.1_4063	TIGR00392,0.0,1027.1
