Gene Id	Top hits (Family id,e-value,bitscore)
k111_102173_2	TIGR03725,6e-31,105.9
k111_1069878_3	TIGR00116,1.6e-64,215.8
k111_1069878_4	TIGR01011,7e-74,245.7
k111_1095025_2	TIGR01128,5.1e-27,92.8
k111_1177817_1	TIGR00398,1.7e-95,318.6
k111_1207923_4	TIGR01066,7.4e-63,208.4
k111_1237815_1	TIGR03723,2.3e-101,336.9
k111_1249455_1	TIGR01039,3.5e-246,815.1
k111_1319063_1	TIGR00487,3.5e-137,456.5
k111_1394653_1	TIGR00663,2.9e-59,198.7
k111_1407802_1	TIGR01391,3e-131,435.9
k111_1417462_5	TIGR03632,8.9e-56,185.2
k111_1435792_2	TIGR02273,1.5e-25,87.4
k111_1439513_3	TIGR00158,2.8e-40,136.0
k111_1484643_3	TIGR01128,1.3e-42,144.0
k111_1506233_2	TIGR00064,5.8e-74,246.6
k111_152262_1	TIGR00472,6.9e-194,644.2
k111_153432_3	TIGR00435,2.8e-152,505.8
k111_1536729_1	TIGR00396,2.7e-157,523.2
k111_161354_1	TIGR00006,3e-83,277.6
k111_1627196_2	TIGR00964,2.4e-14,50.9
k111_1627196_3	TIGR00922,4.4e-55,184.0
k111_1627196_4	TIGR01632,9.3e-62,205.0
k111_1627196_5	TIGR01169,2.1e-98,326.1
k111_1627555_3	TIGR00643,1e-194,646.6
k111_1764386_1	TIGR00959,1.1e-138,460.5
k111_1815439_2	TIGR00054,6.3e-57,191.1
k111_1823764_3	TIGR00043,5.3e-20,69.5
k111_195594_3	TIGR01128,2.6e-44,149.6
k111_2162676_3	TIGR00186,1.1e-67,225.8
k111_2190016_1	TIGR00086,4.3e-48,160.9
k111_2210168_2	TIGR00420,8.4e-104,345.0
k111_2219512_2	TIGR00959,1e-173,575.9
k111_234005_1	TIGR00362,3.1e-156,518.7
k111_2353864_1	TIGR02191,5.6e-50,167.7
k111_2353864_5	TIGR02273,9.6e-38,127.0
k111_240216_3	TIGR00029,3.4e-23,79.8
k111_24048_2	TIGR02273,1e-28,97.7
k111_2406702_3	TIGR02191,2.9e-50,168.7
k111_2480702_3	TIGR03725,2.3e-27,94.2
k111_2553625_3	TIGR02350,8.2e-250,828.0
k111_2563087_1	TIGR01032,4.4e-28,95.7
k111_257082_1	TIGR00065,4.1e-132,438.6
k111_2578730_3	TIGR00435,3.4e-138,459.4
k111_2687635_1	TIGR00059,6.9e-41,137.0
k111_2697100_3	TIGR00166,7.8e-24,81.6
k111_2704935_1	TIGR00362,8.5e-138,457.9
k111_2714162_2	TIGR00459,7.5e-179,593.6
k111_2728244_3	TIGR00445,9e-78,259.8
k111_2728556_1	TIGR00442,1.4e-145,483.2
k111_2729429_1	TIGR00928,4.2e-126,419.0
k111_2775360_1	TIGR00615,1.2e-73,244.7
k111_2824530_3	TIGR02729,3.3e-72,241.1
k111_2835886_1	TIGR01951,2.6e-33,113.0
k111_2874772_1	TIGR00344,4.8e-142,472.8
k111_2910758_1	TIGR00414,2.5e-117,390.3
k111_2922270_2	TIGR00138,1.6e-31,107.2
k111_293210_1	TIGR00084,3.3e-39,132.2
k111_32396_1	TIGR00539,8.8e-65,217.0
k111_339248_4	TIGR03594,1.2e-95,318.9
k111_372542_2	TIGR02432,6.9e-51,170.7
k111_425155_3	TIGR00020,1.3e-130,433.5
k111_43264_2	TIGR01128,5.7e-24,82.8
k111_435436_1	TIGR00337,7.7e-121,402.1
k111_438275_1	TIGR02012,2.8e-139,461.7
k111_515853_2	TIGR00054,5.1e-51,171.7
k111_560131_2	TIGR00416,1.9e-144,479.6
k111_568317_2	TIGR00362,1.1e-155,516.9
k111_569772_2	TIGR00810,3.5e-12,44.1
k111_580761_3	TIGR00250,4.4e-23,79.6
k111_610052_4	TIGR00337,1.2e-159,530.1
k111_686379_1	TIGR01087,2e-107,357.9
k111_735977_2	TIGR00663,2.2e-97,324.1
k111_762894_2	TIGR00496,3e-69,230.0
k111_762894_3	TIGR02075,8.5e-97,321.2
k111_791241_4	TIGR03263,1.4e-70,234.5
k111_861528_3	TIGR00539,2.6e-66,222.0
k111_975118_2	TIGR01128,1.3e-28,98.1
k111_98595_2	TIGR02013,0.0,1233.8
