Gene Id	Top hits (Family id,e-value,bitscore)
NC_019729.1_1	TIGR00362,5e-161,535.2
NC_019729.1_1001	TIGR03723,9e-128,424.4
NC_019729.1_1080	TIGR00964,4e-18,63.7
NC_019729.1_1081	TIGR00922,4.3e-61,204.3
NC_019729.1_1082	TIGR01632,2e-63,211.2
NC_019729.1_1083	TIGR01169,1.8e-95,317.2
NC_019729.1_1103	TIGR00344,0.0,1077.1
NC_019729.1_1118	TIGR00337,5.4e-257,852.1
NC_019729.1_1204	TIGR00396,0.0,1223.8
NC_019729.1_1211	TIGR00054,7.1e-107,356.4
NC_019729.1_1259	TIGR00539,1.6e-89,299.1
NC_019729.1_1407	TIGR00810,5.1e-18,63.5
NC_019729.1_1591	TIGR01039,5.8e-251,831.7
NC_019729.1_1619	TIGR00431,3.6e-74,247.6
NC_019729.1_169	TIGR00414,2.2e-168,559.2
NC_019729.1_1739	TIGR01063,0.0,1175.0
NC_019729.1_1825	TIGR00928,3e-171,568.6
NC_019729.1_1878	TIGR01146,5.3e-118,392.5
NC_019729.1_1900	TIGR00416,9.1e-195,646.3
NC_019729.1_2	TIGR00663,1.5e-97,325.4
NC_019729.1_2083	TIGR00445,7.9e-105,349.4
NC_019729.1_2196	TIGR00086,6.2e-57,190.3
NC_019729.1_2358	TIGR00398,5.9e-163,541.9
NC_019729.1_2367	TIGR00959,1.8e-180,598.9
NC_019729.1_2427	TIGR00166,1.4e-23,81.6
NC_019729.1_2460	TIGR00168,5.7e-70,232.8
NC_019729.1_2511	TIGR02350,1.5e-280,930.3
NC_019729.1_2667	TIGR03725,3.2e-34,117.4
NC_019729.1_2746	TIGR03263,2.6e-71,237.5
NC_019729.1_2811	TIGR02191,2.2e-70,235.2
NC_019729.1_2812	TIGR02191,4.8e-68,227.6
NC_019729.1_282	TIGR00755,6.5e-78,260.2
NC_019729.1_2829	TIGR01393,1.2e-299,993.4
NC_019729.1_2882	TIGR00020,2.1e-118,394.0
NC_019729.1_2944	TIGR00083,7.3e-84,280.2
NC_019729.1_2966	TIGR01391,1.6e-143,477.1
NC_019729.1_2996	TIGR00186,5.3e-73,244.0
NC_019729.1_3014	TIGR01951,1.6e-36,124.1
NC_019729.1_3015	TIGR00064,1.4e-102,341.3
NC_019729.1_3295	TIGR00061,1.4e-34,117.1
NC_019729.1_3360	TIGR00456,1.1e-170,567.4
NC_019729.1_3423	TIGR02432,3.2e-57,192.1
NC_019729.1_3447	TIGR00006,4.2e-99,330.5
NC_019729.1_3455	TIGR00442,1.1e-156,520.5
NC_019729.1_347	TIGR00634,1e-161,538.3
NC_019729.1_349	TIGR00635,1.4e-136,453.1
NC_019729.1_3501	TIGR00468,2.2e-108,360.9
NC_019729.1_3510	TIGR00615,2.5e-81,270.4
NC_019729.1_3520	TIGR01087,1.3e-120,402.0
NC_019729.1_3537	TIGR02191,1.8e-53,179.9
NC_019729.1_3610	TIGR00472,7e-238,790.4
NC_019729.1_365	TIGR00436,1e-102,341.7
NC_019729.1_3658	TIGR00158,2.5e-41,140.2
NC_019729.1_3749	TIGR01394,8.9e-288,954.1
NC_019729.1_3922	TIGR00593,3.9e-304,1010.1
NC_019729.1_4149	TIGR00382,2.6e-204,677.5
NC_019729.1_4187	TIGR02729,2.2e-137,456.1
NC_019729.1_4346	TIGR01017,1e-79,265.5
NC_019729.1_442	TIGR00580,0.0,1116.5
NC_019729.1_4423	TIGR00460,1e-84,283.0
NC_019729.1_446	TIGR01059,0.0,1076.5
NC_019729.1_4567	TIGR00643,9e-240,796.2
NC_019729.1_4569	TIGR00116,5.7e-67,224.5
NC_019729.1_4570	TIGR01011,2.4e-103,342.8
NC_019729.1_4582	TIGR00435,1.7e-169,563.4
NC_019729.1_4610	TIGR00095,4.8e-51,171.8
NC_019729.1_463	TIGR00963,0.0,1242.7
NC_019729.1_4681	TIGR00420,1.1e-118,394.7
NC_019729.1_4791	TIGR00088,4.5e-89,296.3
NC_019729.1_4871	TIGR00459,1e-252,838.3
NC_019729.1_4971	TIGR01082,1.4e-148,494.3
NC_019729.1_5030	TIGR00194,2.3e-198,659.1
NC_019729.1_5056	TIGR03594,7.4e-165,547.7
NC_019729.1_5130	TIGR00090,2.2e-29,100.2
NC_019729.1_5200	TIGR01032,7.9e-49,163.3
NC_019729.1_5292	TIGR00082,3.2e-36,123.0
NC_019729.1_5311	TIGR03625,2.3e-87,290.7
NC_019729.1_5312	TIGR03953,8.5e-68,226.0
NC_019729.1_5314	TIGR01171,3.1e-137,455.1
NC_019729.1_5316	TIGR01044,1e-42,143.1
NC_019729.1_5317	TIGR01009,3.6e-93,309.7
NC_019729.1_5318	TIGR01164,1.9e-63,210.8
NC_019729.1_5322	TIGR01079,4.4e-37,125.3
NC_019729.1_5325	TIGR03654,1.7e-72,241.5
NC_019729.1_5327	TIGR01021,2.9e-65,217.5
NC_019729.1_5328	TIGR01071,3.5e-46,155.2
NC_019729.1_5329	TIGR00967,4.9e-141,468.9
NC_019729.1_5333	TIGR03632,8.6e-57,189.3
NC_019729.1_5334	TIGR02027,4.6e-104,346.4
NC_019729.1_5335	TIGR00059,9.2e-42,140.5
NC_019729.1_5337	TIGR01066,5.1e-63,209.7
NC_019729.1_5340	TIGR00019,1.9e-154,512.6
NC_019729.1_5435	TIGR01128,6.4e-55,185.2
NC_019729.1_5633	TIGR01953,8e-102,339.3
NC_019729.1_5636	TIGR00487,1e-247,822.2
NC_019729.1_569	TIGR00084,5.4e-47,158.4
NC_019729.1_5695	TIGR00065,7.8e-138,458.2
NC_019729.1_5759	TIGR02273,8.8e-43,144.2
NC_019729.1_5788	TIGR00392,2.2e-303,1007.3
NC_019729.1_5818	TIGR00029,2.5e-29,100.3
NC_019729.1_5821	TIGR02013,0.0,1714.9
NC_019729.1_5823	TIGR02386,9.9e-277,919.7
NC_019729.1_5828	TIGR01063,2e-264,878.0
NC_019729.1_5860	TIGR00115,9.6e-115,382.3
NC_019729.1_5862	TIGR00382,1.9e-209,694.4
NC_019729.1_5865	TIGR02397,1.4e-131,437.5
NC_019729.1_5909	TIGR00043,3.8e-35,119.0
NC_019729.1_5949	TIGR02350,2.2e-277,919.9
NC_019729.1_6233	TIGR00631,0.0,1062.7
NC_019729.1_6279	TIGR02075,1.5e-100,334.2
NC_019729.1_6280	TIGR00496,3.3e-75,250.1
NC_019729.1_638	TIGR00092,4.7e-162,537.9
