Gene Id	Top hits (Family id,e-value,bitscore)
CM002803_10	TIGR00810,2.1e-20,70.6
CM002803_1038	TIGR01017,1e-79,264.9
CM002803_1103	TIGR00459,9.2e-252,834.6
CM002803_1119	TIGR00663,2.4e-103,343.9
CM002803_1204	TIGR00414,4.1e-166,551.1
CM002803_1206	TIGR00635,3.8e-136,451.1
CM002803_1418	TIGR00396,0.0,1222.3
CM002803_1501	TIGR02350,3.2e-279,925.3
CM002803_1590	TIGR00442,1.2e-156,519.7
CM002803_1605	TIGR00416,4.4e-196,650.0
CM002803_1613	TIGR00061,8e-37,123.7
CM002803_1693	TIGR02350,2.5e-272,902.5
CM002803_1713	TIGR00090,4.1e-29,98.7
CM002803_1865	TIGR00054,8e-109,362.2
CM002803_1925	TIGR01951,1.2e-35,120.7
CM002803_1927	TIGR00064,3.4e-105,349.3
CM002803_1947	TIGR00092,3.8e-157,521.1
CM002803_1949	TIGR00456,1.7e-174,579.3
CM002803_2020	TIGR00398,6.7e-169,560.9
CM002803_2068	TIGR00115,7.6e-114,378.7
CM002803_2096	TIGR00095,3.9e-56,187.8
CM002803_2307	TIGR00158,1.2e-43,147.1
CM002803_2323	TIGR00382,2.4e-207,686.9
CM002803_2409	TIGR00392,2.6e-304,1009.8
CM002803_2457	TIGR00065,7.6e-136,451.0
CM002803_2475	TIGR02273,6.6e-42,140.7
CM002803_2483	TIGR00250,5.8e-43,144.1
CM002803_2504	TIGR01394,1.2e-290,962.9
CM002803_2517	TIGR01063,7.9e-272,901.8
CM002803_2594	TIGR00539,1.8e-96,321.4
CM002803_2624	TIGR00082,1.8e-40,136.1
CM002803_2738	TIGR00435,1.7e-174,579.2
CM002803_2799	TIGR00166,3.5e-24,82.9
CM002803_2872	TIGR01032,1e-48,162.4
CM002803_2889	TIGR00487,1.4e-250,831.0
CM002803_2891	TIGR01953,2.4e-102,340.4
CM002803_2908	TIGR01059,0.0,1041.4
CM002803_2938	TIGR02350,5.7e-299,990.5
CM002803_3064	TIGR00460,9.1e-82,272.6
CM002803_307	TIGR03594,1.4e-164,546.2
CM002803_3085	TIGR00959,7.4e-182,602.9
CM002803_3107	TIGR01087,2.3e-65,219.4
CM002803_3193	TIGR01391,4.1e-146,485.0
CM002803_3244	TIGR03263,3.4e-72,239.8
CM002803_3275	TIGR00186,6.7e-81,269.3
CM002803_328	TIGR00593,2.8e-298,990.2
CM002803_3335	TIGR01039,9e-252,833.7
CM002803_3347	TIGR00928,4.6e-174,577.2
CM002803_3353	TIGR00445,9e-104,345.4
CM002803_347	TIGR03625,2.5e-78,260.6
CM002803_348	TIGR03953,5.9e-72,238.9
CM002803_350	TIGR01171,9.6e-137,452.8
CM002803_352	TIGR01044,1.1e-42,142.4
CM002803_3520	TIGR00029,5.3e-28,95.4
CM002803_3522	TIGR02013,0.0,1712.6
CM002803_3523	TIGR02386,4.3e-277,920.2
CM002803_353	TIGR01009,1.5e-93,310.4
