Gene Id	Top hits (Family id,e-value,bitscore)
CP006271.1_101	TIGR02012,2.2e-162,537.1
CP006271.1_1014	TIGR01039,1.6e-247,819.0
CP006271.1_1022	TIGR00810,7.5e-19,64.9
CP006271.1_1034	TIGR01087,1.8e-108,360.7
CP006271.1_1054	TIGR00431,7.8e-67,222.3
CP006271.1_1057	TIGR00061,3.8e-33,111.2
CP006271.1_106	TIGR03625,1.6e-80,267.0
CP006271.1_107	TIGR03953,2.4e-65,216.7
CP006271.1_109	TIGR01171,3.2e-130,430.7
CP006271.1_111	TIGR01044,6.4e-38,126.5
CP006271.1_112	TIGR01009,8.9e-89,294.1
CP006271.1_113	TIGR01164,2e-60,199.8
CP006271.1_1134	TIGR00487,6.3e-242,801.8
CP006271.1_1136	TIGR01953,1.1e-95,317.7
CP006271.1_1146	TIGR00029,2.7e-28,95.6
CP006271.1_1148	TIGR02013,0.0,1665.7
CP006271.1_1159	TIGR00138,5.5e-34,114.7
CP006271.1_117	TIGR01079,1.9e-34,115.5
CP006271.1_1193	TIGR03594,6.6e-165,546.6
CP006271.1_120	TIGR03654,4.4e-70,232.3
CP006271.1_122	TIGR01021,4.4e-60,199.3
CP006271.1_123	TIGR01071,4.6e-43,143.8
CP006271.1_124	TIGR00967,3.1e-129,428.8
CP006271.1_1247	TIGR00435,4.7e-153,507.8
CP006271.1_1248	TIGR00593,4.4e-267,886.2
CP006271.1_1250	TIGR00092,9.2e-151,499.4
CP006271.1_1267	TIGR00095,1.5e-42,142.7
CP006271.1_1273	TIGR01063,0.0,1123.8
CP006271.1_128	TIGR03632,1.7e-56,187.0
CP006271.1_129	TIGR02027,8.1e-91,301.5
CP006271.1_130	TIGR00059,4e-37,124.3
CP006271.1_132	TIGR01066,5.3e-62,205.1
CP006271.1_135	TIGR00019,1.3e-144,478.8
CP006271.1_1354	TIGR00250,4.1e-20,69.5
CP006271.1_1426	TIGR00090,5e-32,107.3
CP006271.1_1558	TIGR00615,7.1e-64,212.1
CP006271.1_160	TIGR01029,5.1e-63,208.9
CP006271.1_1829	TIGR02350,2.1e-250,829.5
CP006271.1_1844	TIGR00396,0.0,1137.0
CP006271.1_1859	TIGR01510,3e-59,196.8
CP006271.1_1861	TIGR00194,6.8e-192,636.4
CP006271.1_1884	TIGR00472,1.1e-245,814.9
CP006271.1_1889	TIGR00398,1.1e-148,493.5
CP006271.1_1918	TIGR00460,6.2e-66,219.9
CP006271.1_1932	TIGR00580,0.0,1049.0
CP006271.1_2009	TIGR01394,6.4e-295,976.3
CP006271.1_2017	TIGR00643,7.9e-219,725.7
CP006271.1_2019	TIGR00116,4.8e-64,213.6
