Gene Id	Top hits (Family id,e-value,bitscore)
NC_019780.1_1	TIGR00362,5.6e-162,537.4
NC_019780.1_1054	TIGR02191,1.4e-69,231.7
NC_019780.1_1068	TIGR00006,4e-104,346.0
NC_019780.1_1082	TIGR00580,0.0,1146.7
NC_019780.1_1103	TIGR00043,2.4e-35,118.7
NC_019780.1_1105	TIGR00020,1.8e-115,383.4
NC_019780.1_1158	TIGR00086,4.8e-59,196.2
NC_019780.1_1169	TIGR01394,1.4e-290,962.3
NC_019780.1_1247	TIGR01082,4.5e-157,521.3
NC_019780.1_1324	TIGR00095,2.8e-55,184.6
NC_019780.1_1373	TIGR03594,2.6e-162,538.4
NC_019780.1_1377	TIGR02350,2.2e-273,905.7
NC_019780.1_1384	TIGR00964,3.6e-16,56.5
NC_019780.1_1385	TIGR00922,6.3e-59,196.3
NC_019780.1_1386	TIGR01632,2.6e-64,213.0
NC_019780.1_1387	TIGR01169,1.4e-96,319.9
NC_019780.1_140	TIGR00431,6.7e-74,245.7
NC_019780.1_1415	TIGR00398,6.3e-170,564.0
NC_019780.1_1419	TIGR00755,2.2e-77,257.5
NC_019780.1_1457	TIGR00663,3.5e-112,372.6
NC_019780.1_1469	TIGR00392,0.0,1022.3
NC_019780.1_156	TIGR01063,0.0,1179.2
NC_019780.1_1586	TIGR01011,3.1e-102,338.3
NC_019780.1_1587	TIGR00116,2.6e-64,214.8
NC_019780.1_1668	TIGR01032,1.1e-49,165.1
NC_019780.1_1687	TIGR00416,1.3e-199,661.3
NC_019780.1_175	TIGR02350,1.3e-276,916.3
NC_019780.1_1755	TIGR01953,2.8e-98,326.7
NC_019780.1_1828	TIGR00090,1.4e-31,106.3
NC_019780.1_1865	TIGR00065,6.4e-138,457.5
NC_019780.1_1868	TIGR00442,6e-156,517.1
NC_019780.1_1882	TIGR00539,5.4e-93,309.6
NC_019780.1_1886	TIGR00643,7e-244,808.9
NC_019780.1_191	TIGR00963,0.0,1244.3
NC_019780.1_1960	TIGR03725,5.7e-38,128.7
NC_019780.1_1961	TIGR00194,8.9e-207,685.9
NC_019780.1_1991	TIGR02350,3.8e-298,987.5
NC_019780.1_2036	TIGR00615,1.3e-83,276.9
NC_019780.1_2071	TIGR00414,1.3e-171,568.8
NC_019780.1_2121	TIGR00928,9.2e-176,582.5
NC_019780.1_2163	TIGR03723,3.3e-129,428.2
NC_019780.1_218	TIGR00436,7.5e-97,321.5
NC_019780.1_2255	TIGR00445,2e-102,340.6
NC_019780.1_2279	TIGR02273,5.5e-43,143.9
NC_019780.1_2301	TIGR00115,3.8e-115,382.6
NC_019780.1_2303	TIGR00382,1.1e-205,681.1
NC_019780.1_231	TIGR00487,1.5e-254,843.9
