#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
CP017708_3285        -          TIGR00006            TIGR00006   1.2e-104  348.8   0.0  1.6e-104  348.4   0.0   1.1   1   0   0   1   1   1   1 # 4194884 # 4195798 # 1 # ID=1_3285;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.480
CP017708_134         -          TIGR00019            TIGR00019   5.3e-160  530.9   5.9  6.1e-160  530.7   5.9   1.0   1   0   0   1   1   1   1 # 165839 # 166951 # -1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.480
CP017708_5983        -          TIGR00020            TIGR00020     2e-118  394.1   0.2  2.3e-118  394.0   0.2   1.0   1   0   0   1   1   1   1 # 7565710 # 7566573 # 1 # ID=1_5983;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.476
CP017708_4305        -          TIGR00029            TIGR00029      5e-24   83.3  13.2   6.2e-24   83.0  13.2   1.1   1   0   0   1   1   1   1 # 5536681 # 5537004 # -1 # ID=1_4305;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.466
CP017708_1426        -          TIGR00043            TIGR00043    3.6e-35  119.1   0.0   4.7e-35  118.8   0.0   1.1   1   0   0   1   1   1   1 # 1823959 # 1824486 # -1 # ID=1_1426;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.455
CP017708_3017        -          TIGR00054            TIGR00054   3.9e-107  357.4   0.3   6.3e-59  198.6   0.5   2.0   1   1   1   2   2   2   2 # 3863464 # 3864555 # 1 # ID=1_3017;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.473
CP017708_139         -          TIGR00059            TIGR00059    6.1e-43  144.4   2.5   7.1e-43  144.2   2.5   1.0   1   0   0   1   1   1   1 # 170071 # 170421 # -1 # ID=1_139;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.519
CP017708_1177        -          TIGR00061            TIGR00061      1e-35  120.8   0.9   1.3e-35  120.5   0.9   1.1   1   0   0   1   1   1   1 # 1502717 # 1503154 # -1 # ID=1_1177;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.489
CP017708_2169        -          TIGR00064            TIGR00064   2.9e-103  343.6   0.1  2.9e-103  343.6   0.1   2.2   2   0   0   2   2   1   1 # 2751687 # 2753618 # 1 # ID=1_2169;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.450
CP017708_6025        -          TIGR00065            TIGR00065   5.7e-139  462.0   8.2  7.7e-139  461.6   8.2   1.0   1   0   0   1   1   1   1 # 7612975 # 7614246 # -1 # ID=1_6025;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.480
