Gene Id	Top hits (Family id,e-value,bitscore)
k111_10075_14	TIGR00435,7.7e-175,579.9
k111_10075_16	TIGR00362,2e-157,522.3
k111_10075_33	TIGR00095,1.1e-54,182.5
k111_10075_37	TIGR00065,2.7e-136,452.1
k111_10434_16	TIGR00442,1.3e-151,502.7
k111_10434_70	TIGR00414,5.3e-172,570.0
k111_10795_4	TIGR00459,2.1e-248,823.0
k111_10795_8	TIGR02012,9.5e-160,528.7
k111_12027_12	TIGR00006,3e-103,343.0
k111_12027_19	TIGR00344,0.0,1083.0
k111_12027_38	TIGR00460,1.8e-81,271.2
k111_14597_116	TIGR02350,3.2e-274,908.3
k111_14597_18	TIGR02013,0.0,1738.0
k111_14597_20	TIGR00029,8.5e-28,94.3
k111_14597_35	TIGR01029,1.2e-68,227.5
k111_14597_54	TIGR01017,1.2e-81,270.8
k111_14799_5	TIGR00064,6.1e-104,344.7
k111_15110_46	TIGR00445,3.8e-104,346.1
k111_15110_62	TIGR00959,9.2e-182,602.1
k111_15110_7	TIGR01128,1.4e-59,199.4
k111_15922_17	TIGR01087,1.1e-122,407.8
k111_16041_103	TIGR01164,3.5e-66,218.6
k111_16041_104	TIGR01009,3.7e-93,308.6
k111_16041_105	TIGR01044,1.7e-42,141.5
k111_16041_107	TIGR01171,4.5e-135,446.9
k111_16041_109	TIGR03953,6.9e-71,235.0
k111_16041_110	TIGR03625,3.4e-85,282.5
k111_16041_21	TIGR00416,5e-201,665.8
k111_16041_52	TIGR03723,3.1e-132,438.0
k111_16041_74	TIGR01169,5.6e-96,317.8
k111_16041_75	TIGR01632,5.1e-64,212.0
k111_16041_76	TIGR00922,3.4e-62,206.8
k111_16041_77	TIGR00964,1.2e-16,57.9
k111_16041_81	TIGR00019,3.3e-159,527.1
k111_16041_84	TIGR01066,9.4e-64,211.0
k111_16041_86	TIGR00059,4.6e-43,143.7
k111_16041_87	TIGR02027,5.8e-106,351.5
k111_16041_88	TIGR03632,2.7e-58,193.1
k111_16041_92	TIGR00967,4.7e-137,454.7
k111_16041_93	TIGR01071,1.2e-49,165.4
k111_16041_94	TIGR01021,1.1e-64,214.6
k111_16041_96	TIGR03654,4.4e-75,248.8
k111_16041_99	TIGR01079,1.5e-36,122.6
k111_16659_15	TIGR00092,1.3e-164,545.3
k111_17045_12	TIGR00396,0.0,1221.8
k111_17045_18	TIGR02397,5.2e-126,418.2
k111_17045_59	TIGR00382,1.8e-209,693.4
k111_17045_72	TIGR02729,2.3e-137,454.9
k111_17720_157	TIGR02191,2.7e-67,224.1
k111_17720_281	TIGR01393,0.0,1013.0
k111_17720_284	TIGR02350,4.6e-299,990.4
k111_17720_296	TIGR00088,5.1e-98,324.5
k111_17720_305	TIGR00083,9.7e-90,298.4
k111_17720_32	TIGR00810,1.5e-21,73.8
k111_20219_4	TIGR01032,5.3e-51,169.3
k111_22327_41	TIGR00194,2.7e-205,680.9
k111_22649_23	TIGR03594,3.5e-169,560.9
k111_22649_40	TIGR01082,8.4e-152,503.9
k111_22649_71	TIGR00082,8.8e-40,133.4
k111_22649_92	TIGR02191,4.8e-54,180.7
k111_22847_30	TIGR00116,3.3e-72,240.7
k111_22847_31	TIGR01011,1.7e-106,352.1
k111_23656_27	TIGR00928,1.2e-175,582.0
k111_23656_5	TIGR00631,0.0,1082.5
k111_23969_10	TIGR00634,2.8e-170,565.5
k111_23969_2	TIGR00166,1.5e-25,86.8
k111_23969_6	TIGR00472,1.8e-236,784.7
k111_26474_19	TIGR03725,8.5e-37,124.7
k111_26474_24	TIGR00186,1.9e-82,273.9
k111_26474_98	TIGR01510,1.9e-63,210.7
k111_27016_110	TIGR01951,8.3e-37,123.9
k111_27016_145	TIGR00755,5.7e-76,252.7
k111_27016_170	TIGR00090,1.8e-32,109.0
k111_27016_87	TIGR02075,4e-101,335.0
k111_27016_88	TIGR00496,2.2e-77,256.2
k111_27016_94	TIGR00250,3.9e-49,163.6
