Gene Id	Top hits (Family id,e-value,bitscore)
k111_1031259_1	TIGR00065,8.9e-131,433.5
k111_1084134_2	TIGR01032,5.2e-48,159.3
k111_1235592_10	TIGR01082,4.9e-119,395.5
k111_1237882_2	TIGR01039,4.7e-126,418.4
k111_1279147_1	TIGR00006,4.1e-37,125.4
k111_1325895_16	TIGR00194,1.1e-189,629.0
k111_1325895_18	TIGR01510,6.8e-58,192.3
k111_1363303_1	TIGR00158,1.1e-40,136.6
k111_1414079_2	TIGR00086,7.7e-50,165.9
k111_1414079_3	TIGR00635,7.7e-79,262.0
k111_1424065_12	TIGR00398,1.5e-148,493.0
k111_1424065_17	TIGR00472,7.2e-242,802.2
k111_1437968_1	TIGR02013,0.0,1489.1
k111_1476504_12	TIGR03725,1.5e-31,107.2
k111_1476504_5	TIGR00416,7.2e-161,533.1
k111_1478526_2	TIGR01146,2.7e-108,359.2
k111_1520259_1	TIGR00362,3e-152,504.9
k111_1612421_3	TIGR00631,7e-182,603.2
k111_1660222_2	TIGR00928,1.6e-160,531.8
k111_1663961_1	TIGR00092,2.1e-149,494.8
k111_1687605_3	TIGR02273,4.1e-42,140.6
k111_1777222_1	TIGR00054,3.1e-50,168.4
k111_1777222_2	TIGR00414,1.5e-150,499.0
k111_1792149_1	TIGR01394,1.4e-157,522.6
k111_1795726_1	TIGR02075,4.9e-84,278.7
k111_1795726_2	TIGR00496,1.9e-69,230.0
k111_1837823_1	TIGR02397,5.4e-128,424.3
k111_1837823_4	TIGR00382,6.5e-161,533.1
k111_1970776_2	TIGR03594,8.6e-164,542.8
k111_2032125_1	TIGR02397,7.4e-126,417.3
k111_2033170_2	TIGR00487,2.7e-241,799.5
k111_2045724_1	TIGR02350,2.4e-205,680.5
k111_2104518_1	TIGR00435,9.9e-154,510.0
k111_2155044_8	TIGR00082,8.4e-30,100.9
k111_2347619_2	TIGR00959,1.9e-174,577.7
k111_2347619_7	TIGR00436,2.1e-85,283.5
k111_2576070_3	TIGR02191,1e-56,189.1
k111_2609250_6	TIGR02012,4.9e-163,539.1
k111_2731275_2	TIGR03263,2.1e-71,236.5
k111_2805921_2	TIGR00344,1.3e-225,748.6
k111_2819398_4	TIGR00090,5.7e-30,100.6
k111_2969415_1	TIGR00420,3.9e-105,348.7
k111_3141114_4	TIGR00115,1.4e-117,390.1
k111_3204193_8	TIGR00054,1.3e-34,117.0
k111_3213382_4	TIGR00095,2.9e-32,109.1
k111_3313044_2	TIGR00810,3.9e-19,65.7
k111_34197_13	TIGR01087,3.3e-104,346.6
k111_346268_10	TIGR01953,7.4e-96,318.3
k111_346268_2	TIGR00029,2.8e-26,89.1
k111_3502371_1	TIGR00088,5e-86,284.9
k111_3525875_1	TIGR01171,7.2e-85,281.9
k111_3525875_3	TIGR03953,1.3e-66,220.7
k111_3525875_4	TIGR03625,2.3e-81,269.6
k111_3527139_4	TIGR00138,2.8e-32,109.0
