Gene Id	Top hits (Family id,e-value,bitscore)
k111_10158_16	TIGR03725,2.5e-27,93.4
k111_10158_61	TIGR00006,1.1e-83,278.4
k111_10158_76	TIGR00020,1.3e-133,442.7
k111_10158_78	TIGR00043,2.1e-30,102.3
k111_10158_88	TIGR00456,2.2e-153,508.8
k111_10158_9	TIGR00416,1.6e-161,535.2
k111_10319_26	TIGR00158,7.9e-48,159.9
k111_10319_29	TIGR00166,2.3e-34,114.7
k111_10319_30	TIGR00186,1.2e-83,277.5
k111_10319_50	TIGR00090,7.5e-38,125.9
k111_10439_19	TIGR00392,2.5e-284,942.9
k111_10449_18	TIGR00082,4.9e-33,111.3
k111_10725_32	TIGR00435,2.9e-153,508.5
k111_10725_33	TIGR00593,3.6e-268,889.7
k111_10725_35	TIGR00092,7.4e-149,493.0
k111_12228_10	TIGR01059,0.0,1062.4
k111_12228_12	TIGR00168,2e-66,219.9
k111_12228_16	TIGR00963,0.0,1218.2
k111_12228_23	TIGR01128,1.2e-41,140.2
k111_12228_26	TIGR00631,0.0,1046.7
k111_12228_28	TIGR02432,2.3e-45,152.1
k111_12228_36	TIGR00115,7.1e-119,394.4
k111_12228_38	TIGR00382,9.6e-197,651.1
k111_12228_40	TIGR02397,8.1e-127,420.5
k111_12228_44	TIGR01032,2.4e-47,157.1
k111_12228_72	TIGR01082,1.2e-125,417.3
k111_12228_88	TIGR00064,2.5e-98,325.9
k111_12348_130	TIGR02075,1.3e-95,316.7
k111_12348_131	TIGR00496,1.4e-68,227.1
k111_12348_65	TIGR00362,1.2e-154,512.7
k111_12557_18	TIGR01029,3.4e-63,209.4
k111_12557_41	TIGR00019,7.5e-144,476.2
k111_12557_44	TIGR01066,2.9e-63,209.1
k111_12557_46	TIGR00059,4.7e-42,140.1
k111_12557_47	TIGR02027,1.1e-91,304.4
k111_12557_48	TIGR03632,4.8e-56,185.5
k111_12557_52	TIGR00967,1.2e-122,407.0
k111_12557_53	TIGR01071,5.6e-46,153.1
k111_12557_54	TIGR01021,3.5e-60,199.5
k111_12557_56	TIGR03654,4.3e-72,238.7
k111_12557_59	TIGR01079,6.2e-34,113.8
k111_12557_63	TIGR01164,2.8e-61,202.4
k111_12557_64	TIGR01009,2.9e-89,295.6
k111_12557_65	TIGR01044,4.2e-38,127.0
k111_12557_67	TIGR01171,2.4e-130,431.0
k111_12557_69	TIGR03953,1.8e-67,223.5
k111_12557_70	TIGR03625,2.2e-81,269.7
k111_12557_75	TIGR02012,2.5e-161,533.5
k111_12812_44	TIGR01063,0.0,1116.7
k111_12812_49	TIGR00095,9.2e-42,140.1
k111_14005_25	TIGR00086,2e-47,158.1
k111_14005_26	TIGR00635,2.6e-124,411.4
k111_14005_38	TIGR02273,3.7e-45,150.5
k111_14005_41	TIGR02191,2.8e-54,181.1
k111_14400_120	TIGR00472,8.6e-233,772.2
k111_14400_126	TIGR00398,5e-152,504.5
k111_14400_156	TIGR00460,1.9e-69,231.4
k111_14400_177	TIGR01394,3.3e-294,973.8
k111_14400_185	TIGR00643,1.7e-218,724.6
k111_14400_187	TIGR00116,5.3e-65,216.7
k111_14400_188	TIGR01011,1.3e-99,329.2
k111_14400_4	TIGR00250,2e-23,80.1
k111_14400_74	TIGR02350,2.9e-251,832.1
k111_14400_88	TIGR00396,0.0,1116.4
k111_14400_96	TIGR01510,2.1e-58,193.9
k111_14400_98	TIGR00194,1e-189,629.1
k111_2564_30	TIGR03594,1.6e-163,541.9
k111_2564_7	TIGR01017,1.3e-77,257.2
k111_4139_28	TIGR01169,6.3e-98,323.9
k111_4139_29	TIGR01632,1.9e-61,203.3
k111_4139_30	TIGR00922,2.2e-56,187.6
k111_4139_31	TIGR00964,2.2e-13,47.1
k111_5749_145	TIGR00414,6.9e-148,490.2
k111_5749_146	TIGR00054,5.2e-86,286.3
k111_5749_82	TIGR03723,6.5e-122,403.7
k111_5749_85	TIGR03263,3.3e-70,232.6
k111_6078_13	TIGR02729,1.4e-107,356.7
k111_6855_100	TIGR00420,2.9e-106,352.4
k111_6855_105	TIGR00959,2.7e-174,577.2
k111_6855_111	TIGR00436,8.6e-85,281.5
k111_6855_116	TIGR00088,3.8e-86,285.3
k111_6855_125	TIGR00083,6.8e-73,242.8
k111_6855_128	TIGR00468,5.3e-104,345.1
k111_6855_23	TIGR01393,7.4e-300,992.6
k111_6855_70	TIGR00539,2.5e-66,221.4
k111_6855_72	TIGR00065,4.8e-133,441.0
k111_7092_25	TIGR00442,1.1e-144,479.6
k111_7505_154	TIGR02350,5.7e-295,976.5
k111_7505_157	TIGR00166,4.3e-22,75.4
k111_7505_161	TIGR00445,1.4e-94,314.3
k111_7505_171	TIGR00634,2.1e-128,426.9
k111_7505_176	TIGR00663,2.1e-97,323.5
k111_7505_185	TIGR01951,6e-33,111.1
k111_7505_21	TIGR00344,3.3e-297,985.5
k111_7505_45	TIGR00158,3.2e-42,141.7
k111_7505_89	TIGR00459,3.9e-237,785.5
k111_7505_92	TIGR00337,5.1e-245,811.2
k111_7738_31	TIGR00186,3.7e-65,216.9
k111_7738_37	TIGR00084,6.8e-42,140.3
k111_7738_42	TIGR01391,7.7e-139,460.3
k111_7738_63	TIGR00755,3e-71,236.9
k111_9491_19	TIGR00580,0.0,1045.3
