Gene Id	Top hits (Family id,e-value,bitscore)
PAEP01000001.1_23	TIGR02012,1.3e-162,537.5
PAEP01000001.1_28	TIGR03625,1.5e-81,270.0
PAEP01000001.1_29	TIGR03953,1.4e-65,217.1
PAEP01000001.1_31	TIGR01171,2.1e-127,421.1
PAEP01000002.1_19	TIGR00138,1.3e-32,109.8
PAEP01000002.1_6	TIGR00029,1.8e-26,89.4
PAEP01000002.1_8	TIGR02013,0.0,1662.0
PAEP01000004.1_40	TIGR03725,1.2e-30,104.0
PAEP01000004.1_47	TIGR00416,6.1e-176,582.5
PAEP01000005.1_1	TIGR00442,3.8e-123,408.4
PAEP01000006.1_25	TIGR00061,5.1e-29,97.6
PAEP01000006.1_29	TIGR00431,5.3e-67,222.5
PAEP01000007.1_10	TIGR00382,4.9e-196,648.5
PAEP01000007.1_12	TIGR02397,8.2e-127,420.2
PAEP01000007.1_16	TIGR01032,2.1e-47,157.0
PAEP01000007.1_2	TIGR02432,1.1e-50,169.1
PAEP01000007.1_3	TIGR01128,4.3e-37,125.0
PAEP01000007.1_45	TIGR01082,8.7e-127,420.8
PAEP01000007.1_61	TIGR00064,1.6e-97,323.0
PAEP01000007.1_62	TIGR01951,1e-33,113.4
PAEP01000007.1_8	TIGR00115,1e-119,397.0
PAEP01000008.1_19	TIGR00158,6.5e-39,130.7
PAEP01000009.1_22	TIGR01017,5.2e-77,255.0
PAEP01000009.1_42	TIGR01393,3.8e-230,762.2
PAEP01000012.1_13	TIGR00362,1.9e-149,495.4
PAEP01000014.1_1	TIGR02191,1.5e-51,171.9
PAEP01000014.1_4	TIGR02273,2.2e-41,137.9
PAEP01000015.1_36	TIGR00539,1.5e-68,228.4
PAEP01000015.1_38	TIGR00065,5e-132,437.4
PAEP01000016.1_27	TIGR00082,9.3e-31,103.7
PAEP01000017.1_1	TIGR00344,9.3e-127,421.3
PAEP01000017.1_22	TIGR00964,2.5e-15,53.1
PAEP01000017.1_23	TIGR00922,1.9e-55,184.3
PAEP01000017.1_24	TIGR01632,2.4e-62,205.9
PAEP01000017.1_25	TIGR01169,2.8e-99,328.0
PAEP01000019.1_64	TIGR00496,1.9e-70,232.9
PAEP01000019.1_65	TIGR02075,1.7e-95,316.0
