Gene Id	Top hits (Family id,e-value,bitscore)
k111_1129_27	TIGR00755,1.9e-71,237.6
k111_1129_42	TIGR01391,9.1e-140,463.3
k111_1129_45	TIGR00084,2.6e-40,135.1
k111_1129_51	TIGR00186,6.1e-65,216.2
k111_12212_34	TIGR00061,3.6e-32,108.0
k111_12212_37	TIGR00431,8.5e-64,212.3
k111_12212_51	TIGR01087,2.6e-108,360.1
k111_12212_63	TIGR00810,2.1e-19,66.6
k111_12212_69	TIGR01039,3e-249,824.6
k111_12212_85	TIGR01146,2.6e-107,356.0
k111_12760_138	TIGR02350,1.1e-294,975.5
k111_12760_141	TIGR00166,4.2e-23,78.6
k111_12760_146	TIGR00445,1.3e-90,301.3
k111_12760_153	TIGR00634,3.1e-126,419.7
k111_12760_157	TIGR00663,1e-97,324.6
k111_12760_166	TIGR01951,5.6e-31,104.7
k111_12760_167	TIGR00064,1.4e-97,323.4
k111_12760_183	TIGR01082,3.2e-117,389.5
k111_12760_20	TIGR00158,1.7e-41,139.3
k111_12760_211	TIGR01032,4.6e-47,156.2
k111_12760_215	TIGR02397,5.7e-127,421.0
k111_12760_217	TIGR00382,7.6e-196,648.2
k111_12760_219	TIGR00115,1.3e-117,390.3
k111_12760_227	TIGR01128,3.3e-39,132.2
k111_12760_229	TIGR02432,1.9e-48,162.1
k111_12760_231	TIGR00631,0.0,1038.7
k111_12760_242	TIGR00963,0.0,1219.6
k111_12760_249	TIGR00168,3.7e-68,225.6
k111_12760_251	TIGR01059,0.0,1059.6
k111_12760_284	TIGR00086,1.5e-50,168.2
k111_12760_285	TIGR00635,1.4e-126,418.8
k111_12760_298	TIGR02273,1.2e-42,142.4
k111_12760_301	TIGR02191,3.5e-57,190.6
k111_12760_349	TIGR00442,9.6e-147,486.3
k111_12760_443	TIGR00392,2.7e-289,959.3
k111_12760_531	TIGR00928,5.7e-164,543.2
k111_12760_63	TIGR00459,8.5e-237,784.3
k111_12760_66	TIGR00337,4e-245,811.5
k111_1517_15	TIGR00054,7.8e-84,279.1
k111_1517_16	TIGR00414,3.4e-152,504.4
k111_1517_162	TIGR00496,1.7e-69,230.2
k111_1517_163	TIGR02075,1.3e-95,316.7
k111_1517_222	TIGR01017,1.5e-77,257.1
k111_1517_234	TIGR01393,8.4e-299,989.2
k111_1517_280	TIGR00539,1.4e-65,218.9
k111_1517_282	TIGR00065,1.7e-131,435.9
k111_1517_304	TIGR00420,1e-105,350.6
k111_1517_308	TIGR00959,3.7e-176,583.3
k111_1517_313	TIGR00436,1.2e-84,281.0
k111_1517_316	TIGR00088,6.5e-89,294.4
k111_1517_324	TIGR00083,8e-75,249.1
k111_1517_327	TIGR00468,9.9e-105,347.5
k111_1517_75	TIGR03263,8.3e-71,234.5
k111_1517_78	TIGR03723,5.1e-119,394.2
k111_15604_20	TIGR02729,6.7e-132,436.6
k111_18215_104	TIGR03625,7.9e-81,267.9
k111_18215_105	TIGR03953,2e-67,223.4
k111_18215_107	TIGR01171,1.5e-129,428.5
k111_18215_109	TIGR01044,3.8e-38,127.1
k111_18215_110	TIGR01009,1.8e-88,293.0
k111_18215_111	TIGR01164,2.2e-59,196.3
k111_18215_115	TIGR01079,8.6e-35,116.5
k111_18215_118	TIGR03654,3.6e-71,235.7
k111_18215_120	TIGR01021,4.2e-60,199.3
k111_18215_121	TIGR01071,2.8e-45,150.9
k111_18215_122	TIGR00967,4.1e-128,424.9
k111_18215_126	TIGR03632,7.2e-57,188.1
k111_18215_127	TIGR02027,6.4e-90,298.5
k111_18215_128	TIGR00059,1e-42,142.2
k111_18215_130	TIGR01066,5.5e-62,204.9
k111_18215_133	TIGR00019,4e-144,477.1
k111_18215_165	TIGR01029,1.6e-63,210.4
k111_18215_99	TIGR02012,1.3e-162,537.8
k111_21251_123	TIGR00250,9.3e-25,84.4
k111_21251_183	TIGR01063,0.0,1117.0
k111_21251_188	TIGR00095,1.3e-42,142.9
k111_21251_206	TIGR00092,6.8e-149,493.1
k111_21251_208	TIGR00593,7.6e-270,895.3
k111_21251_209	TIGR00435,6.6e-153,507.3
