Gene Id	Top hits (Family id,e-value,bitscore)
CP011941_1083	TIGR00755,8.1e-70,232.4
CP011941_1101	TIGR01391,7.3e-140,463.8
CP011941_1113	TIGR00084,2.5e-39,132.1
CP011941_1119	TIGR00186,5.4e-68,226.4
CP011941_1162	TIGR00580,0.0,1035.4
CP011941_1200	TIGR00250,5.3e-24,82.1
CP011941_1407	TIGR00362,7.2e-156,517.0
CP011941_1473	TIGR02075,1.8e-95,316.4
CP011941_1474	TIGR00496,3.2e-71,235.9
CP011941_150	TIGR00539,1.3e-63,212.7
CP011941_152	TIGR00065,1.8e-132,439.3
CP011941_1593	TIGR00054,5.9e-88,292.9
CP011941_1594	TIGR00414,1.8e-150,498.9
CP011941_1654	TIGR03263,2.6e-71,236.3
CP011941_1657	TIGR03723,3.2e-126,418.0
CP011941_1715	TIGR00061,6.9e-35,116.9
CP011941_1728	TIGR00431,4.7e-67,223.1
CP011941_1759	TIGR01087,7.7e-108,358.7
CP011941_1772	TIGR00810,4.6e-19,65.6
CP011941_1776	TIGR01039,1.6e-247,819.0
CP011941_178	TIGR00420,4e-104,345.6
CP011941_1798	TIGR01146,2e-109,363.1
CP011941_1821	TIGR00928,1.9e-156,518.5
CP011941_1833	TIGR00138,1.3e-31,107.1
CP011941_1844	TIGR02013,0.0,1673.2
CP011941_1847	TIGR00029,2.1e-23,80.1
CP011941_1857	TIGR01953,1.3e-96,320.9
CP011941_1861	TIGR00487,3.6e-244,809.2
CP011941_1876	TIGR02729,3.8e-125,414.6
CP011941_192	TIGR00959,1e-173,575.4
CP011941_200	TIGR00436,6.3e-84,278.9
CP011941_202	TIGR00088,6.1e-84,278.3
CP011941_2042	TIGR00082,1.3e-31,106.8
CP011941_2075	TIGR00416,3.4e-161,534.3
CP011941_2082	TIGR03725,1.7e-28,97.4
CP011941_2126	TIGR00006,3.3e-81,270.4
CP011941_213	TIGR00083,8.7e-75,249.2
CP011941_2138	TIGR00020,4e-131,434.6
CP011941_2140	TIGR00043,1.4e-33,112.6
