Gene Id	Top hits (Family id,e-value,bitscore)
RHLE01000001.1_180	TIGR00442,1.4e-146,485.9
RHLE01000001.1_229	TIGR02191,1.4e-56,188.8
RHLE01000001.1_231	TIGR02273,2.8e-43,144.5
RHLE01000001.1_245	TIGR00635,2.7e-126,418.0
RHLE01000001.1_246	TIGR00086,1.6e-50,168.2
RHLE01000001.1_284	TIGR01059,0.0,1060.8
RHLE01000001.1_286	TIGR00168,2.5e-68,226.2
RHLE01000001.1_293	TIGR00963,0.0,1219.4
RHLE01000001.1_304	TIGR00631,0.0,1038.7
RHLE01000001.1_306	TIGR02432,2e-48,162.1
RHLE01000001.1_308	TIGR01128,2.2e-39,132.9
RHLE01000001.1_316	TIGR00115,3.4e-118,392.3
RHLE01000001.1_318	TIGR00382,8.4e-196,648.1
RHLE01000001.1_320	TIGR02397,2.6e-127,422.2
RHLE01000001.1_325	TIGR01032,4.9e-47,156.2
RHLE01000001.1_355	TIGR01082,6.3e-119,395.2
RHLE01000001.1_371	TIGR00064,1.3e-97,323.6
RHLE01000001.1_372	TIGR01951,9.6e-31,104.1
RHLE01000001.1_381	TIGR00663,1.4e-97,324.2
RHLE01000001.1_386	TIGR00634,2.8e-127,423.2
RHLE01000001.1_393	TIGR00445,5e-88,292.9
RHLE01000001.1_398	TIGR00166,4.5e-23,78.6
RHLE01000001.1_401	TIGR02350,1.2e-294,975.5
RHLE01000001.1_485	TIGR00337,2.6e-245,812.2
RHLE01000001.1_488	TIGR00459,4.8e-236,781.9
RHLE01000001.1_538	TIGR00158,2.4e-41,138.9
RHLE01000001.1_560	TIGR00344,1.1e-300,997.0
RHLE01000001.1_593	TIGR00964,2.2e-15,53.6
RHLE01000001.1_594	TIGR00922,1.4e-55,185.1
RHLE01000001.1_595	TIGR01632,9.5e-63,207.6
RHLE01000001.1_596	TIGR01169,5.7e-98,324.1
RHLE01000001.1_622	TIGR00456,4.5e-157,521.1
RHLE01000001.1_628	TIGR00043,7.6e-36,119.9
RHLE01000001.1_630	TIGR00020,2.4e-134,445.1
RHLE01000001.1_643	TIGR00006,3.6e-84,280.1
RHLE01000001.1_689	TIGR03725,1.3e-31,107.5
RHLE01000001.1_696	TIGR00416,2.3e-159,528.2
RHLE01000001.1_87	TIGR00392,1.4e-289,960.3
RHLE01000002.1_354	TIGR02350,1.1e-249,827.0
RHLE01000002.1_369	TIGR00396,0.0,1139.1
RHLE01000002.1_376	TIGR01510,1.7e-57,191.0
RHLE01000002.1_378	TIGR00194,1.9e-192,638.2
RHLE01000002.1_399	TIGR00472,1.7e-261,867.2
RHLE01000002.1_404	TIGR00398,9.1e-147,487.2
RHLE01000002.1_433	TIGR00460,4.5e-66,220.4
RHLE01000002.1_441	TIGR00580,0.0,1033.7
RHLE01000002.1_51	TIGR00362,7.6e-151,500.3
RHLE01000002.1_527	TIGR01394,2e-294,974.7
RHLE01000002.1_535	TIGR00643,1.5e-213,708.3
RHLE01000002.1_537	TIGR00116,2.6e-64,214.4
RHLE01000002.1_538	TIGR01011,2.4e-98,325.1
RHLE01000002.1_580	TIGR00755,1.2e-70,235.0
RHLE01000002.1_595	TIGR01391,3.5e-139,461.5
RHLE01000002.1_598	TIGR00084,2.1e-40,135.5
RHLE01000002.1_604	TIGR00186,6.2e-65,216.3
RHLE01000003.1_112	TIGR01146,1e-106,354.2
RHLE01000003.1_129	TIGR01039,7.9e-250,826.6
RHLE01000003.1_134	TIGR00810,2.2e-19,66.6
RHLE01000003.1_146	TIGR01087,3.4e-108,359.8
RHLE01000003.1_160	TIGR00431,9e-64,212.3
RHLE01000003.1_163	TIGR00061,3.8e-32,108.0
RHLE01000003.1_218	TIGR00487,1.5e-243,807.1
RHLE01000003.1_221	TIGR01953,1.2e-95,317.7
RHLE01000003.1_231	TIGR00029,1.2e-25,87.2
RHLE01000003.1_233	TIGR02013,0.0,1662.5
RHLE01000003.1_246	TIGR00138,1.9e-30,103.1
RHLE01000003.1_27	TIGR00928,1.9e-164,544.8
RHLE01000003.1_277	TIGR03594,9.5e-165,546.0
RHLE01000004.1_13	TIGR01017,1.5e-77,257.1
RHLE01000004.1_169	TIGR03723,6.2e-119,394.0
RHLE01000004.1_172	TIGR03263,1.2e-70,234.1
RHLE01000004.1_2	TIGR01393,8.2e-299,989.3
RHLE01000004.1_230	TIGR00414,6.4e-152,503.6
RHLE01000004.1_231	TIGR00054,1.9e-83,277.9
RHLE01000004.1_85	TIGR02075,1.3e-95,316.7
RHLE01000004.1_86	TIGR00496,4.5e-70,232.1
RHLE01000005.1_120	TIGR00250,3.1e-24,82.8
RHLE01000005.1_175	TIGR00090,9.3e-31,103.2
RHLE01000005.1_28	TIGR00435,6.5e-151,500.8
RHLE01000005.1_34	TIGR00593,4.4e-270,896.1
RHLE01000005.1_36	TIGR00092,1.6e-148,492.0
RHLE01000005.1_54	TIGR00095,3.6e-42,141.5
RHLE01000005.1_59	TIGR01063,0.0,1113.2
RHLE01000006.1_104	TIGR03625,1.3e-80,267.3
RHLE01000006.1_105	TIGR03953,1.7e-67,223.7
RHLE01000006.1_107	TIGR01171,1.5e-129,428.5
RHLE01000006.1_109	TIGR01044,4e-38,127.1
RHLE01000006.1_110	TIGR01009,1.9e-88,293.0
RHLE01000006.1_111	TIGR01164,2.3e-59,196.3
RHLE01000006.1_115	TIGR01079,1.4e-34,115.9
RHLE01000006.1_118	TIGR03654,3.8e-71,235.7
RHLE01000006.1_120	TIGR01021,4.5e-60,199.3
RHLE01000006.1_121	TIGR01071,5.4e-45,150.0
RHLE01000006.1_122	TIGR00967,4.7e-128,424.8
RHLE01000006.1_126	TIGR03632,4.1e-57,189.0
RHLE01000006.1_127	TIGR02027,7.9e-91,301.6
RHLE01000006.1_128	TIGR00059,1.1e-42,142.2
RHLE01000006.1_130	TIGR01066,5.9e-62,204.9
RHLE01000006.1_133	TIGR00019,2.9e-144,477.7
RHLE01000006.1_185	TIGR01029,1.7e-63,210.4
RHLE01000006.1_99	TIGR02012,1.3e-162,537.8
RHLE01000007.1_25	TIGR00539,1.9e-65,218.6
RHLE01000007.1_27	TIGR00065,8.1e-132,437.1
RHLE01000007.1_49	TIGR00420,1.1e-105,350.6
RHLE01000007.1_53	TIGR00959,4.5e-176,583.1
RHLE01000007.1_58	TIGR00436,1.3e-83,277.8
RHLE01000007.1_61	TIGR00088,1.3e-88,293.5
RHLE01000007.1_68	TIGR00083,3.6e-74,247.0
RHLE01000007.1_71	TIGR00468,2.1e-105,349.8
RHLE01000008.1_27	TIGR00615,5.1e-76,251.8
RHLE01000009.1_23	TIGR00082,3.7e-30,102.1
RHLE01000013.1_24	TIGR02729,3.8e-133,440.8
