Gene Id	Top hits (Family id,e-value,bitscore)
AP011615_101	TIGR02432,8.3e-55,184.1
AP011615_1014	TIGR01082,5.6e-144,479.0
AP011615_1036	TIGR00431,2.9e-72,241.2
AP011615_1051	TIGR03723,1.9e-130,433.0
AP011615_1063	TIGR01951,7.5e-34,115.3
AP011615_1064	TIGR00064,8.1e-104,345.2
AP011615_1080	TIGR02350,1.3e-271,900.6
AP011615_1315	TIGR02075,2.4e-98,326.8
AP011615_1316	TIGR00496,1e-75,251.7
AP011615_133	TIGR00138,1.5e-46,156.8
AP011615_1409	TIGR00615,1.2e-82,274.6
AP011615_1448	TIGR02350,5.6e-279,925.0
AP011615_1499	TIGR00635,4.8e-135,447.9
AP011615_1524	TIGR01128,3e-58,196.0
AP011615_1551	TIGR00460,7.8e-81,270.0
AP011615_1695	TIGR02397,3.4e-124,413.1
AP011615_1786	TIGR00928,2.6e-175,581.8
AP011615_1846	TIGR00959,1.7e-181,602.1
AP011615_1875	TIGR00435,4.6e-176,584.9
AP011615_1896	TIGR02012,5.2e-166,550.2
AP011615_1915	TIGR00043,7.3e-35,117.9
AP011615_1986	TIGR03725,1.2e-37,128.4
AP011615_2000	TIGR00088,3.3e-95,316.2
AP011615_2105	TIGR03625,2.9e-76,254.3
AP011615_2106	TIGR03953,5.4e-71,236.3
AP011615_2108	TIGR01171,2.9e-136,451.7
AP011615_2110	TIGR01044,1.5e-41,139.3
AP011615_2111	TIGR01009,2e-92,307.2
AP011615_2112	TIGR01164,2.6e-66,219.9
AP011615_2116	TIGR01079,1.6e-36,123.3
AP011615_2119	TIGR03654,4.8e-73,243.1
AP011615_2121	TIGR01021,2.2e-64,214.5
AP011615_2122	TIGR01071,2.8e-47,158.6
AP011615_2123	TIGR00967,1.3e-143,477.3
AP011615_2127	TIGR03632,2.3e-57,190.9
AP011615_2128	TIGR02027,2.6e-103,343.7
AP011615_2129	TIGR00059,2.2e-43,145.6
AP011615_2131	TIGR01066,4.8e-64,212.9
AP011615_2135	TIGR00019,3e-157,521.6
AP011615_2185	TIGR00755,1.1e-79,265.8
AP011615_2193	TIGR02273,7e-37,124.8
AP011615_2411	TIGR00810,8.9e-19,65.8
AP011615_2425	TIGR00487,3.9e-253,840.0
AP011615_2427	TIGR01953,1.6e-101,338.1
AP011615_2431	TIGR00166,1.5e-23,81.3
AP011615_2513	TIGR00414,1.2e-167,556.6
AP011615_2554	TIGR01391,3.2e-140,466.1
AP011615_2588	TIGR00539,1.2e-86,289.5
AP011615_2608	TIGR00029,2.6e-27,93.7
AP011615_2610	TIGR02013,0.0,1726.7
AP011615_2611	TIGR02386,6.2e-278,923.5
AP011615_2685	TIGR00090,3.1e-32,109.2
AP011615_275	TIGR00082,1.2e-38,130.6
AP011615_3004	TIGR00054,5.5e-111,369.8
AP011615_3014	TIGR02350,2.8e-298,988.7
AP011615_3016	TIGR01039,1.9e-253,839.7
AP011615_3149	TIGR01510,3.4e-60,201.0
AP011615_3208	TIGR00020,3.2e-120,399.8
AP011615_3223	TIGR00382,6.9e-200,662.8
AP011615_3380	TIGR00634,1.2e-166,554.5
AP011615_3427	TIGR00631,0.0,1053.5
AP011615_3429	TIGR01063,0.0,1185.2
AP011615_343	TIGR01169,1.3e-96,320.9
AP011615_344	TIGR01632,5.5e-64,212.8
AP011615_345	TIGR00922,2.5e-56,188.7
AP011615_346	TIGR00964,2.4e-15,54.6
AP011615_3482	TIGR03263,1.3e-73,244.9
AP011615_3589	TIGR01029,6.9e-68,225.9
AP011615_3956	TIGR03594,2.9e-166,552.2
AP011615_3989	TIGR00194,2.5e-203,675.3
AP011615_4011	TIGR00416,2e-190,631.8
AP011615_4019	TIGR02729,9.3e-138,457.2
AP011615_4055	TIGR00459,7.5e-253,838.6
AP011615_4098	TIGR01087,1.1e-120,402.2
AP011615_4122	TIGR00083,5.4e-86,287.0
AP011615_4143	TIGR01059,0.0,1089.1
AP011615_4145	TIGR00382,2e-206,684.3
AP011615_4147	TIGR00115,8.2e-116,385.6
AP011615_416	TIGR00092,3.4e-162,538.2
AP011615_4208	TIGR00580,0.0,1082.0
AP011615_4235	TIGR00250,9e-43,143.9
AP011615_4243	TIGR00061,2e-35,119.7
AP011615_4677	TIGR00392,0.0,1028.6
AP011615_4731	TIGR00396,0.0,1243.1
AP011615_4735	TIGR00344,0.0,1074.2
AP011615_4788	TIGR00168,1.6e-71,237.8
AP011615_4802	TIGR00337,2.1e-251,833.6
AP011615_4806	TIGR00963,0.0,1251.5
AP011615_4985	TIGR00158,1.6e-45,153.6
AP011615_5067	TIGR02191,2.2e-64,215.4
AP011615_5113	TIGR00442,5.4e-153,508.2
AP011615_5119	TIGR00065,4.8e-137,455.4
AP011615_5127	TIGR00472,3.1e-230,765.0
AP011615_5146	TIGR00468,1.2e-109,364.9
AP011615_5304	TIGR00095,8.1e-54,180.7
AP011615_5329	TIGR00456,6.8e-178,591.0
AP011615_5542	TIGR00186,2.5e-81,271.2
AP011615_5616	TIGR01032,3.5e-50,167.5
AP011615_5634	TIGR00436,1.7e-100,334.3
AP011615_5647	TIGR00398,7.3e-169,561.3
AP011615_5654	TIGR01017,2.9e-80,267.2
AP011615_5668	TIGR00643,1.8e-243,808.3
AP011615_5673	TIGR00116,1.5e-66,223.0
AP011615_5674	TIGR01011,3.4e-101,335.6
AP011615_5784	TIGR00084,3.9e-48,161.9
AP011615_5829	TIGR00006,5.3e-100,333.3
AP011615_6126	TIGR00420,8.5e-116,385.1
AP011615_6166	TIGR02191,7.3e-55,184.3
AP011615_6205	TIGR01393,5e-303,1004.4
AP011615_6218	TIGR00593,0.0,1034.7
AP011615_680	TIGR00362,3.2e-159,529.1
AP011615_683	TIGR00663,4.6e-104,346.7
AP011615_699	TIGR00445,3.9e-98,327.3
AP011615_786	TIGR01146,2.4e-112,373.8
AP011615_968	TIGR01394,2e-290,962.7
AP011615_990	TIGR00086,3.9e-59,197.3
