Gene Id	Top hits (Family id,e-value,bitscore)
k111_1009195_10	TIGR01079,4.5e-34,114.7
k111_1009195_14	TIGR01164,5.7e-60,198.6
k111_1009195_15	TIGR01009,3e-88,292.7
k111_1009195_16	TIGR01044,8.4e-38,126.5
k111_1009195_3	TIGR00967,8.4e-122,404.6
k111_1009195_4	TIGR01071,2.7e-45,151.4
k111_1009195_5	TIGR01021,2.3e-60,200.6
k111_1009195_7	TIGR03654,4e-71,236.0
k111_1014778_2	TIGR00472,1.1e-231,769.0
k111_1088690_2	TIGR01082,3.2e-123,409.7
k111_1252538_2	TIGR01146,4.1e-109,362.4
k111_1262120_6	TIGR02012,6.9e-161,532.5
k111_1311972_9	TIGR00362,2.6e-156,518.7
k111_1320113_4	TIGR01017,4.7e-77,255.9
k111_1435794_4	TIGR03632,6.7e-56,185.5
k111_1435794_5	TIGR02027,2.3e-91,303.7
k111_1435794_6	TIGR00059,3.6e-42,140.9
k111_1435794_8	TIGR01066,1.9e-63,210.2
k111_152148_3	TIGR00168,1.3e-66,221.0
k111_1526387_2	TIGR01394,3.4e-295,977.6
k111_1580203_1	TIGR00643,3.1e-211,701.0
k111_1642060_3	TIGR00663,4.3e-97,323.0
k111_1694404_1	TIGR00396,3.2e-297,985.8
k111_1732065_2	TIGR00459,4.4e-235,779.1
k111_1734124_3	TIGR00663,3.2e-100,333.3
k111_1831329_2	TIGR00634,2.2e-127,424.0
k111_1977201_1	TIGR00420,7.2e-91,302.3
k111_1999158_10	TIGR00084,7.9e-38,127.5
k111_1999158_7	TIGR01391,5.6e-140,464.5
k111_2134210_4	TIGR00250,1.2e-21,74.8
k111_231282_4	TIGR01146,3.5e-108,359.3
k111_2320186_5	TIGR00082,2.3e-30,103.1
k111_2327430_2	TIGR00928,7.8e-162,536.6
k111_234052_4	TIGR00166,1.2e-22,77.7
k111_234052_8	TIGR00445,3.2e-61,205.2
k111_24461_2	TIGR00382,1.6e-196,650.8
k111_2513395_5	TIGR00061,3e-31,105.5
k111_2513395_8	TIGR00431,2.2e-65,217.9
k111_2514181_13	TIGR00416,6.5e-177,586.5
k111_2514181_6	TIGR03725,2.2e-30,103.8
k111_2657086_10	TIGR00194,2.3e-192,638.3
k111_2657086_8	TIGR01510,3.1e-59,197.1
k111_2714645_5	TIGR03725,1.5e-23,81.6
k111_2784046_1	TIGR00396,6.1e-185,614.4
k111_2819164_3	TIGR00398,1.7e-133,443.8
k111_2830941_11	TIGR00382,2.3e-196,650.3
k111_2830941_13	TIGR02397,3.8e-119,395.7
k111_2830941_2	TIGR00631,0.0,1041.1
k111_2830941_4	TIGR02432,1.9e-45,152.8
k111_2830941_9	TIGR00115,1.1e-119,397.6
k111_2838004_2	TIGR00362,7.6e-157,520.5
k111_2895228_6	TIGR03594,2.7e-164,544.9
k111_2906033_10	TIGR00755,3.6e-72,240.4
k111_2921901_8	TIGR00019,2.1e-144,478.5
k111_2943770_2	TIGR01951,1.1e-32,110.8
k111_2948676_1	TIGR00487,2.4e-245,813.4
k111_3098752_7	TIGR02729,8.9e-133,440.0
k111_3108021_4	TIGR00496,1e-68,228.0
k111_3108021_5	TIGR02075,2.8e-95,316.0
k111_314785_11	TIGR00436,1.9e-83,277.6
k111_314785_16	TIGR00959,2.5e-174,577.7
k111_314785_8	TIGR00088,2.7e-87,289.5
k111_3221644_7	TIGR03723,1.8e-121,402.7
k111_3224126_6	TIGR00810,3.5e-19,66.3
k111_327973_2	TIGR03625,9.9e-81,268.0
k111_327973_3	TIGR03953,1.2e-65,218.0
k111_327973_5	TIGR01171,4.2e-130,430.7
k111_327973_7	TIGR01044,1.3e-36,122.6
k111_3388_1	TIGR00442,8.5e-142,470.5
