Gene Id	Top hits (Family id,e-value,bitscore)
QCTI01000001.1_110	TIGR00414,3.4e-151,501.1
QCTI01000001.1_111	TIGR00054,4.4e-82,273.3
QCTI01000001.1_188	TIGR00061,5.4e-32,107.4
QCTI01000001.1_192	TIGR00431,1.1e-67,224.9
QCTI01000001.1_205	TIGR01087,1.6e-109,364.1
QCTI01000001.1_216	TIGR00810,1.3e-18,64.0
QCTI01000001.1_219	TIGR01039,1.3e-249,825.8
QCTI01000001.1_234	TIGR01146,2.8e-109,362.4
QCTI01000001.1_256	TIGR00928,1.8e-155,515.2
QCTI01000001.1_269	TIGR00138,1.6e-27,93.6
QCTI01000001.1_280	TIGR02013,0.0,1677.0
QCTI01000001.1_282	TIGR00029,1.9e-26,89.6
QCTI01000001.1_290	TIGR01953,1.8e-95,317.0
QCTI01000001.1_293	TIGR00487,3.6e-245,812.3
QCTI01000001.1_45	TIGR03723,5.3e-122,404.0
QCTI01000001.1_48	TIGR03263,2e-70,233.2
QCTI01000002.1_117	TIGR01393,5.9e-296,979.7
QCTI01000002.1_138	TIGR01017,5.5e-77,255.2
QCTI01000002.1_16	TIGR00468,2.2e-106,352.9
QCTI01000002.1_164	TIGR03594,3.7e-163,540.7
QCTI01000002.1_19	TIGR00083,8.5e-74,245.7
QCTI01000002.1_28	TIGR00088,1.8e-85,283.1
QCTI01000002.1_30	TIGR00436,1.2e-82,274.4
QCTI01000002.1_36	TIGR00959,4.4e-175,579.7
QCTI01000002.1_42	TIGR00420,1.2e-106,353.7
QCTI01000002.1_65	TIGR00065,3.3e-132,438.2
QCTI01000002.1_67	TIGR00539,1.1e-62,209.4
QCTI01000003.1_24	TIGR00580,0.0,1036.0
QCTI01000003.1_63	TIGR00090,2.7e-30,101.7
QCTI01000004.1_121	TIGR00095,2e-44,148.7
QCTI01000004.1_126	TIGR01063,0.0,1113.3
QCTI01000004.1_87	TIGR00435,4.1e-152,504.6
QCTI01000004.1_90	TIGR00593,1.6e-262,871.0
QCTI01000004.1_92	TIGR00092,1.5e-148,492.0
QCTI01000005.1_4	TIGR00082,1.1e-31,106.9
QCTI01000006.1_44	TIGR01011,3.3e-99,327.9
QCTI01000006.1_45	TIGR00116,1.3e-65,218.7
QCTI01000006.1_47	TIGR00643,5.3e-220,729.5
QCTI01000006.1_5	TIGR00755,1.2e-72,241.5
QCTI01000006.1_53	TIGR01394,1.2e-291,965.4
QCTI01000007.1_14	TIGR01082,3e-121,402.8
QCTI01000007.1_43	TIGR01032,2.8e-47,156.9
QCTI01000007.1_47	TIGR02397,3.2e-126,418.5
QCTI01000007.1_49	TIGR00382,5.7e-195,645.3
QCTI01000007.1_51	TIGR00115,7.1e-120,397.7
QCTI01000007.1_56	TIGR02432,2e-51,171.8
QCTI01000007.1_58	TIGR00631,0.0,1040.9
QCTI01000007.1_60	TIGR01128,8.5e-43,144.0
QCTI01000007.1_67	TIGR00963,0.0,1217.8
QCTI01000007.1_70	TIGR00168,6.8e-67,221.4
QCTI01000007.1_72	TIGR01059,0.0,1062.4
QCTI01000009.1_48	TIGR00442,1e-142,473.1
QCTI01000010.1_53	TIGR00362,4.8e-155,514.0
QCTI01000011.1_53	TIGR00392,2.7e-286,949.3
QCTI01000014.1_15	TIGR00663,2.2e-98,326.8
QCTI01000014.1_19	TIGR00634,9.9e-133,441.1
QCTI01000014.1_26	TIGR00445,1.5e-91,304.4
QCTI01000014.1_30	TIGR00166,6.3e-23,78.0
QCTI01000014.1_33	TIGR02350,1e-293,972.3
QCTI01000014.1_4	TIGR00064,2.6e-99,329.1
QCTI01000014.1_5	TIGR01951,1.7e-32,109.6
QCTI01000015.1_34	TIGR00006,3.2e-82,273.6
QCTI01000015.1_48	TIGR00020,7.9e-130,430.2
QCTI01000015.1_50	TIGR00043,3.6e-34,114.4
QCTI01000015.1_57	TIGR00456,1e-156,519.7
QCTI01000016.1_19	TIGR00615,1.9e-46,155.1
QCTI01000017.1_26	TIGR00337,2.3e-243,805.7
QCTI01000017.1_29	TIGR00459,2.2e-237,786.3
QCTI01000021.1_11	TIGR00398,4.5e-148,491.4
QCTI01000021.1_6	TIGR00472,1e-239,795.0
QCTI01000022.1_25	TIGR02075,1.6e-94,313.0
QCTI01000022.1_26	TIGR00496,4.5e-70,232.0
QCTI01000023.1_13	TIGR00084,6e-40,134.0
QCTI01000023.1_19	TIGR00186,2.5e-67,224.0
QCTI01000023.1_6	TIGR01391,3e-139,461.6
QCTI01000031.1_18	TIGR02273,2.3e-42,141.4
QCTI01000031.1_21	TIGR02191,6.5e-51,170.1
QCTI01000034.1_9	TIGR02350,6e-254,841.0
QCTI01000038.1_6	TIGR02729,1.8e-130,431.9
QCTI01000039.1_7	TIGR00194,3e-194,644.1
QCTI01000039.1_8	TIGR01510,3.8e-58,193.1
QCTI01000044.1_1	TIGR03953,4.1e-66,219.1
QCTI01000044.1_11	TIGR01079,3.3e-34,114.6
QCTI01000044.1_14	TIGR03654,2.9e-71,236.0
QCTI01000044.1_16	TIGR01021,3.2e-60,199.7
QCTI01000044.1_17	TIGR01071,3.7e-47,156.9
QCTI01000044.1_3	TIGR01171,1.1e-130,432.1
QCTI01000044.1_5	TIGR01044,1.9e-38,128.0
QCTI01000044.1_6	TIGR01009,9.7e-89,293.8
QCTI01000044.1_7	TIGR01164,4e-60,198.6
QCTI01000046.1_4	TIGR00344,5.8e-300,994.6
QCTI01000070.1_1	TIGR00635,2.3e-81,270.3
