Gene Id	Top hits (Family id,e-value,bitscore)
KI911558.1_1007	TIGR00643,2.3e-215,714.3
KI911558.1_1009	TIGR00116,9.5e-66,219.3
KI911558.1_1010	TIGR01011,6.8e-98,323.7
KI911558.1_1051	TIGR00755,7.6e-72,239.0
KI911558.1_108	TIGR03263,4.6e-71,235.5
KI911558.1_111	TIGR03723,7.3e-124,410.3
KI911558.1_1320	TIGR00362,1.3e-150,499.7
KI911558.1_1356	TIGR00468,4.7e-103,342.1
KI911558.1_1358	TIGR00083,3.5e-72,240.6
KI911558.1_1366	TIGR00088,1.4e-85,283.6
KI911558.1_1370	TIGR00436,1.2e-82,274.6
KI911558.1_1376	TIGR00959,1.2e-174,578.5
KI911558.1_1380	TIGR00420,5.9e-105,348.3
KI911558.1_1409	TIGR00065,7.5e-132,437.2
KI911558.1_1411	TIGR00539,1.3e-65,219.1
KI911558.1_1466	TIGR01393,3.6e-298,987.2
KI911558.1_1541	TIGR03594,6.2e-165,546.7
KI911558.1_1580	TIGR00138,2.1e-32,109.6
KI911558.1_1590	TIGR02013,0.0,1665.5
KI911558.1_1592	TIGR00029,2.7e-24,82.9
KI911558.1_1601	TIGR01953,1.6e-95,317.3
KI911558.1_1605	TIGR00487,2.5e-246,816.3
KI911558.1_1668	TIGR00061,2.7e-31,105.3
KI911558.1_1672	TIGR00431,3.9e-66,220.1
KI911558.1_1686	TIGR01087,5.8e-102,339.3
KI911558.1_1698	TIGR00810,7.1e-19,65.0
KI911558.1_1705	TIGR01039,1.7e-249,825.5
KI911558.1_1723	TIGR01146,5e-109,361.8
KI911558.1_1744	TIGR00928,2e-163,541.5
KI911558.1_1908	TIGR00082,9.4e-31,104.1
KI911558.1_1947	TIGR00416,4e-177,586.8
KI911558.1_1954	TIGR03725,1.7e-29,100.7
KI911558.1_1997	TIGR00006,2.7e-84,280.6
KI911558.1_2008	TIGR00020,2.6e-134,445.1
KI911558.1_2010	TIGR00043,3.5e-35,117.8
KI911558.1_2016	TIGR00456,4.1e-154,511.4
KI911558.1_2049	TIGR01169,2.2e-98,325.5
KI911558.1_2050	TIGR01632,1.6e-62,206.9
KI911558.1_2051	TIGR00922,3.5e-55,183.8
KI911558.1_2052	TIGR00964,1.4e-15,54.3
KI911558.1_206	TIGR00496,3.1e-69,229.4
KI911558.1_207	TIGR02075,3.8e-96,318.5
KI911558.1_2075	TIGR00344,8.1e-300,994.2
KI911558.1_2093	TIGR00158,2.8e-41,138.8
KI911558.1_2150	TIGR00459,5.6e-235,778.5
KI911558.1_2154	TIGR00337,1.9e-242,802.9
KI911558.1_2220	TIGR02350,4e-295,977.2
KI911558.1_2223	TIGR00166,7.6e-24,81.1
KI911558.1_2228	TIGR00445,1e-92,308.4
KI911558.1_2236	TIGR00634,6.7e-131,435.3
KI911558.1_2240	TIGR00663,4.5e-100,332.5
KI911558.1_2249	TIGR01951,6.2e-32,108.0
KI911558.1_2250	TIGR00064,1.1e-97,324.0
KI911558.1_2266	TIGR01082,1.7e-120,400.5
KI911558.1_2295	TIGR01032,6.1e-48,159.2
KI911558.1_2300	TIGR02397,8.4e-128,423.9
KI911558.1_2302	TIGR00382,9.7e-196,648.0
KI911558.1_2304	TIGR00115,5.6e-120,398.2
KI911558.1_2310	TIGR01128,3.2e-44,148.8
KI911558.1_2313	TIGR02432,8.2e-48,160.2
KI911558.1_2339	TIGR00631,0.0,1044.4
KI911558.1_2358	TIGR00963,0.0,1220.4
KI911558.1_2366	TIGR00168,3.5e-67,222.5
KI911558.1_2368	TIGR01059,0.0,1057.0
KI911558.1_2404	TIGR00086,1.5e-50,168.3
KI911558.1_2406	TIGR00086,1.9e-43,145.3
KI911558.1_2407	TIGR00635,9e-130,429.5
KI911558.1_2421	TIGR02273,1.6e-42,142.1
KI911558.1_2424	TIGR02191,1.2e-52,175.9
KI911558.1_2474	TIGR00442,6.4e-145,480.5
KI911558.1_2574	TIGR00392,9.5e-283,937.8
KI911558.1_2622	TIGR01029,1e-63,211.3
KI911558.1_2664	TIGR00019,4.2e-143,473.9
KI911558.1_2667	TIGR01066,1.6e-61,203.6
KI911558.1_2669	TIGR00059,4.8e-41,137.0
KI911558.1_2670	TIGR02027,4.5e-90,299.2
KI911558.1_2671	TIGR03632,1.6e-56,187.1
KI911558.1_2675	TIGR00967,2.4e-130,432.5
KI911558.1_2676	TIGR01071,1.3e-44,148.8
KI911558.1_2677	TIGR01021,4.5e-60,199.3
KI911558.1_2679	TIGR03654,3.5e-72,239.1
KI911558.1_2682	TIGR01079,4.4e-35,117.6
KI911558.1_2686	TIGR01164,2e-59,196.6
KI911558.1_2687	TIGR01009,3.1e-88,292.4
KI911558.1_2688	TIGR01044,8.6e-38,126.1
KI911558.1_269	TIGR01017,1.3e-76,254.1
KI911558.1_2690	TIGR01171,1.7e-129,428.4
KI911558.1_2692	TIGR03953,1e-65,217.9
KI911558.1_2693	TIGR03625,8.4e-80,264.7
KI911558.1_2698	TIGR02012,9.6e-163,538.3
KI911558.1_274	TIGR00435,6.4e-152,504.2
KI911558.1_278	TIGR00593,3.8e-265,879.9
KI911558.1_280	TIGR00092,3.2e-149,494.3
KI911558.1_2843	TIGR02729,1.4e-130,432.5
KI911558.1_299	TIGR00095,8.5e-41,137.1
KI911558.1_304	TIGR01063,0.0,1114.7
KI911558.1_370	TIGR00250,1.8e-19,67.4
KI911558.1_429	TIGR00090,1.4e-30,102.8
KI911558.1_46	TIGR00054,2.7e-85,284.1
KI911558.1_47	TIGR00414,1.2e-149,496.2
KI911558.1_591	TIGR00615,1.1e-75,250.7
KI911558.1_732	TIGR00186,3.5e-66,220.4
KI911558.1_750	TIGR00084,1.1e-41,139.8
KI911558.1_753	TIGR01391,1.2e-139,463.0
KI911558.1_793	TIGR00460,8.6e-71,235.9
KI911558.1_826	TIGR00398,1.4e-146,486.6
KI911558.1_831	TIGR00472,5.7e-231,766.3
KI911558.1_852	TIGR00194,7.9e-191,632.9
KI911558.1_854	TIGR01510,1.6e-57,191.3
KI911558.1_862	TIGR00396,0.0,1143.4
KI911558.1_898	TIGR02350,2e-249,826.2
KI911558.1_925	TIGR00580,0.0,1036.4
