Gene Id	Top hits (Family id,e-value,bitscore)
LVHT01000001.1_158	TIGR00580,0.0,1037.0
LVHT01000001.1_197	TIGR00090,2.6e-30,102.1
LVHT01000001.1_21	TIGR00615,4.3e-55,183.8
LVHT01000001.1_280	TIGR00250,7.7e-24,81.9
LVHT01000001.1_402	TIGR02350,4e-253,838.8
LVHT01000001.1_416	TIGR00396,0.0,1133.9
LVHT01000001.1_427	TIGR01510,4e-59,196.7
LVHT01000001.1_428	TIGR00194,2.5e-195,648.1
LVHT01000001.1_450	TIGR00472,8.3e-237,785.9
LVHT01000001.1_455	TIGR00398,1.1e-146,487.2
LVHT01000001.1_486	TIGR00460,2.8e-65,218.1
LVHT01000002.1_106	TIGR01394,6.3e-122,405.4
LVHT01000002.1_107	TIGR01394,1.6e-162,539.4
LVHT01000002.1_113	TIGR00643,2.1e-219,728.0
LVHT01000002.1_115	TIGR00116,6.8e-66,220.0
LVHT01000002.1_116	TIGR01011,1.4e-99,329.6
LVHT01000002.1_157	TIGR00755,8.8e-73,242.4
LVHT01000002.1_199	TIGR01391,7.6e-139,460.7
LVHT01000002.1_222	TIGR00084,3.2e-40,135.3
LVHT01000002.1_228	TIGR00186,1.7e-67,225.0
LVHT01000003.1_106	TIGR02075,9.8e-95,314.2
LVHT01000003.1_107	TIGR00496,3.1e-70,233.0
LVHT01000003.1_185	TIGR03723,2.2e-121,402.4
LVHT01000003.1_188	TIGR03263,1.5e-70,234.1
LVHT01000003.1_250	TIGR00414,1.1e-150,499.9
LVHT01000003.1_251	TIGR00054,2.4e-82,274.7
LVHT01000003.1_42	TIGR00362,1.1e-154,513.3
LVHT01000004.1_107	TIGR00959,4.2e-175,580.3
LVHT01000004.1_113	TIGR00420,5.7e-107,355.2
LVHT01000004.1_139	TIGR00065,1.6e-132,439.7
LVHT01000004.1_141	TIGR00539,3.1e-64,214.9
LVHT01000004.1_84	TIGR00468,1.6e-105,350.6
LVHT01000004.1_87	TIGR00083,5.4e-74,246.8
LVHT01000004.1_95	TIGR00088,1.4e-85,283.9
LVHT01000004.1_99	TIGR00436,1.5e-81,271.3
LVHT01000005.1_15	TIGR01029,2.2e-63,210.5
LVHT01000005.1_41	TIGR00019,7.9e-144,476.6
LVHT01000005.1_44	TIGR01066,2.8e-62,206.3
LVHT01000005.1_46	TIGR00059,1.6e-41,138.7
LVHT01000005.1_47	TIGR02027,3.7e-92,306.3
LVHT01000005.1_48	TIGR03632,7.5e-56,185.3
LVHT01000005.1_52	TIGR00967,6.2e-128,424.8
LVHT01000005.1_53	TIGR01071,5.2e-47,156.9
LVHT01000005.1_54	TIGR01021,3.2e-60,200.1
LVHT01000005.1_56	TIGR03654,4.1e-71,236.0
LVHT01000005.1_59	TIGR01079,5.4e-34,114.4
