Gene Id	Top hits (Family id,e-value,bitscore)
CP017708_1140	TIGR01059,0.0,1089.5
CP017708_1166	TIGR00337,1.4e-255,847.5
CP017708_1177	TIGR00061,1e-35,120.8
CP017708_1188	TIGR00250,2.3e-47,159.0
CP017708_1191	TIGR02397,6.6e-131,435.4
CP017708_1266	TIGR00344,0.0,1084.9
CP017708_1278	TIGR00634,1.5e-170,567.6
CP017708_134	TIGR00019,5.3e-160,530.9
CP017708_137	TIGR01066,8.7e-65,215.5
CP017708_139	TIGR00059,6.1e-43,144.4
CP017708_140	TIGR02027,7.3e-106,352.4
CP017708_141	TIGR03632,1.2e-57,192.1
CP017708_1426	TIGR00043,3.6e-35,119.1
CP017708_145	TIGR00967,4.6e-141,469.1
CP017708_146	TIGR01071,1e-48,163.5
CP017708_147	TIGR01021,2.5e-66,221.0
CP017708_149	TIGR03654,3.5e-71,237.2
CP017708_1502	TIGR01082,5.2e-152,505.7
CP017708_1519	TIGR02350,5.5e-300,994.6
CP017708_152	TIGR01079,1.9e-37,126.5
CP017708_156	TIGR01164,5.4e-65,215.9
CP017708_157	TIGR01009,2e-92,307.4
CP017708_158	TIGR01044,2.2e-41,139.0
CP017708_160	TIGR01171,8e-136,450.5
CP017708_162	TIGR03953,6.9e-70,232.9
CP017708_163	TIGR03625,4.3e-84,280.1
CP017708_1711	TIGR01128,3.3e-50,169.9
CP017708_194	TIGR00460,9.9e-88,292.9
CP017708_198	TIGR00631,0.0,1073.1
CP017708_1989	TIGR01146,1.3e-117,391.3
CP017708_2168	TIGR01951,2.9e-36,123.3
CP017708_2169	TIGR00064,2.9e-103,343.6
CP017708_2244	TIGR00755,6.5e-80,266.8
CP017708_2345	TIGR03725,5.3e-35,120.0
CP017708_24	TIGR00420,1.7e-122,407.4
CP017708_2447	TIGR00635,4.7e-140,464.6
CP017708_2456	TIGR01039,1.7e-252,836.8
CP017708_2536	TIGR01011,8.4e-103,341.1
CP017708_2537	TIGR00116,4.9e-72,241.3
CP017708_2795	TIGR00166,1.4e-23,81.7
CP017708_2826	TIGR00090,2.1e-30,103.5
CP017708_2909	TIGR00593,2.1e-301,1001.2
CP017708_2965	TIGR01393,3.8e-301,998.4
CP017708_3016	TIGR00414,1.4e-170,566.5
CP017708_3017	TIGR00054,3.9e-107,357.4
