Gene Id	Top hits (Family id,e-value,bitscore)
UCNJ01000002.1_112	TIGR00064,3.5e-99,329.1
UCNJ01000002.1_113	TIGR01951,4.7e-32,108.6
UCNJ01000002.1_123	TIGR00663,2.2e-98,327.1
UCNJ01000002.1_127	TIGR00634,3.2e-134,446.4
UCNJ01000002.1_134	TIGR00445,2.9e-92,307.1
UCNJ01000002.1_138	TIGR00166,8.4e-23,78.0
UCNJ01000002.1_141	TIGR02350,9.5e-294,972.8
UCNJ01000002.1_229	TIGR00337,8.9e-244,807.5
UCNJ01000002.1_232	TIGR00459,1.2e-235,780.9
UCNJ01000002.1_42	TIGR00963,0.0,1217.7
UCNJ01000002.1_50	TIGR01128,6e-43,144.9
UCNJ01000002.1_52	TIGR00631,0.0,1040.3
UCNJ01000002.1_54	TIGR02432,1.5e-50,169.3
UCNJ01000002.1_59	TIGR00115,2.2e-120,399.8
UCNJ01000002.1_61	TIGR00382,3.4e-195,646.4
UCNJ01000002.1_63	TIGR02397,5.8e-125,414.8
UCNJ01000002.1_67	TIGR01032,8.2e-47,155.8
UCNJ01000002.1_7	TIGR01059,0.0,1064.0
UCNJ01000002.1_9	TIGR00168,4.6e-66,219.1
UCNJ01000002.1_96	TIGR01082,2.1e-122,406.9
UCNJ01000004.1_133	TIGR00615,3.9e-46,154.5
UCNJ01000005.1_28	TIGR00496,1.4e-69,230.7
UCNJ01000005.1_29	TIGR02075,1e-94,314.1
UCNJ01000005.1_90	TIGR00362,2.5e-154,512.1
UCNJ01000010.1_29	TIGR00435,4.1e-150,498.4
UCNJ01000010.1_34	TIGR00593,9.8e-261,865.5
UCNJ01000010.1_36	TIGR00092,2.7e-147,488.3
UCNJ01000010.1_69	TIGR00095,3.3e-45,151.7
UCNJ01000010.1_74	TIGR01063,0.0,1114.0
UCNJ01000012.1_11	TIGR00580,0.0,1033.0
UCNJ01000012.1_139	TIGR00250,5.5e-24,82.3
UCNJ01000012.1_294	TIGR02350,1.1e-253,840.6
UCNJ01000012.1_308	TIGR00396,0.0,1141.7
UCNJ01000012.1_319	TIGR01510,1.2e-58,195.1
UCNJ01000012.1_320	TIGR00194,1.3e-195,649.0
UCNJ01000012.1_342	TIGR00472,2.2e-236,784.4
UCNJ01000012.1_347	TIGR00398,2.5e-148,492.6
UCNJ01000012.1_377	TIGR00460,6.2e-59,197.2
UCNJ01000012.1_494	TIGR01394,5e-291,963.7
UCNJ01000012.1_500	TIGR00643,6e-219,726.4
UCNJ01000012.1_502	TIGR00116,1.3e-65,219.1
UCNJ01000012.1_503	TIGR01011,1.3e-99,329.6
UCNJ01000012.1_552	TIGR00755,2.7e-74,247.3
UCNJ01000012.1_59	TIGR00090,2.8e-30,102.0
UCNJ01000014.1_102	TIGR02012,1.4e-161,534.7
UCNJ01000014.1_107	TIGR03625,1.5e-82,273.9
UCNJ01000014.1_108	TIGR03953,1.3e-66,221.1
UCNJ01000014.1_110	TIGR01171,1.5e-130,432.1
UCNJ01000014.1_112	TIGR01044,2.5e-38,128.0
UCNJ01000014.1_113	TIGR01009,1.3e-88,293.8
UCNJ01000014.1_114	TIGR01164,4.3e-60,199.0
UCNJ01000014.1_118	TIGR01079,5.2e-34,114.4
UCNJ01000014.1_121	TIGR03654,4.4e-71,235.8
UCNJ01000014.1_123	TIGR01021,4.2e-60,199.7
UCNJ01000014.1_124	TIGR01071,1.2e-46,155.7
UCNJ01000014.1_125	TIGR00967,5.9e-128,424.8
UCNJ01000014.1_129	TIGR03632,7.2e-56,185.3
UCNJ01000014.1_130	TIGR02027,3.6e-92,306.3
UCNJ01000014.1_131	TIGR00059,2.9e-41,137.9
UCNJ01000014.1_133	TIGR01066,2.7e-62,206.3
UCNJ01000014.1_136	TIGR00019,1e-143,476.2
UCNJ01000014.1_159	TIGR01029,2.1e-63,210.5
UCNJ01000017.1_53	TIGR00186,5.1e-67,223.4
UCNJ01000017.1_59	TIGR00084,4.4e-40,134.8
UCNJ01000017.1_69	TIGR01391,2.2e-138,459.1
UCNJ01000018.1_164	TIGR00442,9.2e-145,480.2
UCNJ01000018.1_214	TIGR02191,6.7e-51,170.5
UCNJ01000018.1_217	TIGR02273,2.9e-42,141.5
UCNJ01000018.1_237	TIGR00635,9.2e-127,419.8
UCNJ01000018.1_238	TIGR00086,5.1e-48,160.4
UCNJ01000018.1_37	TIGR00392,3.3e-283,939.5
UCNJ01000024.1_113	TIGR00006,7.9e-83,276.0
UCNJ01000024.1_157	TIGR03725,9.5e-27,91.9
UCNJ01000024.1_164	TIGR00416,5.4e-162,537.2
UCNJ01000024.1_25	TIGR00344,1.2e-301,1000.5
UCNJ01000024.1_5	TIGR00158,2.9e-41,139.0
UCNJ01000024.1_53	TIGR00964,2.2e-15,53.9
UCNJ01000024.1_54	TIGR00922,2.6e-56,187.7
UCNJ01000024.1_55	TIGR01632,4.1e-61,202.6
UCNJ01000024.1_56	TIGR01169,2.1e-98,325.8
UCNJ01000024.1_86	TIGR00456,3.5e-155,515.1
UCNJ01000024.1_94	TIGR00043,1.9e-33,112.5
UCNJ01000024.1_96	TIGR00020,2.7e-131,435.4
UCNJ01000025.1_129	TIGR00539,3.4e-64,214.8
UCNJ01000025.1_131	TIGR00065,8.7e-132,437.2
UCNJ01000025.1_162	TIGR00420,1.8e-106,353.5
UCNJ01000025.1_168	TIGR00959,4.1e-175,580.2
UCNJ01000025.1_175	TIGR00436,8.4e-82,272.1
UCNJ01000025.1_180	TIGR00088,2.8e-85,282.8
UCNJ01000025.1_188	TIGR00083,3.4e-74,247.4
UCNJ01000025.1_191	TIGR00468,2e-106,353.4
UCNJ01000025.1_23	TIGR03594,8.7e-150,497.0
UCNJ01000025.1_55	TIGR01017,8.9e-77,254.9
UCNJ01000025.1_78	TIGR01393,2.7e-295,977.9
UCNJ01000028.1_76	TIGR02729,5.7e-130,430.7
UCNJ01000030.1_25	TIGR00082,2.5e-30,102.9
UCNJ01000032.1_115	TIGR00414,2.9e-151,501.8
UCNJ01000032.1_116	TIGR00054,6.3e-83,276.5
UCNJ01000032.1_295	TIGR00061,7.1e-32,107.4
UCNJ01000032.1_299	TIGR00431,6.3e-66,219.6
UCNJ01000032.1_312	TIGR01087,3.5e-109,363.3
UCNJ01000032.1_324	TIGR00810,1.7e-18,64.0
UCNJ01000032.1_330	TIGR01039,3.5e-249,824.7
UCNJ01000032.1_345	TIGR01146,9.1e-109,361.2
UCNJ01000032.1_367	TIGR00928,1.8e-157,522.2
UCNJ01000032.1_380	TIGR00138,8.1e-32,107.9
UCNJ01000032.1_391	TIGR02013,0.0,1678.1
UCNJ01000032.1_393	TIGR00029,2.2e-24,83.4
UCNJ01000032.1_403	TIGR01953,1.1e-95,318.1
UCNJ01000032.1_405	TIGR00487,1.9e-244,810.4
UCNJ01000032.1_49	TIGR03723,1.3e-123,409.7
UCNJ01000032.1_51	TIGR03263,1.3e-70,234.3
