Gene Id	Top hits (Family id,e-value,bitscore)
QCUN01000001.1_111	TIGR01169,1.7e-98,325.5
QCUN01000001.1_112	TIGR01632,1.8e-61,203.2
QCUN01000001.1_113	TIGR00922,1.7e-56,187.7
QCUN01000001.1_114	TIGR00964,1.4e-15,53.9
QCUN01000001.1_144	TIGR00344,1.3e-297,986.6
QCUN01000001.1_164	TIGR00158,2.8e-41,138.4
QCUN01000001.1_34	TIGR00006,7e-82,272.3
QCUN01000001.1_67	TIGR00020,1.7e-129,428.8
QCUN01000001.1_69	TIGR00043,3.1e-33,111.2
QCUN01000001.1_82	TIGR00456,7.7e-156,516.7
QCUN01000002.1_108	TIGR00755,7.2e-73,242.0
QCUN01000002.1_61	TIGR01394,9.1e-291,962.3
QCUN01000002.1_67	TIGR00643,8.4e-220,728.6
QCUN01000002.1_69	TIGR00116,3.1e-65,217.2
QCUN01000002.1_70	TIGR01011,2.9e-99,327.9
QCUN01000003.1_71	TIGR00362,9e-154,509.7
QCUN01000004.1_53	TIGR00468,4.1e-106,351.8
QCUN01000004.1_56	TIGR00083,9.2e-75,248.7
QCUN01000004.1_65	TIGR00088,4.4e-85,281.6
QCUN01000004.1_71	TIGR00436,1.2e-82,274.3
QCUN01000004.1_79	TIGR00959,1.3e-170,564.9
QCUN01000004.1_85	TIGR00420,1.4e-105,350.0
QCUN01000005.1_64	TIGR03723,5.4e-122,403.8
QCUN01000005.1_67	TIGR03263,4.4e-71,235.2
QCUN01000006.1_1	TIGR02397,3.2e-59,197.9
QCUN01000006.1_10	TIGR02432,9.3e-50,166.2
QCUN01000006.1_12	TIGR00631,0.0,1037.4
QCUN01000006.1_14	TIGR01128,2.8e-44,148.7
QCUN01000006.1_3	TIGR00382,4.2e-195,645.5
QCUN01000006.1_5	TIGR00115,3.7e-120,398.5
QCUN01000006.1_62	TIGR00963,0.0,1219.2
QCUN01000006.1_67	TIGR00168,6e-67,221.4
QCUN01000006.1_69	TIGR01059,0.0,1062.2
QCUN01000007.1_16	TIGR01146,2.6e-109,362.4
QCUN01000007.1_38	TIGR00928,3.5e-155,514.0
QCUN01000007.1_51	TIGR00138,5.2e-30,101.4
QCUN01000007.1_62	TIGR02013,0.0,1676.9
QCUN01000007.1_64	TIGR00029,4.4e-26,88.3
QCUN01000007.1_72	TIGR01953,6.2e-96,318.3
QCUN01000007.1_74	TIGR00487,8.9e-245,810.9
QCUN01000008.1_13	TIGR00472,7e-238,788.8
QCUN01000008.1_34	TIGR00194,5.6e-196,649.6
QCUN01000008.1_35	TIGR01510,8.3e-59,195.0
QCUN01000008.1_45	TIGR00396,0.0,1139.2
QCUN01000008.1_59	TIGR02350,7.4e-254,840.5
QCUN01000008.1_8	TIGR00398,2e-148,492.4
QCUN01000009.1_35	TIGR02191,1.1e-51,172.5
QCUN01000009.1_37	TIGR02273,1.2e-42,142.2
QCUN01000010.1_19	TIGR00615,3.8e-46,154.0
QCUN01000013.1_2	TIGR01063,0.0,1111.3
QCUN01000013.1_37	TIGR00092,5.7e-149,493.2
QCUN01000013.1_39	TIGR00593,3.4e-261,866.4
QCUN01000013.1_42	TIGR00435,4.2e-150,497.8
QCUN01000013.1_7	TIGR00095,8.7e-48,159.5
QCUN01000014.1_15	TIGR01029,1.4e-63,210.5
QCUN01000015.1_13	TIGR00634,2.5e-134,446.2
QCUN01000015.1_20	TIGR00445,4.2e-92,306.0
QCUN01000015.1_24	TIGR00166,5.6e-23,78.0
QCUN01000015.1_27	TIGR02350,2.4e-293,970.9
QCUN01000015.1_8	TIGR00663,2.2e-98,326.6
QCUN01000016.1_38	TIGR00082,5.6e-31,104.5
QCUN01000018.1_12	TIGR02729,9.3e-131,432.7
QCUN01000023.1_30	TIGR00186,4.7e-67,222.9
QCUN01000033.1_4	TIGR00416,5.2e-162,536.6
QCUN01000038.1_1	TIGR00459,1.8e-208,690.5
QCUN01000038.1_4	TIGR00337,4.8e-244,807.8
QCUN01000047.1_2	TIGR01082,8.2e-121,401.1
QCUN01000048.1_6	TIGR01017,3.2e-77,255.8
QCUN01000049.1_2	TIGR00086,2.9e-48,160.6
QCUN01000049.1_3	TIGR00635,2e-127,421.4
QCUN01000055.1_3	TIGR01393,2.5e-295,977.4
QCUN01000057.1_4	TIGR03594,3.4e-162,537.3
QCUN01000059.1_3	TIGR01951,3.1e-32,108.6
QCUN01000059.1_4	TIGR00064,2.1e-99,329.3
QCUN01000077.1_1	TIGR00580,2.2e-165,549.4
