Gene Id	Top hits (Family id,e-value,bitscore)
NZ_KB235898.1_271	TIGR00168,3.9e-70,233.1
NZ_KB235898.1_281	TIGR00539,1.2e-86,289.3
NZ_KB235898.1_30	TIGR00095,2.1e-55,185.7
NZ_KB235898.1_401	TIGR02012,1.4e-165,548.6
NZ_KB235898.1_445	TIGR00382,4.7e-201,666.5
NZ_KB235898.1_47	TIGR00445,1.6e-107,358.0
NZ_KB235898.1_492	TIGR00635,6.7e-135,447.3
NZ_KB235898.1_52	TIGR00436,3.1e-102,339.8
NZ_KB235898.1_594	TIGR01017,1.2e-78,261.8
NZ_KB235898.1_693	TIGR00396,0.0,1241.8
NZ_KB235898.1_710	TIGR01146,2e-116,387.1
NZ_KB235898.1_747	TIGR00398,1.1e-162,540.8
NZ_KB235898.1_787	TIGR02350,2.5e-275,912.8
NZ_KB235898.1_851	TIGR00392,2.5e-300,996.9
NZ_KB235898.1_90	TIGR00158,5.7e-42,142.0
NZ_KB235903.1_1029	TIGR00663,1.3e-102,341.8
NZ_KB235903.1_103	TIGR01039,1.1e-251,833.8
NZ_KB235903.1_1068	TIGR02191,7.4e-58,194.0
NZ_KB235903.1_1114	TIGR01082,1.2e-150,500.8
NZ_KB235903.1_1185	TIGR00643,1.3e-237,788.8
NZ_KB235903.1_1187	TIGR00116,6.5e-68,227.4
NZ_KB235903.1_1188	TIGR01011,2.5e-105,349.0
NZ_KB235903.1_1194	TIGR00083,1.6e-87,291.9
NZ_KB235903.1_1201	TIGR01032,5.2e-49,163.6
NZ_KB235903.1_1204	TIGR01128,7.9e-60,201.1
NZ_KB235903.1_122	TIGR00459,1.4e-253,840.9
NZ_KB235903.1_1284	TIGR00634,1.5e-168,560.6
NZ_KB235903.1_1486	TIGR00115,2.1e-112,374.2
NZ_KB235903.1_1535	TIGR00344,0.0,1102.5
NZ_KB235903.1_1549	TIGR00382,6.1e-208,689.1
NZ_KB235903.1_164	TIGR01393,2.3e-302,1002.1
NZ_KB235903.1_1729	TIGR00810,1.7e-18,64.8
NZ_KB235903.1_174	TIGR01063,0.0,1198.9
NZ_KB235903.1_1744	TIGR00061,1.9e-36,122.8
NZ_KB235903.1_1763	TIGR00959,9.2e-183,606.2
NZ_KB235903.1_1810	TIGR02729,4.4e-134,444.9
NZ_KB235903.1_1820	TIGR00420,1.1e-121,404.3
NZ_KB235903.1_1906	TIGR03594,1.8e-162,539.5
NZ_KB235903.1_1913	TIGR02273,1.7e-42,143.0
NZ_KB235903.1_1976	TIGR00090,6.1e-32,108.1
NZ_KB235903.1_2064	TIGR00416,1.4e-195,648.7
NZ_KB235903.1_2219	TIGR00593,6.4e-302,1002.5
NZ_KB235903.1_274	TIGR00963,0.0,1258.3
NZ_KB235903.1_327	TIGR00414,1.8e-169,562.5
NZ_KB235903.1_329	TIGR00054,4.2e-118,393.1
NZ_KB235903.1_4	TIGR01063,1.9e-263,874.5
NZ_KB235903.1_533	TIGR00456,3.7e-171,568.6
NZ_KB235903.1_559	TIGR02350,5e-286,948.1
NZ_KB235903.1_703	TIGR01394,2.7e-288,955.5
NZ_KB235903.1_766	TIGR00166,1.6e-23,81.1
NZ_KB235903.1_773	TIGR00092,6.1e-160,530.6
NZ_KB235904.1_1058	TIGR00186,2e-75,251.6
NZ_KB235904.1_1088	TIGR00631,0.0,1056.8
NZ_KB235904.1_1099	TIGR00194,3.7e-199,661.4
NZ_KB235904.1_112	TIGR01391,5.2e-142,471.8
NZ_KB235904.1_1149	TIGR00472,1.5e-232,772.5
