Gene Id	Top hits (Family id,e-value,bitscore)
NC_019684.1_1	TIGR00362,1.4e-162,540.0
NC_019684.1_1031	TIGR00431,1.6e-75,251.6
NC_019684.1_1058	TIGR02191,3e-70,234.5
NC_019684.1_1066	TIGR00020,8.8e-120,398.2
NC_019684.1_1068	TIGR00043,3.9e-35,118.6
NC_019684.1_1278	TIGR02729,1.2e-138,459.9
NC_019684.1_1285	TIGR00095,5e-56,187.7
NC_019684.1_1317	TIGR01393,5.2e-302,1000.8
NC_019684.1_1376	TIGR03263,1.4e-73,244.6
NC_019684.1_1380	TIGR03723,1.8e-130,432.9
NC_019684.1_1426	TIGR00755,8.6e-81,269.3
NC_019684.1_1482	TIGR00082,4.8e-41,138.2
NC_019684.1_1526	TIGR02191,1.3e-53,180.0
NC_019684.1_1536	TIGR00435,1.5e-170,566.6
NC_019684.1_1548	TIGR00963,0.0,1255.0
NC_019684.1_1553	TIGR00083,5e-84,280.4
NC_019684.1_1556	TIGR00468,9e-112,371.7
NC_019684.1_1778	TIGR00194,1.4e-203,676.0
NC_019684.1_1792	TIGR01087,3e-121,403.8
NC_019684.1_1940	TIGR03725,2e-37,127.5
NC_019684.1_2	TIGR00663,2.9e-107,357.1
NC_019684.1_201	TIGR00166,3.7e-22,76.6
NC_019684.1_212	TIGR01011,7.7e-106,350.7
NC_019684.1_213	TIGR00116,3.4e-93,310.3
NC_019684.1_2148	TIGR00054,4.7e-101,336.9
NC_019684.1_215	TIGR00643,3.7e-242,803.8
NC_019684.1_2152	TIGR00414,8.6e-168,556.9
NC_019684.1_2192	TIGR00158,1.5e-44,150.3
NC_019684.1_2343	TIGR00928,7.4e-175,580.1
NC_019684.1_2361	TIGR00472,8.1e-243,806.4
NC_019684.1_2375	TIGR00344,0.0,1079.0
NC_019684.1_2378	TIGR00396,0.0,1220.6
NC_019684.1_247	TIGR00084,6.4e-47,157.8
NC_019684.1_2515	TIGR00615,6.1e-79,262.3
NC_019684.1_2696	TIGR01059,0.0,1083.9
NC_019684.1_2699	TIGR01063,3.5e-275,913.2
NC_019684.1_2717	TIGR00168,2.2e-70,233.9
NC_019684.1_2735	TIGR00416,8.2e-198,656.0
NC_019684.1_2745	TIGR01953,4.1e-103,343.2
NC_019684.1_2747	TIGR00487,2.6e-250,830.4
NC_019684.1_2759	TIGR00964,3.6e-18,63.5
NC_019684.1_2760	TIGR00922,2.7e-61,204.6
NC_019684.1_2761	TIGR01632,6.4e-64,212.4
NC_019684.1_2762	TIGR01169,7.3e-96,318.2
NC_019684.1_2790	TIGR00029,2.7e-28,96.6
NC_019684.1_2792	TIGR02013,0.0,1742.4
NC_019684.1_2794	TIGR02386,3.7e-279,927.4
NC_019684.1_2908	TIGR00631,0.0,1070.8
NC_019684.1_2911	TIGR00337,5.2e-255,845.2
NC_019684.1_2978	TIGR00382,2.3e-209,693.8
NC_019684.1_2980	TIGR00115,4.7e-117,389.5
NC_019684.1_303	TIGR00460,7.8e-85,283.0
NC_019684.1_3061	TIGR00186,2.1e-80,267.9
NC_019684.1_3316	TIGR00539,9.7e-89,296.2
NC_019684.1_3362	TIGR00442,8.9e-114,378.9
NC_019684.1_3402	TIGR03594,1.1e-167,556.7
NC_019684.1_3526	TIGR00065,1.4e-138,460.3
