Gene Id	Top hits (Family id,e-value,bitscore)
NC_011726_1020	TIGR00663,8.2e-113,375.0
NC_011726_1082	TIGR00963,0.0,1242.2
NC_011726_1096	TIGR00194,3.8e-211,700.7
NC_011726_1186	TIGR00442,3.2e-152,505.2
NC_011726_120	TIGR03594,2.3e-164,545.5
NC_011726_1220	TIGR00082,4e-38,128.5
NC_011726_1285	TIGR01059,0.0,1110.3
NC_011726_1291	TIGR00431,1.3e-76,254.9
NC_011726_1425	TIGR00344,0.0,1100.8
NC_011726_1454	TIGR01951,8.8e-37,124.3
NC_011726_1497	TIGR00643,2e-245,814.3
NC_011726_1499	TIGR00095,2.4e-55,185.2
NC_011726_1536	TIGR01029,1e-67,224.9
NC_011726_1546	TIGR00460,1.4e-88,295.0
NC_011726_1732	TIGR01169,8.4e-100,330.8
NC_011726_1733	TIGR01632,8.7e-65,214.9
NC_011726_1734	TIGR00922,1.6e-60,201.8
NC_011726_1735	TIGR00964,4.4e-17,59.8
NC_011726_1744	TIGR02013,0.0,1721.7
NC_011726_1746	TIGR00029,9.1e-27,91.4
NC_011726_1813	TIGR00459,5.2e-255,845.3
NC_011726_183	TIGR02432,2.1e-53,179.1
NC_011726_1931	TIGR00250,9.7e-50,166.0
NC_011726_194	TIGR03263,5.3e-75,249.0
NC_011726_1976	TIGR03725,7.4e-36,122.1
NC_011726_1984	TIGR00634,5.2e-176,584.8
NC_011726_20	TIGR00084,4.3e-53,177.6
NC_011726_2063	TIGR02397,5.5e-131,435.0
NC_011726_2068	TIGR00083,1e-90,302.1
NC_011726_207	TIGR00019,1.4e-156,518.9
NC_011726_2073	TIGR00138,6e-50,167.4
NC_011726_2159	TIGR00086,2.5e-57,191.0
NC_011726_225	TIGR01066,3.6e-64,212.8
NC_011726_2250	TIGR00810,6.3e-19,65.8
NC_011726_2262	TIGR00043,6.9e-34,114.3
NC_011726_227	TIGR00059,1.9e-44,148.5
NC_011726_228	TIGR02027,8.4e-107,354.7
NC_011726_229	TIGR03632,8.1e-58,192.0
NC_011726_2290	TIGR00416,8.1e-203,672.2
NC_011726_233	TIGR00967,8.6e-142,470.8
NC_011726_234	TIGR01071,4e-51,170.6
NC_011726_2340	TIGR00054,5.2e-116,385.9
NC_011726_235	TIGR01021,1.9e-64,214.2
NC_011726_237	TIGR03654,9.4e-75,248.1
NC_011726_240	TIGR01079,3.5e-37,125.0
NC_011726_244	TIGR01164,5.7e-66,218.4
NC_011726_245	TIGR01009,3e-94,312.7
NC_011726_246	TIGR01044,1.2e-41,139.2
NC_011726_248	TIGR01171,4.9e-138,457.0
NC_011726_250	TIGR03953,1.1e-70,234.8
NC_011726_251	TIGR03625,2.2e-84,280.3
NC_011726_2515	TIGR01393,1.1e-304,1009.3
NC_011726_2532	TIGR00436,4.9e-99,329.0
NC_011726_2542	TIGR01082,2.5e-163,542.3
NC_011726_2545	TIGR02075,3e-99,329.3
NC_011726_2546	TIGR00496,1.4e-77,257.2
NC_011726_2564	TIGR01011,1.6e-103,342.8
NC_011726_2565	TIGR00116,5e-70,233.9
NC_011726_2586	TIGR00539,8.8e-88,292.8
NC_011726_2591	TIGR01032,4.6e-51,169.9
NC_011726_264	TIGR00186,2.5e-80,267.4
NC_011726_2691	TIGR00392,0.0,1033.4
NC_011726_2694	TIGR00487,8.2e-265,878.0
NC_011726_2696	TIGR01953,1.5e-100,334.5
NC_011726_2705	TIGR01146,6.3e-114,378.5
NC_011726_2802	TIGR02191,4.6e-55,184.5
NC_011726_2816	TIGR00472,6e-237,786.7
NC_011726_2835	TIGR00158,9.6e-48,160.4
NC_011726_2907	TIGR00382,2.5e-213,706.6
NC_011726_2909	TIGR00115,2.3e-109,364.0
NC_011726_3	TIGR00362,9.4e-162,537.0
NC_011726_3076	TIGR00092,8.4e-166,549.6
NC_011726_3095	TIGR00593,0.0,1051.8
NC_011726_3104	TIGR00090,4.6e-32,108.1
NC_011726_3173	TIGR00414,1.4e-173,575.7
NC_011726_3222	TIGR00396,0.0,1252.4
NC_011726_3285	TIGR02191,1.7e-70,234.9
NC_011726_3330	TIGR00061,9.4e-37,123.5
NC_011726_3386	TIGR03723,1.5e-128,426.3
NC_011726_3405	TIGR00020,2.3e-121,403.1
NC_011726_3513	TIGR00928,2.2e-181,601.4
NC_011726_3525	TIGR00420,1.5e-126,420.0
NC_011726_3560	TIGR00635,3.4e-140,464.3
NC_011726_3617	TIGR00468,1.1e-115,384.3
NC_011726_3638	TIGR01039,2.3e-254,842.3
NC_011726_3650	TIGR00631,0.0,1078.1
NC_011726_3744	TIGR00064,8.7e-106,351.2
NC_011726_3754	TIGR01087,3.9e-126,419.6
NC_011726_3772	TIGR01391,7.8e-140,464.3
NC_011726_3977	TIGR00398,8.7e-177,587.0
NC_011726_4028	TIGR02350,2.6e-298,988.3
NC_011726_4060	TIGR02273,4e-43,144.7
NC_011726_4141	TIGR00006,9.3e-103,341.9
NC_011726_4161	TIGR01128,2.9e-59,198.9
NC_011726_4181	TIGR01394,7.7e-295,976.7
NC_011726_4229	TIGR00065,2.8e-136,452.5
NC_011726_4288	TIGR00580,0.0,1159.1
NC_011726_4332	TIGR01017,2.9e-81,270.0
NC_011726_4341	TIGR00445,2.9e-107,356.8
NC_011726_4366	TIGR02729,4e-138,457.9
NC_011726_4392	TIGR00755,6.8e-78,259.5
NC_011726_464	TIGR00435,4.1e-180,597.8
NC_011726_496	TIGR02350,7.7e-281,930.6
NC_011726_530	TIGR00456,1.3e-185,616.0
NC_011726_550	TIGR00337,3.7e-259,858.6
NC_011726_565	TIGR01063,0.0,1205.5
NC_011726_576	TIGR00959,5.1e-186,616.6
NC_011726_614	TIGR01510,5.6e-61,203.1
NC_011726_714	TIGR00166,1.7e-28,96.7
NC_011726_805	TIGR00168,1e-72,241.1
NC_011726_948	TIGR02012,3.3e-163,540.5
NC_011726_961	TIGR00088,2.1e-95,316.4
NC_011726_987	TIGR02350,1.3e-275,913.4
