Gene Id	Top hits (Family id,e-value,bitscore)
ADXM01000007.1_24	TIGR01393,5.3e-297,983.3
ADXM01000007.1_26	TIGR00414,2.1e-149,495.3
ADXM01000007.1_29	TIGR00054,2.5e-84,280.8
ADXM01000012.1_3	TIGR00082,3.3e-29,99.0
ADXM01000013.1_16	TIGR03725,3.7e-29,99.5
ADXM01000013.1_58	TIGR00006,5e-85,282.9
ADXM01000013.1_9	TIGR00416,1e-176,585.4
ADXM01000014.1_10	TIGR00043,6.9e-32,107.2
ADXM01000014.1_15	TIGR00456,6.3e-157,520.6
ADXM01000014.1_8	TIGR00020,8.6e-131,433.4
ADXM01000015.1_18	TIGR01169,2.1e-100,332.1
ADXM01000015.1_19	TIGR01632,7e-61,201.6
ADXM01000015.1_20	TIGR00922,5.5e-55,183.1
ADXM01000015.1_21	TIGR00964,5.7e-18,61.9
ADXM01000015.1_45	TIGR00344,3.8e-303,1005.2
ADXM01000015.1_65	TIGR00158,3.2e-41,138.5
ADXM01000019.1_3	TIGR00459,3.8e-233,772.3
ADXM01000019.1_6	TIGR00337,1.1e-245,813.4
ADXM01000019.1_63	TIGR02350,2.5e-296,981.1
ADXM01000019.1_66	TIGR00166,5e-24,81.7
ADXM01000019.1_71	TIGR00445,7.1e-91,302.3
ADXM01000020.1_10	TIGR02432,2.3e-54,181.4
ADXM01000020.1_15	TIGR00115,2.6e-119,396.0
ADXM01000020.1_17	TIGR00382,2.1e-196,650.1
ADXM01000020.1_19	TIGR02397,1.6e-126,419.5
ADXM01000020.1_23	TIGR01032,2.3e-47,157.2
ADXM01000020.1_52	TIGR01082,2.1e-115,383.6
ADXM01000020.1_71	TIGR02191,4.8e-51,170.6
ADXM01000020.1_73	TIGR02273,3.6e-41,137.6
ADXM01000020.1_8	TIGR00631,0.0,1060.1
ADXM01000021.1_18	TIGR00635,1.9e-131,434.9
ADXM01000021.1_19	TIGR00086,2.2e-48,161.2
ADXM01000021.1_30	TIGR00064,8.4e-101,334.1
ADXM01000021.1_31	TIGR01951,1e-31,107.2
ADXM01000021.1_38	TIGR00634,1.5e-141,470.4
ADXM01000021.1_42	TIGR00663,1.3e-104,347.3
ADXM01000021.1_47	TIGR01128,1.5e-46,156.4
ADXM01000021.1_58	TIGR00963,0.0,1205.0
ADXM01000021.1_63	TIGR00168,1.2e-67,224.0
ADXM01000021.1_65	TIGR01059,0.0,1073.1
ADXM01000022.1_156	TIGR00392,3.6e-283,939.1
ADXM01000022.1_39	TIGR00442,6.8e-148,490.2
ADXM01000024.1_10	TIGR01029,3.5e-64,212.7
ADXM01000028.1_7	TIGR02012,7.9e-161,532.0
ADXM01000029.1_10	TIGR01009,9.3e-89,294.0
ADXM01000029.1_11	TIGR01164,5.2e-61,201.6
ADXM01000029.1_16	TIGR01079,3e-34,114.9
ADXM01000029.1_19	TIGR03654,7.7e-71,234.7
ADXM01000029.1_21	TIGR01021,4.5e-61,202.5
ADXM01000029.1_22	TIGR01071,1.2e-46,155.4
ADXM01000029.1_23	TIGR00967,5e-127,421.4
ADXM01000029.1_27	TIGR03632,4.9e-56,185.5
ADXM01000029.1_28	TIGR02027,6.5e-91,301.9
ADXM01000029.1_29	TIGR00059,4.4e-43,143.5
ADXM01000029.1_31	TIGR01066,1.8e-60,200.1
ADXM01000029.1_34	TIGR00019,3.4e-144,477.4
ADXM01000029.1_4	TIGR03625,1.8e-82,273.4
ADXM01000029.1_5	TIGR03953,5.7e-67,222.0
ADXM01000029.1_7	TIGR01171,3.6e-127,420.7
ADXM01000029.1_9	TIGR01044,5.6e-37,123.4
ADXM01000031.1_22	TIGR03594,2.2e-163,541.5
ADXM01000032.1_9	TIGR02729,6.4e-135,446.6
ADXM01000033.1_8	TIGR00487,2.3e-246,816.4
ADXM01000034.1_11	TIGR00029,3.8e-26,88.7
ADXM01000034.1_13	TIGR02013,0.0,1673.9
ADXM01000034.1_26	TIGR00138,3.7e-34,115.2
ADXM01000034.1_37	TIGR00928,9.2e-164,542.6
ADXM01000034.1_57	TIGR01146,3.7e-108,358.9
ADXM01000035.1_14	TIGR01039,1.9e-249,825.3
ADXM01000035.1_21	TIGR00810,3.9e-20,69.0
ADXM01000035.1_34	TIGR01087,2.7e-111,370.0
ADXM01000035.1_46	TIGR00431,1.4e-65,218.2
ADXM01000035.1_50	TIGR00061,8.9e-34,113.2
ADXM01000037.1_4	TIGR00083,4.6e-75,250.0
ADXM01000038.1_13	TIGR00959,7.6e-174,575.8
ADXM01000038.1_6	TIGR00088,1.6e-87,289.9
ADXM01000038.1_8	TIGR00436,1.3e-89,297.4
ADXM01000039.1_2	TIGR00420,1.7e-105,350.0
ADXM01000041.1_16	TIGR00593,2.7e-270,896.8
ADXM01000046.1_96	TIGR01391,2.3e-83,277.6
ADXM01000047.1_6	TIGR00362,6.7e-156,517.0
ADXM01000049.1_129	TIGR00186,3.2e-64,213.9
ADXM01000049.1_135	TIGR00084,4.3e-42,141.0
ADXM01000049.1_138	TIGR01391,6.1e-140,464.0
ADXM01000049.1_147	TIGR00755,9e-75,248.5
ADXM01000049.1_4	TIGR02075,3.9e-97,321.7
ADXM01000049.1_5	TIGR00496,1.7e-70,233.5
ADXM01000050.1_28	TIGR01011,1.4e-100,332.5
ADXM01000050.1_29	TIGR00116,1.9e-65,218.2
ADXM01000050.1_31	TIGR00643,1.7e-221,734.5
ADXM01000050.1_39	TIGR01394,9.4e-292,965.8
ADXM01000050.1_78	TIGR00398,4.4e-155,514.6
ADXM01000050.1_83	TIGR00472,9e-238,788.7
ADXM01000051.1_14	TIGR00396,0.0,1127.2
ADXM01000051.1_27	TIGR02350,1.2e-255,846.7
ADXM01000051.1_4	TIGR00194,1.3e-180,599.1
ADXM01000051.1_6	TIGR01510,1.2e-56,188.3
ADXM01000056.1_39	TIGR00250,1.5e-23,80.6
ADXM01000057.1_28	TIGR00460,1e-69,232.3
ADXM01000057.1_36	TIGR00580,0.0,1053.0
ADXM01000061.1_49	TIGR00090,9.3e-31,103.2
ADXM01000065.1_14	TIGR00615,2.7e-63,210.3
ADXM01000067.1_44	TIGR01063,0.0,1127.9
ADXM01000068.1_2	TIGR00095,2.7e-43,145.2
ADXM01000068.1_29	TIGR00092,2.7e-153,507.7
ADXM01000068.1_35	TIGR03723,2.8e-122,405.0
ADXM01000068.1_38	TIGR03263,9.2e-70,231.2
ADXM01000070.1_38	TIGR01017,1.3e-78,260.6
ADXM01000070.1_56	TIGR00065,9.2e-131,433.6
ADXM01000070.1_58	TIGR00539,5.6e-56,187.4
